timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,Latency,Hostname
30/10/2017 12:37,376,675 /escm/login/auth,200,OK,Thread Group 1-1,text,true,,5976,1,1,370,ESCM-APP
30/10/2017 12:37,376,Hit_the_portal_with-cache,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,5976,1,1,370,ESCM-APP
30/10/2017 12:37,1457,676 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-1,text,true,,9593,1,1,400,ESCM-APP
30/10/2017 12:37,834,680 /escm/dashboard/myAccountInfo,200,OK,Thread Group 1-1,text,true,,8448,1,1,827,ESCM-APP
30/10/2017 12:37,2291,SP_user_login_46_with_cache,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,18041,1,1,1227,ESCM-APP
30/10/2017 12:37,2457,getOrderHistory,200,OK,Thread Group 1-1,text,true,,19574,1,1,2445,ESCM-APP
30/10/2017 12:42,255,675 /escm/login/auth,200,OK,Thread Group 1-1,text,true,,5976,1,1,248,ESCM-APP
30/10/2017 12:42,255,Hit_the_portal_with-cache,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,5976,1,1,248,ESCM-APP
30/10/2017 12:42,1326,676 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-1,text,true,,9593,1,1,272,ESCM-APP
30/10/2017 12:42,812,680 /escm/dashboard/myAccountInfo,200,OK,Thread Group 1-1,text,true,,8448,1,1,802,ESCM-APP
30/10/2017 12:42,2138,SP_user_login_46_with_cache,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,18041,1,1,1074,ESCM-APP
30/10/2017 12:42,1744,getOrderHistory,200,OK,Thread Group 1-1,text,true,,19574,1,1,1728,ESCM-APP
30/10/2017 12:43,286,675 /escm/login/auth,200,OK,Thread Group 1-1,text,true,,5976,1,1,280,ESCM-APP
30/10/2017 12:43,286,Hit_the_portal_with-cache,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,5976,1,1,280,ESCM-APP
30/10/2017 12:43,1348,676 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-1,text,true,,9592,1,1,249,ESCM-APP
30/10/2017 12:43,926,680 /escm/dashboard/myAccountInfo,200,OK,Thread Group 1-1,text,true,,8447,1,1,917,ESCM-APP
30/10/2017 12:43,2274,SP_user_login_46_with_cache,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,18039,1,1,1166,ESCM-APP
30/10/2017 12:43,1573,getOrderHistory,200,OK,Thread Group 1-1,text,true,,19574,1,1,1561,ESCM-APP
30/10/2017 12:43,301,675 /escm/login/auth,200,OK,Thread Group 1-1,text,true,,5976,1,1,293,ESCM-APP
30/10/2017 12:43,301,Hit_the_portal_with-cache,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,5976,1,1,293,ESCM-APP
