timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,grpThreads,allThreads,URL,Latency,Hostname
30/10/2017 11:43,279,675 /escm/login/auth,200,OK,Thread Group 1-1,text,true,5976,1,1,http://10.10.3.16:8080/escm/login/auth,271,ESCM-APP
30/10/2017 11:43,279,Hit_the_portal_with-cache,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,5976,1,1,null,271,ESCM-APP
30/10/2017 11:43,109,675 /escm/login/auth,200,OK,Thread Group 1-2,text,true,5976,2,2,http://10.10.3.16:8080/escm/login/auth,103,ESCM-APP
30/10/2017 11:43,109,Hit_the_portal_with-cache,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,5976,2,2,null,103,ESCM-APP
30/10/2017 11:43,1291,676 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-1,text,true,9592,2,2,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,280,ESCM-APP
30/10/2017 11:43,92,675 /escm/login/auth,200,OK,Thread Group 1-3,text,true,5976,3,3,http://10.10.3.16:8080/escm/login/auth,85,ESCM-APP
30/10/2017 11:43,92,Hit_the_portal_with-cache,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,5976,3,3,null,85,ESCM-APP
30/10/2017 11:43,1377,676 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-2,text,true,9592,3,3,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,325,ESCM-APP
30/10/2017 11:43,1035,680 /escm/dashboard/myAccountInfo,200,OK,Thread Group 1-1,text,true,8447,3,3,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,1024,ESCM-APP
30/10/2017 11:43,2326,SP_user_login_46_with_cache,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,18039,3,3,null,1304,ESCM-APP
30/10/2017 11:43,130,675 /escm/login/auth,200,OK,Thread Group 1-4,text,true,5976,4,4,http://10.10.3.16:8080/escm/login/auth,124,ESCM-APP
30/10/2017 11:43,130,Hit_the_portal_with-cache,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,5976,4,4,null,124,ESCM-APP
30/10/2017 11:43,877,680 /escm/dashboard/myAccountInfo,200,OK,Thread Group 1-2,text,true,8446,4,4,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,870,ESCM-APP
30/10/2017 11:43,2254,SP_user_login_46_with_cache,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-2,,true,18038,4,4,null,1195,ESCM-APP
30/10/2017 11:43,1425,676 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-3,text,true,9591,4,4,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,306,ESCM-APP
30/10/2017 11:43,133,675 /escm/login/auth,200,OK,Thread Group 1-5,text,true,5976,5,5,http://10.10.3.16:8080/escm/login/auth,125,ESCM-APP
30/10/2017 11:43,133,Hit_the_portal_with-cache,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,5976,5,5,null,125,ESCM-APP
30/10/2017 11:43,971,680 /escm/dashboard/myAccountInfo,200,OK,Thread Group 1-3,text,true,8448,5,5,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,950,ESCM-APP
30/10/2017 11:43,2396,SP_user_login_46_with_cache,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-3,,true,18039,5,5,null,1256,ESCM-APP
30/10/2017 11:43,1554,676 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-4,text,true,9592,5,5,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,349,ESCM-APP
30/10/2017 11:43,2283,createDraftOrder,200,OK,Thread Group 1-1,text,true,412,5,5,http://10.10.3.16:8080/escm/services/order?wsdl,2282,ESCM-APP
30/10/2017 11:43,1583,676 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-5,text,true,9592,4,4,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,418,ESCM-APP
30/10/2017 11:43,1157,680 /escm/dashboard/myAccountInfo,200,OK,Thread Group 1-4,text,true,8448,4,4,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,1148,ESCM-APP
30/10/2017 11:43,2711,SP_user_login_46_with_cache,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-4,,true,18040,4,4,null,1497,ESCM-APP
30/10/2017 11:43,2491,createDraftOrder,200,OK,Thread Group 1-2,text,true,412,4,4,http://10.10.3.16:8080/escm/services/order?wsdl,2491,ESCM-APP
30/10/2017 11:43,1813,createDraftOrder,200,OK,Thread Group 1-3,text,true,412,3,3,http://10.10.3.16:8080/escm/services/order?wsdl,1813,ESCM-APP
30/10/2017 11:43,1794,680 /escm/dashboard/myAccountInfo,200,OK,Thread Group 1-5,text,true,8448,2,2,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,1784,ESCM-APP
30/10/2017 11:43,3377,SP_user_login_46_with_cache,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-5,,true,18040,2,2,null,2202,ESCM-APP
30/10/2017 11:43,2548,createDraftOrder,200,OK,Thread Group 1-4,text,true,412,2,2,http://10.10.3.16:8080/escm/services/order?wsdl,2548,ESCM-APP
30/10/2017 11:43,1314,createDraftOrder,200,OK,Thread Group 1-5,text,true,412,1,1,http://10.10.3.16:8080/escm/services/order?wsdl,1313,ESCM-APP
