timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,grpThreads,allThreads,URL,Latency,Hostname
27/10/2017 04:25,239,675 /escm/login/auth,200,OK,Thread Group 1-1,text,true,5976,1,1,http://10.10.3.16:8080/escm/login/auth,238,ESCM-APP
27/10/2017 04:25,239,Hit_the_portal_with-cache,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,5976,1,1,null,238,ESCM-APP
27/10/2017 04:25,1043,676 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-1,text,true,9596,1,1,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,252,ESCM-APP
27/10/2017 04:25,637,680 /escm/dashboard/myAccountInfo,200,OK,Thread Group 1-1,text,true,8450,1,1,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,632,ESCM-APP
27/10/2017 04:25,1680,SP_user_login_46_with_cache,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,18046,1,1,null,884,ESCM-APP
27/10/2017 04:25,516,createDraftOrder,200,OK,Thread Group 1-1,text,true,546,1,1,http://10.10.3.16:8080/escm/services/order?wsdl,516,ESCM-APP
27/10/2017 04:33,249,675 /escm/login/auth,200,OK,Thread Group 1-1,text,true,5976,1,1,http://10.10.3.16:8080/escm/login/auth,246,ESCM-APP
27/10/2017 04:33,249,Hit_the_portal_with-cache,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,5976,1,1,null,246,ESCM-APP
27/10/2017 04:33,986,676 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-1,text,true,9595,1,1,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,201,ESCM-APP
27/10/2017 04:33,692,680 /escm/dashboard/myAccountInfo,200,OK,Thread Group 1-1,text,true,8450,1,1,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,688,ESCM-APP
27/10/2017 04:33,1678,SP_user_login_46_with_cache,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,18045,1,1,null,889,ESCM-APP
27/10/2017 04:33,1954,createDraftOrder,200,OK,Thread Group 1-1,text,true,412,1,1,http://10.10.3.16:8080/escm/services/order?wsdl,1954,ESCM-APP
27/10/2017 04:38,254,675 /escm/login/auth,200,OK,Thread Group 1-1,text,true,5976,1,1,http://10.10.3.16:8080/escm/login/auth,252,ESCM-APP
27/10/2017 04:38,254,Hit_the_portal_with-cache,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,5976,1,1,null,252,ESCM-APP
27/10/2017 04:38,2126,676 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-1,text,true,9599,1,1,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,1269,ESCM-APP
27/10/2017 04:38,668,680 /escm/dashboard/myAccountInfo,200,OK,Thread Group 1-1,text,true,8454,1,1,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,664,ESCM-APP
27/10/2017 04:38,2794,SP_user_login_46_with_cache,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,18053,1,1,null,1933,ESCM-APP
27/10/2017 04:38,360,createDraftOrder,200,OK,Thread Group 1-1,text,true,546,1,1,http://10.10.3.16:8080/escm/services/order?wsdl,359,ESCM-APP
27/10/2017 04:38,677,675 /escm/login/auth,500,Internal Server Error,Thread Group 1-1,text,false,7124,1,1,http://10.10.3.16:8080/escm/login/auth,675,ESCM-APP
27/10/2017 04:38,677,Hit_the_portal_with-cache,,"Number of samples in transaction : 1, number of failing samples : 1",Thread Group 1-1,,false,7124,1,1,null,675,ESCM-APP
27/10/2017 04:38,979,676 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-1,text,true,9487,1,1,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,190,ESCM-APP
27/10/2017 04:38,700,680 /escm/dashboard/myAccountInfo,200,OK,Thread Group 1-1,text,true,8450,1,1,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,696,ESCM-APP
27/10/2017 04:38,1679,SP_user_login_46_with_cache,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,17937,1,1,null,886,ESCM-APP
27/10/2017 04:38,3189,createDraftOrder,200,OK,Thread Group 1-1,text,true,412,1,1,http://10.10.3.16:8080/escm/services/order?wsdl,3189,ESCM-APP
27/10/2017 04:38,744,675 /escm/login/auth,500,Internal Server Error,Thread Group 1-1,text,false,7124,1,1,http://10.10.3.16:8080/escm/login/auth,741,ESCM-APP
27/10/2017 04:38,744,Hit_the_portal_with-cache,,"Number of samples in transaction : 1, number of failing samples : 1",Thread Group 1-1,,false,7124,1,1,null,741,ESCM-APP
27/10/2017 04:38,908,676 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-1,text,true,9487,1,1,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,187,ESCM-APP
27/10/2017 04:38,719,680 /escm/dashboard/myAccountInfo,200,OK,Thread Group 1-1,text,true,8450,1,1,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,716,ESCM-APP
27/10/2017 04:38,1627,SP_user_login_46_with_cache,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,17937,1,1,null,903,ESCM-APP
27/10/2017 04:38,2138,createDraftOrder,200,OK,Thread Group 1-1,text,true,412,1,1,http://10.10.3.16:8080/escm/services/order?wsdl,2138,ESCM-APP
27/10/2017 04:38,634,675 /escm/login/auth,500,Internal Server Error,Thread Group 1-1,text,false,7119,1,1,http://10.10.3.16:8080/escm/login/auth,630,ESCM-APP
27/10/2017 04:38,634,Hit_the_portal_with-cache,,"Number of samples in transaction : 1, number of failing samples : 1",Thread Group 1-1,,false,7119,1,1,null,630,ESCM-APP
27/10/2017 04:38,975,676 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-1,text,true,9487,1,1,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,201,ESCM-APP
27/10/2017 04:38,678,680 /escm/dashboard/myAccountInfo,200,OK,Thread Group 1-1,text,true,8450,1,1,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,673,ESCM-APP
27/10/2017 04:38,1653,SP_user_login_46_with_cache,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,17937,1,1,null,874,ESCM-APP
27/10/2017 04:38,1000,createDraftOrder,200,OK,Thread Group 1-1,text,true,412,1,1,http://10.10.3.16:8080/escm/services/order?wsdl,1000,ESCM-APP
27/10/2017 04:38,626,675 /escm/login/auth,500,Internal Server Error,Thread Group 1-1,text,false,7124,1,1,http://10.10.3.16:8080/escm/login/auth,624,ESCM-APP
27/10/2017 04:38,626,Hit_the_portal_with-cache,,"Number of samples in transaction : 1, number of failing samples : 1",Thread Group 1-1,,false,7124,1,1,null,624,ESCM-APP
27/10/2017 04:38,857,676 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-1,text,true,9487,1,1,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,179,ESCM-APP
27/10/2017 04:38,680,680 /escm/dashboard/myAccountInfo,200,OK,Thread Group 1-1,text,true,8450,1,1,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,677,ESCM-APP
27/10/2017 04:38,1537,SP_user_login_46_with_cache,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,17937,1,1,null,856,ESCM-APP
27/10/2017 04:38,973,createDraftOrder,200,OK,Thread Group 1-1,text,true,412,1,1,http://10.10.3.16:8080/escm/services/order?wsdl,973,ESCM-APP
27/10/2017 04:38,618,675 /escm/login/auth,500,Internal Server Error,Thread Group 1-1,text,false,7119,1,1,http://10.10.3.16:8080/escm/login/auth,614,ESCM-APP
27/10/2017 04:38,618,Hit_the_portal_with-cache,,"Number of samples in transaction : 1, number of failing samples : 1",Thread Group 1-1,,false,7119,1,1,null,614,ESCM-APP
