timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,Latency,Hostname
01/11/2017 15:10,70,createReseller,200,OK,Thread Group 1-1,text,true,,509,3,3,68,ESCM-APP
01/11/2017 15:10,20,createReseller,200,OK,Thread Group 1-2,text,true,,509,2,2,20,ESCM-APP
01/11/2017 15:10,22,createReseller,200,OK,Thread Group 1-3,text,true,,509,2,2,22,ESCM-APP
01/11/2017 15:10,22,createReseller,200,OK,Thread Group 1-4,text,true,,509,2,2,22,ESCM-APP
01/11/2017 15:10,19,createReseller,200,OK,Thread Group 1-5,text,true,,509,1,1,19,ESCM-APP
01/11/2017 15:11,20,createReseller,200,OK,Thread Group 1-1,text,true,,509,3,3,19,ESCM-APP
01/11/2017 15:11,23,createReseller,200,OK,Thread Group 1-2,text,true,,509,2,2,23,ESCM-APP
01/11/2017 15:11,22,createReseller,200,OK,Thread Group 1-3,text,true,,509,2,2,22,ESCM-APP
01/11/2017 15:11,23,createReseller,200,OK,Thread Group 1-4,text,true,,509,2,2,22,ESCM-APP
01/11/2017 15:11,37,createReseller,200,OK,Thread Group 1-5,text,true,,509,1,1,37,ESCM-APP
01/11/2017 15:13,25,createReseller,200,OK,Thread Group 1-1,text,true,,509,3,3,25,ESCM-APP
01/11/2017 15:13,30,createReseller,200,OK,Thread Group 1-2,text,true,,509,2,2,30,ESCM-APP
01/11/2017 15:13,25,createReseller,200,OK,Thread Group 1-3,text,true,,509,2,2,25,ESCM-APP
01/11/2017 15:13,25,createReseller,200,OK,Thread Group 1-4,text,true,,509,2,2,25,ESCM-APP
01/11/2017 15:13,15,createReseller,200,OK,Thread Group 1-5,text,true,,509,1,1,15,ESCM-APP
01/11/2017 15:16,4565,createReseller,200,OK,Thread Group 1-1,text,true,,405,5,5,4565,ESCM-APP
01/11/2017 15:16,3726,createReseller,500,Internal Server Error,Thread Group 1-5,text,false,,380,4,4,3726,ESCM-APP
01/11/2017 15:16,17056,createReseller,200,OK,Thread Group 1-2,text,true,,405,3,3,17055,ESCM-APP
01/11/2017 15:16,15169,createReseller,200,OK,Thread Group 1-4,text,true,,405,2,2,15169,ESCM-APP
01/11/2017 15:16,21410,createReseller,200,OK,Thread Group 1-3,text,true,,405,1,1,21410,ESCM-APP
01/11/2017 15:17,7573,createReseller,200,OK,Thread Group 1-1,text,true,,405,5,5,7573,ESCM-APP
01/11/2017 15:17,11540,createReseller,200,OK,Thread Group 1-2,text,true,,405,4,4,11540,ESCM-APP
01/11/2017 15:17,10806,createReseller,200,OK,Thread Group 1-3,text,true,,405,3,3,10806,ESCM-APP
01/11/2017 15:17,12815,createReseller,200,OK,Thread Group 1-4,text,true,,405,2,2,12815,ESCM-APP
01/11/2017 15:17,14876,createReseller,200,OK,Thread Group 1-5,text,true,,405,1,1,14876,ESCM-APP
