timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,failureMessage,bytes,grpThreads,allThreads,Latency
24/10/2017 13:25,554,675 /escm/login/auth,200,OK,Thread Group 1-1,true,,5976,1,1,551
24/10/2017 13:25,554,Hit_the_portal_with-cache,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,true,,5976,1,1,551
24/10/2017 13:25,48,675 /escm/login/auth,200,OK,Thread Group 1-2,true,,5976,2,2,44
24/10/2017 13:25,48,Hit_the_portal_with-cache,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,true,,5976,2,2,44
24/10/2017 13:25,46,675 /escm/login/auth,200,OK,Thread Group 1-3,true,,5976,3,3,44
24/10/2017 13:25,46,Hit_the_portal_with-cache,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,true,,5976,3,3,44
24/10/2017 13:25,1253,676 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-1,true,,9588,3,3,270
24/10/2017 13:25,1121,676 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-2,true,,9588,3,3,220
24/10/2017 13:25,874,680 /escm/dashboard/myAccountInfo,200,OK,Thread Group 1-1,true,,8442,3,3,872
24/10/2017 13:25,2127,SP_user_login_46_with_cache,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,true,,18030,3,3,1142
24/10/2017 13:25,872,680 /escm/dashboard/myAccountInfo,200,OK,Thread Group 1-2,true,,8442,4,4,868
24/10/2017 13:25,1993,SP_user_login_46_with_cache,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-2,true,,18030,4,4,1088
24/10/2017 13:25,44,675 /escm/login/auth,200,OK,Thread Group 1-4,true,,5976,4,4,43
24/10/2017 13:25,44,Hit_the_portal_with-cache,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,true,,5976,4,4,43
24/10/2017 13:25,1099,676 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-3,true,,9588,4,4,213
24/10/2017 13:25,43,675 /escm/login/auth,200,OK,Thread Group 1-5,true,,5976,5,5,42
24/10/2017 13:25,43,Hit_the_portal_with-cache,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,true,,5976,5,5,42
24/10/2017 13:25,1499,681 /escm/customer/index,200,OK,Thread Group 1-1,true,,16047,5,5,15
24/10/2017 13:25,1558,681 /escm/customer/index,200,OK,Thread Group 1-2,true,,16047,5,5,19
24/10/2017 13:25,1609,680 /escm/dashboard/myAccountInfo,200,OK,Thread Group 1-3,true,,8442,5,5,1605
24/10/2017 13:25,2708,SP_user_login_46_with_cache,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-3,true,,18030,5,5,1818
24/10/2017 13:25,1814,676 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-4,true,,9588,5,5,813
24/10/2017 13:25,1371,676 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-5,true,,9587,5,5,239
24/10/2017 13:25,1224,682 /escm/customer/list,200,OK,Thread Group 1-1,true,,15781,5,5,1209
24/10/2017 13:25,19,684 /escm/customer/setSearchBy,200,OK,Thread Group 1-1,true,,457,5,5,19
24/10/2017 13:25,24,686 /escm/messages,200,OK,Thread Group 1-1,true,,461,5,5,23
24/10/2017 13:25,1160,682 /escm/customer/list,200,OK,Thread Group 1-2,true,,15781,5,5,1153
24/10/2017 13:25,16,684 /escm/customer/setSearchBy,200,OK,Thread Group 1-2,true,,457,5,5,16
24/10/2017 13:25,10,686 /escm/messages,200,OK,Thread Group 1-2,true,,461,5,5,10
24/10/2017 13:25,1077,681 /escm/customer/index,200,OK,Thread Group 1-3,true,,16047,5,5,15
24/10/2017 13:25,1017,680 /escm/dashboard/myAccountInfo,200,OK,Thread Group 1-4,true,,8441,5,5,1004
24/10/2017 13:25,2831,SP_user_login_46_with_cache,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-4,true,,18029,5,5,1817
24/10/2017 13:25,449,685 /escm/customer/listByCriteria,200,OK,Thread Group 1-1,true,,4413,5,5,442
24/10/2017 13:25,425,685 /escm/customer/listByCriteria,200,OK,Thread Group 1-2,true,,4413,5,5,423
24/10/2017 13:25,1112,680 /escm/dashboard/myAccountInfo,200,OK,Thread Group 1-5,true,,8441,5,5,1105
24/10/2017 13:25,2483,SP_user_login_46_with_cache,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-5,true,,18028,5,5,1344
24/10/2017 13:25,560,687 /escm/customer/renderCustomerOrganizationDetails,200,OK,Thread Group 1-1,true,,40147,5,5,537
24/10/2017 13:25,568,687 /escm/customer/renderCustomerOrganizationDetails,200,OK,Thread Group 1-2,true,,40148,5,5,557
24/10/2017 13:25,32,688 /escm/messages,200,OK,Thread Group 1-1,true,,461,5,5,30
24/10/2017 13:25,992,682 /escm/customer/list,200,OK,Thread Group 1-3,true,,15781,5,5,979
24/10/2017 13:25,921,681 /escm/customer/index,200,OK,Thread Group 1-4,true,,16047,5,5,12
24/10/2017 13:25,25,689 /escm/messages,200,OK,Thread Group 1-1,true,,461,5,5,24
24/10/2017 13:25,3832,List_organizations_with_cache,200,"Number of samples in transaction : 8, number of failing samples : 0",Thread Group 1-1,true,,78228,5,5,2299
24/10/2017 13:25,34,688 /escm/messages,200,OK,Thread Group 1-2,true,,461,5,5,34
24/10/2017 13:25,48,684 /escm/customer/setSearchBy,200,OK,Thread Group 1-3,true,,457,5,5,48
24/10/2017 13:25,39,689 /escm/messages,200,OK,Thread Group 1-2,true,,461,5,5,39
24/10/2017 13:25,3810,List_organizations_with_cache,200,"Number of samples in transaction : 8, number of failing samples : 0",Thread Group 1-2,true,,78229,5,5,2251
24/10/2017 13:25,10,686 /escm/messages,200,OK,Thread Group 1-3,true,,461,5,5,10
24/10/2017 13:25,260,685 /escm/customer/listByCriteria,200,OK,Thread Group 1-3,true,,4413,5,5,257
24/10/2017 13:25,492,11 /escm/customer/listByCriteria,200,OK,Thread Group 1-1,true,,3338,5,5,491
24/10/2017 13:25,478,11 /escm/customer/listByCriteria,200,OK,Thread Group 1-2,true,,3338,5,5,477
24/10/2017 13:25,919,681 /escm/customer/index,200,OK,Thread Group 1-5,true,,16047,5,5,12
24/10/2017 13:25,471,687 /escm/customer/renderCustomerOrganizationDetails,200,OK,Thread Group 1-3,true,,40147,5,5,431
24/10/2017 13:25,32,688 /escm/messages,200,OK,Thread Group 1-3,true,,461,5,5,31
24/10/2017 13:25,11,689 /escm/messages,200,OK,Thread Group 1-3,true,,461,5,5,11
24/10/2017 13:25,2901,List_organizations_with_cache,200,"Number of samples in transaction : 8, number of failing samples : 0",Thread Group 1-3,true,,78228,5,5,1782
24/10/2017 13:25,975,682 /escm/customer/list,200,OK,Thread Group 1-4,true,,15781,5,5,959
24/10/2017 13:25,11,684 /escm/customer/setSearchBy,200,OK,Thread Group 1-4,true,,457,5,5,10
24/10/2017 13:25,11,686 /escm/messages,200,OK,Thread Group 1-4,true,,461,5,5,10
24/10/2017 13:25,249,685 /escm/customer/listByCriteria,200,OK,Thread Group 1-4,true,,4413,5,5,248
24/10/2017 13:25,438,11 /escm/customer/listByCriteria,200,OK,Thread Group 1-3,true,,3338,5,5,436
24/10/2017 13:25,865,682 /escm/customer/list,200,OK,Thread Group 1-5,true,,15781,5,5,860
24/10/2017 13:25,13,684 /escm/customer/setSearchBy,200,OK,Thread Group 1-5,true,,457,5,5,12
24/10/2017 13:25,10,686 /escm/messages,200,OK,Thread Group 1-5,true,,461,5,5,9
24/10/2017 13:25,499,687 /escm/customer/renderCustomerOrganizationDetails,200,OK,Thread Group 1-4,true,,40145,5,5,468
24/10/2017 13:25,11,688 /escm/messages,200,OK,Thread Group 1-4,true,,461,5,5,11
24/10/2017 13:25,11,689 /escm/messages,200,OK,Thread Group 1-4,true,,461,5,5,11
24/10/2017 13:25,2688,List_organizations_with_cache,200,"Number of samples in transaction : 8, number of failing samples : 0",Thread Group 1-4,true,,78226,5,5,1729
24/10/2017 13:25,331,685 /escm/customer/listByCriteria,200,OK,Thread Group 1-5,true,,4413,5,5,329
24/10/2017 13:25,1576,12 /escm/customer/renderCustomerOrganizationDetails,200,OK,Thread Group 1-2,true,,147433,5,5,1432
24/10/2017 13:25,14,13 /escm/messages,200,OK,Thread Group 1-2,true,,461,5,5,14
24/10/2017 13:25,10,14 /escm/messages,200,OK,Thread Group 1-2,true,,461,5,5,10
24/10/2017 13:25,2078,organization_search_by_organization_id_with_cache,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 1-2,true,,151693,5,5,1933
24/10/2017 13:25,1668,12 /escm/customer/renderCustomerOrganizationDetails,200,OK,Thread Group 1-1,true,,147433,4,4,1491
24/10/2017 13:25,11,13 /escm/messages,200,OK,Thread Group 1-1,true,,461,4,4,11
24/10/2017 13:25,8,14 /escm/messages,200,OK,Thread Group 1-1,true,,461,4,4,8
24/10/2017 13:25,2179,organization_search_by_organization_id_with_cache,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 1-1,true,,151693,4,4,2001
24/10/2017 13:25,533,11 /escm/customer/listByCriteria,200,OK,Thread Group 1-4,true,,3338,3,3,531
24/10/2017 13:25,512,687 /escm/customer/renderCustomerOrganizationDetails,200,OK,Thread Group 1-5,true,,40145,3,3,496
24/10/2017 13:25,10,688 /escm/messages,200,OK,Thread Group 1-5,true,,461,3,3,9
24/10/2017 13:25,10,689 /escm/messages,200,OK,Thread Group 1-5,true,,461,3,3,9
24/10/2017 13:25,2670,List_organizations_with_cache,200,"Number of samples in transaction : 8, number of failing samples : 0",Thread Group 1-5,true,,78226,3,3,1736
24/10/2017 13:25,1439,12 /escm/customer/renderCustomerOrganizationDetails,200,OK,Thread Group 1-3,true,,147433,3,3,1306
24/10/2017 13:25,16,13 /escm/messages,200,OK,Thread Group 1-3,true,,461,3,3,15
24/10/2017 13:25,10,14 /escm/messages,200,OK,Thread Group 1-3,true,,461,3,3,10
24/10/2017 13:25,1903,organization_search_by_organization_id_with_cache,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 1-3,true,,151693,3,3,1767
24/10/2017 13:25,484,11 /escm/customer/listByCriteria,200,OK,Thread Group 1-5,true,,3338,2,2,483
24/10/2017 13:25,1339,12 /escm/customer/renderCustomerOrganizationDetails,200,OK,Thread Group 1-4,true,,147433,2,2,1208
24/10/2017 13:25,22,13 /escm/messages,200,OK,Thread Group 1-4,true,,461,2,2,21
24/10/2017 13:25,8,14 /escm/messages,200,OK,Thread Group 1-4,true,,461,2,2,8
24/10/2017 13:25,1902,organization_search_by_organization_id_with_cache,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 1-4,true,,151693,2,2,1768
24/10/2017 13:25,1264,12 /escm/customer/renderCustomerOrganizationDetails,200,OK,Thread Group 1-5,true,,147432,1,1,1118
24/10/2017 13:25,14,13 /escm/messages,200,OK,Thread Group 1-5,true,,461,1,1,14
24/10/2017 13:25,9,14 /escm/messages,200,OK,Thread Group 1-5,true,,461,1,1,9
24/10/2017 13:25,1771,organization_search_by_organization_id_with_cache,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 1-5,true,,151692,1,1,1624
