timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,URL,Latency
13/11/2017 11:27,475,675 /escm/login/auth,200,OK,Thread Group 1-1,text,true,,5976,1,1,http://10.10.3.16:8080/escm/login/auth,472
13/11/2017 11:27,475,Hit_the_portal_with-cache,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,5976,1,1,null,472
13/11/2017 11:27,97,675 /escm/login/auth,200,OK,Thread Group 1-2,text,true,,5976,2,2,http://10.10.3.16:8080/escm/login/auth,95
13/11/2017 11:27,97,Hit_the_portal_with-cache,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,5976,2,2,null,95
13/11/2017 11:27,1012,676 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-1,text,true,,9593,2,2,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,202
13/11/2017 11:27,859,676 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-2,text,true,,9593,2,2,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,174
13/11/2017 11:27,65,675 /escm/login/auth,200,OK,Thread Group 1-3,text,true,,5976,3,3,http://10.10.3.16:8080/escm/login/auth,64
13/11/2017 11:27,65,Hit_the_portal_with-cache,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,5976,3,3,null,64
13/11/2017 11:27,624,680 /escm/dashboard/myAccountInfo,200,OK,Thread Group 1-1,text,true,,8447,3,3,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,620
13/11/2017 11:27,1636,SP_user_login_46_with_cache,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,18040,3,3,null,822
13/11/2017 11:27,669,680 /escm/dashboard/myAccountInfo,200,OK,Thread Group 1-2,text,true,,8447,3,3,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,665
13/11/2017 11:27,1528,SP_user_login_46_with_cache,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-2,,true,,18040,3,3,null,839
13/11/2017 11:27,771,681 /escm/customer/index,200,OK,Thread Group 1-1,text,true,,16047,3,3,http://10.10.3.16:8080/escm/customer/list,11
13/11/2017 11:27,37,675 /escm/login/auth,200,OK,Thread Group 1-4,text,true,,5976,4,4,http://10.10.3.16:8080/escm/login/auth,35
13/11/2017 11:27,37,Hit_the_portal_with-cache,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,5976,4,4,null,35
13/11/2017 11:27,950,676 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-3,text,true,,9594,4,4,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,169
13/11/2017 11:27,762,681 /escm/customer/index,200,OK,Thread Group 1-2,text,true,,16047,4,4,http://10.10.3.16:8080/escm/customer/list,10
13/11/2017 11:27,695,682 /escm/customer/list,200,OK,Thread Group 1-1,text,true,,15781,4,4,http://10.10.3.16:8080/escm/customer/list,691
13/11/2017 11:27,17,684 /escm/customer/setSearchBy,200,OK,Thread Group 1-1,text,true,,457,4,4,http://10.10.3.16:8080/escm/customer/setSearchBy,17
13/11/2017 11:27,12,686 /escm/messages,200,OK,Thread Group 1-1,text,true,,461,4,4,http://10.10.3.16:8080/escm/messages,12
13/11/2017 11:27,258,675 /escm/login/auth,200,OK,Thread Group 1-5,text,true,,5976,5,5,http://10.10.3.16:8080/escm/login/auth,257
13/11/2017 11:27,258,Hit_the_portal_with-cache,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,5976,5,5,null,257
13/11/2017 11:27,1273,680 /escm/dashboard/myAccountInfo,200,OK,Thread Group 1-3,text,true,,8448,5,5,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,1265
13/11/2017 11:27,2223,SP_user_login_46_with_cache,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-3,,true,,18042,5,5,null,1434
13/11/2017 11:27,1362,676 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-4,text,true,,9594,5,5,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,181
