timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Hostname
25/09/2017 15:02,1414,467 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-1,text,true,,10558,2677,2,2,http://10.10.3.16:8080/escm/order/newOrder,,708,ESCM-APP
25/09/2017 15:02,1026,467 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-2,text,true,,10558,2713,3,3,http://10.10.3.16:8080/escm/order/newOrder,,421,ESCM-APP
25/09/2017 15:02,471,470 /escm/order/newOrder,200,OK,Thread Group 1-1,text,true,,9504,637,3,3,http://10.10.3.16:8080/escm/order/newOrder,,464,ESCM-APP
25/09/2017 15:02,500,470 /escm/order/newOrder,200,OK,Thread Group 1-2,text,true,,9504,637,3,3,http://10.10.3.16:8080/escm/order/newOrder,,498,ESCM-APP
25/09/2017 15:02,1023,467 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-3,text,true,,10558,2785,4,4,http://10.10.3.16:8080/escm/order/newOrder,,411,ESCM-APP
25/09/2017 15:02,611,470 /escm/order/newOrder,200,OK,Thread Group 1-3,text,true,,9504,637,4,4,http://10.10.3.16:8080/escm/order/newOrder,,605,ESCM-APP
25/09/2017 15:02,1168,467 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-4,text,true,,10558,2773,5,5,http://10.10.3.16:8080/escm/order/newOrder,,497,ESCM-APP
25/09/2017 15:02,691,470 /escm/order/newOrder,200,OK,Thread Group 1-4,text,true,,9504,637,5,5,http://10.10.3.16:8080/escm/order/newOrder,,687,ESCM-APP
25/09/2017 15:02,1162,467 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-5,text,true,,10558,2665,6,6,http://10.10.3.16:8080/escm/order/newOrder,,533,ESCM-APP
25/09/2017 15:02,563,470 /escm/order/newOrder,200,OK,Thread Group 1-5,text,true,,9504,637,6,6,http://10.10.3.16:8080/escm/order/newOrder,,561,ESCM-APP
25/09/2017 15:02,1160,467 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-6,text,true,,10558,2773,7,7,http://10.10.3.16:8080/escm/order/newOrder,,528,ESCM-APP
25/09/2017 15:02,764,470 /escm/order/newOrder,200,OK,Thread Group 1-6,text,true,,9504,637,7,7,http://10.10.3.16:8080/escm/order/newOrder,,761,ESCM-APP
25/09/2017 15:02,1232,467 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-7,text,true,,10558,2749,8,8,http://10.10.3.16:8080/escm/order/newOrder,,513,ESCM-APP
25/09/2017 15:02,5592,471 /escm/order/listAllFeaturedOffers,200,OK,Thread Group 1-1,text,true,,5178,698,8,8,http://10.10.3.16:8080/escm/order/listAllFeaturedOffers,,5589,ESCM-APP
25/09/2017 15:02,26,472 /escm/messages,200,OK,Thread Group 1-1,text,true,,461,579,8,8,http://10.10.3.16:8080/escm/messages,,26,ESCM-APP
25/09/2017 15:02,7503,new_org_login_catalog_landing_with_cache,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 1-1,,true,,25701,4591,8,8,null,,6787,ESCM-APP
25/09/2017 15:02,871,470 /escm/order/newOrder,200,OK,Thread Group 1-7,text,true,,9504,637,8,8,http://10.10.3.16:8080/escm/order/newOrder,,869,ESCM-APP
25/09/2017 15:02,5621,471 /escm/order/listAllFeaturedOffers,200,OK,Thread Group 1-2,text,true,,5178,698,8,8,http://10.10.3.16:8080/escm/order/listAllFeaturedOffers,,5619,ESCM-APP
25/09/2017 15:02,24,472 /escm/messages,200,OK,Thread Group 1-2,text,true,,461,579,8,8,http://10.10.3.16:8080/escm/messages,,24,ESCM-APP
25/09/2017 15:02,7171,new_org_login_catalog_landing_with_cache,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 1-2,,true,,25701,4627,8,8,null,,6562,ESCM-APP
25/09/2017 15:02,1269,467 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-8,text,true,,10558,2665,7,7,http://10.10.3.16:8080/escm/order/newOrder,,546,ESCM-APP
25/09/2017 15:02,702,470 /escm/order/newOrder,200,OK,Thread Group 1-8,text,true,,9504,637,7,7,http://10.10.3.16:8080/escm/order/newOrder,,692,ESCM-APP
25/09/2017 15:02,1248,467 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-9,text,true,,10558,2665,8,8,http://10.10.3.16:8080/escm/order/newOrder,,454,ESCM-APP
25/09/2017 15:02,723,470 /escm/order/newOrder,200,OK,Thread Group 1-9,text,true,,9504,637,8,8,http://10.10.3.16:8080/escm/order/newOrder,,719,ESCM-APP
25/09/2017 15:02,6420,471 /escm/order/listAllFeaturedOffers,200,OK,Thread Group 1-3,text,true,,5178,698,8,8,http://10.10.3.16:8080/escm/order/listAllFeaturedOffers,,6418,ESCM-APP
25/09/2017 15:02,20,472 /escm/messages,200,OK,Thread Group 1-3,text,true,,461,579,9,9,http://10.10.3.16:8080/escm/messages,,20,ESCM-APP
25/09/2017 15:02,8074,new_org_login_catalog_landing_with_cache,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 1-3,,true,,25701,4699,9,9,null,,7454,ESCM-APP
25/09/2017 15:02,1266,467 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-10,text,true,,10558,2785,8,8,http://10.10.3.16:8080/escm/order/newOrder,,555,ESCM-APP
25/09/2017 15:02,580,470 /escm/order/newOrder,200,OK,Thread Group 1-10,text,true,,9504,637,8,8,http://10.10.3.16:8080/escm/order/newOrder,,578,ESCM-APP
25/09/2017 15:02,6227,471 /escm/order/listAllFeaturedOffers,200,OK,Thread Group 1-4,text,true,,5178,698,9,9,http://10.10.3.16:8080/escm/order/listAllFeaturedOffers,,6224,ESCM-APP
25/09/2017 15:02,33,472 /escm/messages,200,OK,Thread Group 1-4,text,true,,461,579,9,9,http://10.10.3.16:8080/escm/messages,,33,ESCM-APP
25/09/2017 15:02,8119,new_org_login_catalog_landing_with_cache,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 1-4,,true,,25701,4687,9,9,null,,7441,ESCM-APP
25/09/2017 15:02,1361,467 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-11,text,true,,10558,2665,8,8,http://10.10.3.16:8080/escm/order/newOrder,,529,ESCM-APP
25/09/2017 15:02,734,470 /escm/order/newOrder,200,OK,Thread Group 1-11,text,true,,9504,637,9,9,http://10.10.3.16:8080/escm/order/newOrder,,732,ESCM-APP
25/09/2017 15:02,6602,471 /escm/order/listAllFeaturedOffers,200,OK,Thread Group 1-5,text,true,,5178,698,9,9,http://10.10.3.16:8080/escm/order/listAllFeaturedOffers,,6599,ESCM-APP
25/09/2017 15:02,31,472 /escm/messages,200,OK,Thread Group 1-5,text,true,,461,579,9,9,http://10.10.3.16:8080/escm/messages,,30,ESCM-APP
25/09/2017 15:02,8358,new_org_login_catalog_landing_with_cache,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 1-5,,true,,25701,4579,9,9,null,,7723,ESCM-APP
25/09/2017 15:02,1353,467 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-12,text,true,,10558,2677,8,8,http://10.10.3.16:8080/escm/order/newOrder,,683,ESCM-APP
25/09/2017 15:02,650,470 /escm/order/newOrder,200,OK,Thread Group 1-12,text,true,,9504,637,8,8,http://10.10.3.16:8080/escm/order/newOrder,,641,ESCM-APP
25/09/2017 15:02,6442,471 /escm/order/listAllFeaturedOffers,200,OK,Thread Group 1-6,text,true,,5178,698,9,9,http://10.10.3.16:8080/escm/order/listAllFeaturedOffers,,6438,ESCM-APP
25/09/2017 15:02,21,472 /escm/messages,200,OK,Thread Group 1-6,text,true,,461,579,9,9,http://10.10.3.16:8080/escm/messages,,21,ESCM-APP
25/09/2017 15:02,8387,new_org_login_catalog_landing_with_cache,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 1-6,,true,,25701,4687,9,9,null,,7748,ESCM-APP
25/09/2017 15:02,1379,467 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-13,text,true,,10558,2761,8,8,http://10.10.3.16:8080/escm/order/newOrder,,563,ESCM-APP
25/09/2017 15:02,720,470 /escm/order/newOrder,200,OK,Thread Group 1-13,text,true,,9504,637,9,9,http://10.10.3.16:8080/escm/order/newOrder,,706,ESCM-APP
25/09/2017 15:02,1359,467 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-14,text,true,,10558,2665,9,9,http://10.10.3.16:8080/escm/order/newOrder,,631,ESCM-APP
25/09/2017 15:02,6413,471 /escm/order/listAllFeaturedOffers,200,OK,Thread Group 1-7,text,true,,5178,698,9,9,http://10.10.3.16:8080/escm/order/listAllFeaturedOffers,,6408,ESCM-APP
25/09/2017 15:02,25,472 /escm/messages,200,OK,Thread Group 1-7,text,true,,461,579,9,9,http://10.10.3.16:8080/escm/messages,,25,ESCM-APP
25/09/2017 15:02,8541,new_org_login_catalog_landing_with_cache,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 1-7,,true,,25701,4663,9,9,null,,7815,ESCM-APP
25/09/2017 15:02,6214,471 /escm/order/listAllFeaturedOffers,200,OK,Thread Group 1-8,text,true,,5178,698,9,9,http://10.10.3.16:8080/escm/order/listAllFeaturedOffers,,6211,ESCM-APP
25/09/2017 15:02,732,470 /escm/order/newOrder,200,OK,Thread Group 1-14,text,true,,9504,637,9,9,http://10.10.3.16:8080/escm/order/newOrder,,729,ESCM-APP
25/09/2017 15:02,25,472 /escm/messages,200,OK,Thread Group 1-8,text,true,,461,579,9,9,http://10.10.3.16:8080/escm/messages,,25,ESCM-APP
25/09/2017 15:02,8210,new_org_login_catalog_landing_with_cache,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 1-8,,true,,25701,4579,9,9,null,,7474,ESCM-APP
25/09/2017 15:02,1239,467 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-15,text,true,,10558,2725,8,8,http://10.10.3.16:8080/escm/order/newOrder,,548,ESCM-APP
25/09/2017 15:02,740,470 /escm/order/newOrder,200,OK,Thread Group 1-15,text,true,,9504,637,8,8,http://10.10.3.16:8080/escm/order/newOrder,,738,ESCM-APP
25/09/2017 15:02,1297,467 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-16,text,true,,10558,2725,9,9,http://10.10.3.16:8080/escm/order/newOrder,,608,ESCM-APP
25/09/2017 15:02,6498,471 /escm/order/listAllFeaturedOffers,200,OK,Thread Group 1-9,text,true,,5178,698,9,9,http://10.10.3.16:8080/escm/order/listAllFeaturedOffers,,6495,ESCM-APP
25/09/2017 15:02,27,472 /escm/messages,200,OK,Thread Group 1-9,text,true,,461,579,9,9,http://10.10.3.16:8080/escm/messages,,26,ESCM-APP
25/09/2017 15:02,8496,new_org_login_catalog_landing_with_cache,200,"Number of samples in transaction : 4, number of failing samples : 0",Thread Group 1-9,,true,,25701,4579,9,9,null,,7694,ESCM-APP
