2017/10/10 17:33:20 INFO  - jmeter.util.JMeterUtils: Setting Locale to en_US 
2017/10/10 17:33:21 INFO  - jmeter.JMeter: Loading user properties from: C:\Users\Administrator\Desktop\apache-jmeter-3.1\apache-jmeter-3.1\bin\user.properties 
2017/10/10 17:33:21 INFO  - jmeter.JMeter: Loading system properties from: C:\Users\Administrator\Desktop\apache-jmeter-3.1\apache-jmeter-3.1\bin\system.properties 
2017/10/10 17:33:21 INFO  - jmeter.JMeter: Copyright (c) 1998-2016 The Apache Software Foundation 
2017/10/10 17:33:21 INFO  - jmeter.JMeter: Version 3.1 r1770033 
2017/10/10 17:33:21 INFO  - jmeter.JMeter: java.version=1.7.0_60 
2017/10/10 17:33:21 INFO  - jmeter.JMeter: java.vm.name=Java HotSpot(TM) 64-Bit Server VM 
2017/10/10 17:33:21 INFO  - jmeter.JMeter: os.name=Windows Server 2012 R2 
2017/10/10 17:33:21 INFO  - jmeter.JMeter: os.arch=amd64 
2017/10/10 17:33:21 INFO  - jmeter.JMeter: os.version=6.3 
2017/10/10 17:33:21 INFO  - jmeter.JMeter: file.encoding=Cp1252 
2017/10/10 17:33:21 INFO  - jmeter.JMeter: Max memory     =523763712 
2017/10/10 17:33:21 INFO  - jmeter.JMeter: Available Processors =4 
2017/10/10 17:33:21 INFO  - jmeter.JMeter: Default Locale=English (United States) 
2017/10/10 17:33:21 INFO  - jmeter.JMeter: JMeter  Locale=English (United States) 
2017/10/10 17:33:21 INFO  - jmeter.JMeter: JMeterHome=C:\Users\Administrator\Desktop\apache-jmeter-3.1\apache-jmeter-3.1 
2017/10/10 17:33:21 INFO  - jmeter.JMeter: user.dir  =C:\perf_project_git\EAS_4.6\Jmeter_scripts\User_Login_from_ServiceProvider\20Users 
2017/10/10 17:33:21 INFO  - jmeter.JMeter: PWD       =C:\perf_project_git\EAS_4.6\Jmeter_scripts\User_Login_from_ServiceProvider\20Users 
2017/10/10 17:33:21 INFO  - jmeter.JMeter: IP: 10.10.3.15 Name: ESCM-APP FullName: ESCM-APP 
2017/10/10 17:33:21 INFO  - jmeter.services.FileServer: Default base='C:\perf_project_git\EAS_4.6\Jmeter_scripts\User_Login_from_ServiceProvider\20Users' 
2017/10/10 17:33:21 INFO  - jmeter.services.FileServer: Set new base='C:\perf_project_git\EAS_4.6\Jmeter_scripts\User_Login_from_ServiceProvider\20Users' 
2017/10/10 17:33:21 INFO  - jmeter.save.SaveService: Testplan (JMX) version: 2.2. Testlog (JTL) version: 2.2 
2017/10/10 17:33:21 INFO  - jmeter.save.SaveService: Using SaveService properties file encoding UTF-8 
2017/10/10 17:33:21 INFO  - jmeter.save.SaveService: Using SaveService properties version 3.1 
2017/10/10 17:33:21 INFO  - jmeter.save.SaveService: All converter versions present and correct 
2017/10/10 17:33:21 INFO  - jmeter.save.SaveService: Loading file: UserLoginasServiceProvider.jmx 
2017/10/10 17:33:22 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/html is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser 
2017/10/10 17:33:22 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xhtml+xml is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser 
2017/10/10 17:33:22 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xml is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser 
2017/10/10 17:33:22 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/xml is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser 
2017/10/10 17:33:22 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/vnd.wap.wml is org.apache.jmeter.protocol.http.parser.RegexpHTMLParser 
2017/10/10 17:33:22 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/css is org.apache.jmeter.protocol.http.parser.CssParser 
2017/10/10 17:33:22 INFO  - jmeter.protocol.http.control.CacheManager: Will only cache the following methods: [GET] 
2017/10/10 17:33:22 INFO  - jmeter.protocol.http.control.CookieManager: Settings: Delete null: true Check: true Allow variable: true Save: false Prefix: COOKIE_ 
2017/10/10 17:33:23 INFO  - jmeter.JMeter: Creating summariser <summary> 
2017/10/10 17:33:23 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2017/10/10 17:33:23 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2017/10/10 17:33:23 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2017/10/10 17:33:23 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must contain the string: '.functions.' 
2017/10/10 17:33:23 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must not contain the string: '.gui.' 
2017/10/10 17:33:24 INFO  - jmeter.JMeter: Running test (1507637004346) 
2017/10/10 17:33:24 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : Thread Group 
2017/10/10 17:33:24 INFO  - jmeter.engine.StandardJMeterEngine: Starting 20 threads for group Thread Group. 
2017/10/10 17:33:24 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2017/10/10 17:33:24 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 20 ramp-up 20 perThread 1000.0 delayedStart=false 
2017/10/10 17:33:24 INFO  - jmeter.samplers.SampleResult: Note: Sample TimeStamps are START times 
2017/10/10 17:33:24 INFO  - jmeter.samplers.SampleResult: sampleresult.default.encoding is set to ISO-8859-1 
2017/10/10 17:33:24 INFO  - jmeter.samplers.SampleResult: sampleresult.useNanoTime=true 
2017/10/10 17:33:24 INFO  - jmeter.samplers.SampleResult: sampleresult.nanoThreadSleep=5000 
2017/10/10 17:33:24 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-1 
2017/10/10 17:33:24 INFO  - jmeter.services.FileServer: Stored: user.csv 
2017/10/10 17:33:24 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2017/10/10 17:33:24 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2017/10/10 17:33:24 INFO  - jmeter.protocol.http.sampler.HTTPHCAbstractImpl: Local host = ESCM-APP 
2017/10/10 17:33:24 INFO  - jmeter.protocol.http.sampler.HTTPHC4Impl: HTTP request retry count = 0 
2017/10/10 17:33:25 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-2 
2017/10/10 17:33:26 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-3 
2017/10/10 17:33:27 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-4 
2017/10/10 17:33:28 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-5 
2017/10/10 17:33:28 INFO  - jmeter.threads.JMeterThread: Thread is done: Thread Group 1-1 
2017/10/10 17:33:28 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-1 
2017/10/10 17:33:28 INFO  - jmeter.threads.JMeterThread: Thread is done: Thread Group 1-2 
2017/10/10 17:33:28 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-2 
2017/10/10 17:33:29 INFO  - jmeter.threads.JMeterThread: Thread is done: Thread Group 1-3 
2017/10/10 17:33:29 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-3 
2017/10/10 17:33:29 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-6 
2017/10/10 17:33:30 INFO  - jmeter.reporters.Summariser: summary +     14 in 00:00:06 =    2.3/s Avg:   942 Min:    72 Max:  1937 Err:     0 (0.00%) Active: 3 Started: 6 Finished: 3 
2017/10/10 17:33:30 INFO  - jmeter.threads.JMeterThread: Thread is done: Thread Group 1-4 
2017/10/10 17:33:30 INFO  - jmeter.threads.JMeterThread: Thread finished: Thread Group 1-4 
2017/10/10 17:33:30 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-7 
2017/10/10 17:33:31 INFO  - jmeter.threads.JMeterThread: Thread started: Thread Group 1-8 
