timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency
10/10/2017 18:39,572,675 /escm/login/auth,200,OK,Thread Group 1-1,text,true,,5976,399,1,1,569
10/10/2017 18:39,572,Hit_the_portal_with-cache,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,5976,399,1,1,569
10/10/2017 18:39,123,675 /escm/login/auth,200,OK,Thread Group 1-2,text,true,,5976,399,2,2,121
10/10/2017 18:39,123,Hit_the_portal_with-cache,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,5976,399,2,2,121
10/10/2017 18:39,67,675 /escm/login/auth,200,OK,Thread Group 1-3,text,true,,5976,399,3,3,62
10/10/2017 18:39,67,Hit_the_portal_with-cache,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,5976,399,3,3,62
10/10/2017 18:39,1309,676 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-1,text,true,,9589,3294,3,3,245
10/10/2017 18:39,1198,676 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-2,text,true,,9586,3402,3,3,245
10/10/2017 18:39,860,680 /escm/dashboard/myAccountInfo,200,OK,Thread Group 1-1,text,true,,8440,646,3,3,856
10/10/2017 18:39,2169,SP_user_login_46_with_cache,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,18029,3940,3,3,1101
10/10/2017 18:39,61,675 /escm/login/auth,200,OK,Thread Group 1-4,text,true,,5976,399,3,3,57
10/10/2017 18:39,61,Hit_the_portal_with-cache,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,5976,399,3,3,57
10/10/2017 18:39,883,680 /escm/dashboard/myAccountInfo,200,OK,Thread Group 1-2,text,true,,8441,646,3,3,877
10/10/2017 18:39,2081,SP_user_login_46_with_cache,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-2,,true,,18027,4048,3,3,1122
10/10/2017 18:39,1145,676 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-3,text,true,,9587,3378,2,2,261
10/10/2017 18:39,824,680 /escm/dashboard/myAccountInfo,200,OK,Thread Group 1-3,text,true,,8444,646,3,3,818
10/10/2017 18:39,1969,SP_user_login_46_with_cache,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-3,,true,,18031,4024,3,3,1079
10/10/2017 18:39,79,675 /escm/login/auth,200,OK,Thread Group 1-5,text,true,,5976,399,2,2,75
10/10/2017 18:39,79,Hit_the_portal_with-cache,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,5976,399,2,2,75
