sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_95%_line,aggregate_report_99%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
62 /escm/login/auth,5,163,56,141,522,522,45,522,0.00%,9.6,48.9,182.67
Login Page Request,5,462,365,426,836,836,321,836,100.00%,6.0,2924.4,189.67
5 /escm/login/doAuth?id=loginform,5,1143,1173,1225,1281,1281,996,1281,0.00%,3.9,38.6,108.33
Login Page Credentials and Dashboard Display,5,1688,1732,1822,1903,1903,1442,1903,0.00%,2.6,841.7,171.51
77 /escm/order/index,5,1020,1022,1050,1059,1059,958,1059,0.00%,4.7,88.0,35.51
88 /escm/order/showOrderDetail,5,1794,1850,1855,2132,2132,1559,2132,0.00%,.1,1.8,211.38
98 /escm/messages,5,14,12,16,24,24,9,24,0.00%,.1,.0,5.62
99 /escm/recentItem,5,10,10,11,13,13,8,13,0.00%,.1,.0,1.72
Order Selection,5,3020,3036,3207,3385,3385,2733,3385,0.00%,.1,13.2,256.82
109 /escm/order/searchOrder,5,408,416,438,441,441,354,441,0.00%,.1,.3,32.33
111 /escm/messages,5,10,10,11,12,12,8,12,0.00%,.1,.0,1.33
112 /escm/recentItem,5,22,10,24,61,61,7,61,0.00%,.1,.0,20.45
110 /escm/order/showOrderDetail,5,1136,1169,1171,1340,1340,930,1340,0.00%,.1,1.8,134.32
117 /escm/messages,5,10,10,10,11,11,9,11,0.00%,454.5,204.6,0.63
118 /escm/recentItem,5,9,9,10,14,14,7,14,0.00%,357.1,118.9,2.42
Order_Search,5,1637,1686,1700,1768,1768,1500,1768,0.00%,.1,5.8,103.07
TOTAL,80,784,416,1850,2733,3207,7,3385,6.25%,1.3,90.1,877.84
