timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,URL,Filename,Latency,Hostname
12/06/2017 15:12,595,62 /escm/login/auth,200,OK,Thread Group 1-1,text,true,,5226,1,1,http://10.10.3.16:8080/escm/login/auth,,592,ESCM-APP
12/06/2017 15:12,912,Login Page Request,,"Number of samples in transaction : 15, number of failing samples : 1",Thread Group 1-1,,false,,500691,1,1,null,,761,ESCM-APP
12/06/2017 15:12,43,62 /escm/login/auth,200,OK,Thread Group 1-2,text,true,,5226,2,2,http://10.10.3.16:8080/escm/login/auth,,41,ESCM-APP
12/06/2017 15:12,332,Login Page Request,,"Number of samples in transaction : 15, number of failing samples : 1",Thread Group 1-2,,false,,500691,2,2,null,,181,ESCM-APP
12/06/2017 15:12,40,62 /escm/login/auth,200,OK,Thread Group 1-3,text,true,,5226,3,3,http://10.10.3.16:8080/escm/login/auth,,39,ESCM-APP
12/06/2017 15:12,313,Login Page Request,,"Number of samples in transaction : 15, number of failing samples : 1",Thread Group 1-3,,false,,500691,3,3,null,,179,ESCM-APP
12/06/2017 15:12,41,62 /escm/login/auth,200,OK,Thread Group 1-4,text,true,,5226,4,4,http://10.10.3.16:8080/escm/login/auth,,38,ESCM-APP
12/06/2017 15:12,309,Login Page Request,,"Number of samples in transaction : 15, number of failing samples : 1",Thread Group 1-4,,false,,500691,4,4,null,,178,ESCM-APP
12/06/2017 15:12,42,62 /escm/login/auth,200,OK,Thread Group 1-5,text,true,,5226,5,5,http://10.10.3.16:8080/escm/login/auth,,38,ESCM-APP
12/06/2017 15:12,306,Login Page Request,,"Number of samples in transaction : 15, number of failing samples : 1",Thread Group 1-5,,false,,500691,5,5,null,,178,ESCM-APP
12/06/2017 15:12,47,62 /escm/login/auth,200,OK,Thread Group 1-6,text,true,,5226,6,6,http://10.10.3.16:8080/escm/login/auth,,44,ESCM-APP
12/06/2017 15:12,305,Login Page Request,,"Number of samples in transaction : 15, number of failing samples : 1",Thread Group 1-6,,false,,500691,6,6,null,,180,ESCM-APP
12/06/2017 15:12,208,62 /escm/login/auth,200,OK,Thread Group 1-7,text,true,,5226,7,7,http://10.10.3.16:8080/escm/login/auth,,206,ESCM-APP
12/06/2017 15:12,487,Login Page Request,,"Number of samples in transaction : 15, number of failing samples : 1",Thread Group 1-7,,false,,500691,7,7,null,,358,ESCM-APP
12/06/2017 15:12,43,62 /escm/login/auth,200,OK,Thread Group 1-8,text,true,,5226,8,8,http://10.10.3.16:8080/escm/login/auth,,42,ESCM-APP
12/06/2017 15:12,323,Login Page Request,,"Number of samples in transaction : 15, number of failing samples : 1",Thread Group 1-8,,false,,500691,8,8,null,,190,ESCM-APP
12/06/2017 15:12,70,62 /escm/login/auth,200,OK,Thread Group 1-9,text,true,,5226,9,9,http://10.10.3.16:8080/escm/login/auth,,68,ESCM-APP
12/06/2017 15:12,378,Login Page Request,,"Number of samples in transaction : 15, number of failing samples : 1",Thread Group 1-9,,false,,500691,9,9,null,,232,ESCM-APP
12/06/2017 15:12,43,62 /escm/login/auth,200,OK,Thread Group 1-10,text,true,,5226,10,10,http://10.10.3.16:8080/escm/login/auth,,40,ESCM-APP
12/06/2017 15:12,342,Login Page Request,,"Number of samples in transaction : 15, number of failing samples : 1",Thread Group 1-10,,false,,500691,10,10,null,,194,ESCM-APP
12/06/2017 15:12,2497,5 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-7,text,true,,8887,10,10,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,,761,ESCM-APP
12/06/2017 15:12,2921,5 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-2,text,true,,8887,10,10,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,,785,ESCM-APP
