sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_95%_line,aggregate_report_99%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
33 /escm/login/auth,1,543,543,543,543,543,543,543,0.00%,1.8,9.4,0.00
43 /escm/images/favicon.ico,1,11,11,11,11,11,11,11,0.00%,90.9,16988.5,0.00
Hit_the_portal,1,850,850,850,850,850,850,850,100.00%,1.2,795.1,0.00
65 /escm/login/doAuth?id=loginform,1,1243,1243,1243,1243,1243,1243,1243,0.00%,.8,7.5,0.00
99 /escm/images/favicon.ico,1,5,5,5,5,5,5,5,0.00%,200.0,24.4,0.00
sp_userlogin_46,1,1907,1907,1907,1907,1907,1907,1907,0.00%,.5,235.5,0.00
49 /escm/productOffer/index,1,1177,1177,1177,1177,1177,1177,1177,0.00%,.8,10.0,0.00
61 /escm/productOffer/getAllService,1,106,106,106,106,106,106,106,0.00%,9.4,4.5,0.00
59 /escm/productOffer/offerList,1,41,41,41,41,41,41,41,0.00%,24.4,133.8,0.00
62 /escm/messages,1,12,12,12,12,12,12,12,0.00%,83.3,37.5,0.00
63 /escm/messages,1,12,12,12,12,12,12,12,0.00%,83.3,37.5,0.00
65 /escm/recentItem,1,11,11,11,11,11,11,11,0.00%,90.9,30.3,0.00
66 /escm/recentItem,1,8,8,8,8,8,8,8,0.00%,125.0,41.6,0.00
60 /escm/productOffer/offerList,1,143,143,143,143,143,143,143,0.00%,7.0,51.5,0.00
67 /escm/messages,1,12,12,12,12,12,12,12,0.00%,83.3,37.5,0.00
72 /escm/recentItem,1,9,9,9,9,9,9,9,0.00%,111.1,37.0,0.00
List_offers,1,1616,1616,1616,1616,1616,1616,1616,0.00%,.6,64.8,0.00
TOTAL,17,453,41,1243,1616,1907,5,1907,5.88%,8.9,764.8,629.52
