sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_95%_line,aggregate_report_99%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
33 /escm/login/auth,20,140,70,250,449,660,35,660,0.00%,30.3,154.7,153.86
43 /escm/images/favicon.ico,20,10,8,18,20,20,4,20,0.00%,1000.0,186874.0,4.96
Hit_the_portal,20,537,518,743,746,971,320,971,100.00%,20.6,13920.3,165.52
65 /escm/login/doAuth?id=loginform,20,1639,1581,1894,1901,1995,1203,1995,0.00%,10.0,91.6,204.64
99 /escm/images/favicon.ico,20,10,8,15,17,35,3,35,0.00%,571.4,69.8,6.80
sp_userlogin_46,20,2549,2583,2897,2915,3037,1964,3037,0.00%,6.6,2957.2,295.16
49 /escm/productOffer/index,20,1060,1060,1283,1360,1369,823,1369,0.00%,14.6,172.4,169.87
61 /escm/productOffer/getAllService,20,64,26,174,196,219,13,219,0.00%,91.3,43.6,66.27
59 /escm/productOffer/offerList,20,56,43,94,114,133,29,133,0.00%,150.4,825.0,28.89
62 /escm/messages,20,22,10,29,72,146,7,146,0.00%,137.0,61.7,31.69
63 /escm/messages,20,19,10,29,64,110,7,110,0.00%,181.8,81.9,24.38
65 /escm/recentItem,20,12,10,19,19,33,7,33,0.00%,606.1,201.8,6.09
66 /escm/recentItem,20,14,13,23,23,30,6,30,0.00%,666.7,222.0,6.28
60 /escm/productOffer/offerList,20,247,232,349,372,375,141,375,0.00%,53.3,392.6,71.99
67 /escm/messages,20,28,13,68,86,138,8,138,0.00%,144.9,65.2,33.73
72 /escm/recentItem,20,14,11,18,42,46,6,46,0.00%,434.8,144.8,10.50
List_offers,20,1654,1608,1939,1992,2217,1142,2217,0.00%,9.0,944.2,266.21
TOTAL,340,475,38,1746,2217,2870,3,3037,5.88%,112.0,9603.2,762.28
