sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_95%_line,aggregate_report_99%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
33 /escm/login/auth,5,167,52,109,588,588,42,588,0.00%,8.5,43.4,211.71
43 /escm/images/favicon.ico,5,9,9,12,12,12,6,12,0.00%,416.7,77864.2,2.24
Hit_the_portal,5,574,520,580,945,945,360,945,100.00%,5.3,3575.8,198.70
65 /escm/login/doAuth?id=loginform,5,1305,1269,1316,1612,1612,1123,1612,0.00%,3.1,28.7,166.37
99 /escm/images/favicon.ico,5,7,8,9,12,12,4,12,0.00%,.1,.0,3.07
sp_userlogin_46,5,2116,2059,2129,2476,2476,1911,2476,0.00%,2.0,907.0,193.13
49 /escm/productOffer/index,5,1025,966,1083,1346,1346,776,1346,0.00%,.1,1.0,188.11
61 /escm/productOffer/getAllService,5,50,29,44,147,147,15,147,0.00%,.1,.0,49.67
59 /escm/productOffer/offerList,5,59,70,73,91,91,29,91,0.00%,.1,.5,24.37
62 /escm/messages,5,12,12,14,17,17,7,17,0.00%,.1,.0,3.31
63 /escm/messages,5,12,13,14,17,17,8,17,0.00%,.1,.0,3.52
65 /escm/recentItem,5,9,9,11,15,15,7,15,0.00%,.1,.0,2.99
66 /escm/recentItem,5,8,9,10,10,10,6,10,0.00%,.1,.0,1.50
60 /escm/productOffer/offerList,5,189,191,201,208,208,165,208,0.00%,.1,.6,15.27
67 /escm/messages,5,15,10,25,27,27,8,27,0.00%,.1,.0,8.55
72 /escm/recentItem,5,20,8,12,68,68,7,68,0.00%,.1,.0,23.76
List_offers,5,1538,1555,1840,1878,1878,1104,1878,0.00%,.1,8.5,298.69
TOTAL,85,418,29,1346,1911,2129,4,2476,5.88%,1.4,118.9,655.17
