Label,# Samples,Average,Min,Max,90% Line,Std. Dev.,Error %,Throughput,Received KB/sec,Avg. Bytes
33 /escm/login/auth,5,167,42,588,109,211.71,0.00%,8.5,43.40,5226.0
43 /escm/images/favicon.ico,5,9,6,12,12,2.24,0.00%,416.7,77864.18,191359.0
Hit_the_portal,5,574,360,945,580,198.70,100.00%,5.3,3575.82,692050.0
65 /escm/login/doAuth?id=loginform,5,1305,1123,1612,1316,166.37,0.00%,3.1,28.71,9477.0
99 /escm/images/favicon.ico,5,7,4,12,9,3.07,0.00%,.1,0.01,125.0
sp_userlogin_46,5,2116,1911,2476,2129,193.13,0.00%,2.0,907.04,459947.0
49 /escm/productOffer/index,5,1025,776,1346,1083,188.11,0.00%,.1,0.97,12079.6
61 /escm/productOffer/getAllService,5,50,15,147,44,49.67,0.00%,.1,0.04,489.0
59 /escm/productOffer/offerList,5,59,29,91,73,24.37,0.00%,.1,0.46,5618.0
62 /escm/messages,5,12,7,17,14,3.31,0.00%,.1,0.04,461.0
63 /escm/messages,5,12,8,17,14,3.52,0.00%,.1,0.04,461.0
65 /escm/recentItem,5,9,7,15,11,2.99,0.00%,.1,0.03,341.0
66 /escm/recentItem,5,8,6,10,10,1.50,0.00%,.1,0.03,341.0
60 /escm/productOffer/offerList,5,189,165,208,201,15.27,0.00%,.1,0.61,7538.0
67 /escm/messages,5,15,8,27,25,8.55,0.00%,.1,0.04,461.0
72 /escm/recentItem,5,20,7,68,12,23.76,0.00%,.1,0.03,341.0
List_offers,5,1538,1104,1878,1840,298.69,0.00%,.1,8.54,107180.6
TOTAL,85,418,4,2476,1346,655.17,5.88%,1.4,118.94,87852.7
