sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_95%_line,aggregate_report_99%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
88 /escm/login/auth,10,151,78,262,262,552,46,552,0.00%,18.1,105.7,150.82
93 /escm/images/favicon.ico,10,27,8,74,74,143,5,143,0.00%,69.9,13068.1,43.18
New_hit_the_portal_4.6,10,723,603,1030,1030,1140,491,1140,0.00%,8.8,6704.2,216.63
158 /escm/login/doAuth?id=loginform,10,2265,1498,4879,4879,4925,1111,4925,0.00%,2.0,19.1,1411.50
184 /escm/images/favicon.ico,10,5,5,10,10,12,3,12,0.00%,833.3,101.7,2.75
new_SP_user_login_4.6,10,3630,3218,6475,6475,6555,2128,6555,0.00%,1.5,904.8,1568.96
1 /escm/order/index,10,3196,2168,5742,5742,6244,1438,6244,0.00%,1.6,34.7,1710.43
51 /escm/images/favicon.ico,10,12,4,41,41,48,3,48,0.00%,208.3,25.4,16.12
56 /escm/images/sidebar-bg.jpg,10,7,5,13,13,16,3,16,0.00%,625.0,1039.4,4.20
59 /escm/order/showOrderDetail,10,4791,2709,9558,9558,9736,1148,9736,0.00%,1.0,22.5,3528.83
69 /escm/messages,10,14,11,24,24,28,8,28,0.00%,357.1,160.8,6.42
70 /escm/recentItem,10,12,9,19,19,30,7,30,0.00%,333.3,111.0,6.83
new_List_Orders,10,9604,9729,12742,12742,13169,4183,13169,0.00%,.8,552.2,3011.51
TOTAL,130,1880,84,6475,9558,12742,3,13169,0.00%,9.9,1771.5,3129.23
