timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency
11/09/2017 17:52,613,88 /escm/login/auth,200,OK,Thread Group 1-1,text,true,,5976,369,1,1,http://10.10.3.16:8080/escm/login/auth,609
11/09/2017 17:52,9,93 /escm/images/favicon.ico,200,OK,Thread Group 1-1,bin,true,,191359,430,1,1,http://10.10.3.16:8080/escm/images/favicon.ico,8
11/09/2017 17:52,1038,New_hit_the_portal_4.6,200,"Number of samples in transaction : 16, number of failing samples : 0",Thread Group 1-1,,true,,782623,7020,1,1,null,788
11/09/2017 17:52,1156,158 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-1,text,true,,9614,3173,1,1,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,264
11/09/2017 17:52,5,184 /escm/images/favicon.ico,304,Not Modified,Thread Group 1-1,,true,,125,653,1,1,http://10.10.3.16:8080/escm/images/favicon.ico,0
11/09/2017 17:52,2102,new_SP_user_login_4.6,200,"Number of samples in transaction : 62, number of failing samples : 0",Thread Group 1-1,,true,,607331,38610,1,1,null,819
11/09/2017 17:52,1125,1 /escm/order/index,200,OK,Thread Group 1-1,text,true,,22173,1233,1,1,http://10.10.3.16:8080/escm/order/list,12
11/09/2017 17:52,4,51 /escm/images/favicon.ico,304,Not Modified,Thread Group 1-1,,true,,125,603,1,1,http://10.10.3.16:8080/escm/images/favicon.ico,0
11/09/2017 17:52,8,56 /escm/images/sidebar-bg.jpg,200,OK,Thread Group 1-1,bin,true,,1703,560,1,1,http://10.10.3.16:8080/escm/images/sidebar-bg.jpg,8
11/09/2017 17:52,1521,59 /escm/order/showOrderDetail,200,OK,Thread Group 1-1,text,true,,22387,623,1,1,http://10.10.3.16:8080/escm/order/showOrderDetail,1515
11/09/2017 17:52,12,69 /escm/messages,200,OK,Thread Group 1-1,text,true,,461,575,1,1,http://10.10.3.16:8080/escm/messages,12
11/09/2017 17:52,13,70 /escm/recentItem,200,OK,Thread Group 1-1,text,true,,341,577,1,1,http://10.10.3.16:8080/escm/recentItem,12
11/09/2017 17:52,3798,new_List_Orders,200,"Number of samples in transaction : 76, number of failing samples : 0",Thread Group 1-1,,true,,744667,44491,1,1,null,2149
