Label,# Samples,Average,Min,Max,90% Line,Std. Dev.,Error %,Throughput,Received KB/sec,Avg. Bytes
88 /escm/login/auth,1,613,613,613,613,0.00,0.00%,1.6,9.52,5976.0
93 /escm/images/favicon.ico,1,9,9,9,9,0.00,0.00%,111.1,20763.78,191359.0
New_hit_the_portal_4.6,1,1038,1038,1038,1038,0.00,0.00%,1.0,736.30,782623.0
158 /escm/login/doAuth?id=loginform,1,1156,1156,1156,1156,0.00,0.00%,.9,8.12,9614.0
184 /escm/images/favicon.ico,1,5,5,5,5,0.00,0.00%,200.0,24.41,125.0
new_SP_user_login_4.6,1,2102,2102,2102,2102,0.00,0.00%,.5,282.16,607331.0
1 /escm/order/index,1,1125,1125,1125,1125,0.00,0.00%,.9,19.25,22173.0
51 /escm/images/favicon.ico,1,4,4,4,4,0.00,0.00%,250.0,30.52,125.0
56 /escm/images/sidebar-bg.jpg,1,8,8,8,8,0.00,0.00%,125.0,207.89,1703.0
59 /escm/order/showOrderDetail,1,1521,1521,1521,1521,0.00,0.00%,.7,14.37,22387.0
69 /escm/messages,1,12,12,12,12,0.00,0.00%,83.3,37.52,461.0
70 /escm/recentItem,1,13,13,13,13,0.00,0.00%,76.9,25.62,341.0
new_List_Orders,1,3798,3798,3798,3798,0.00,0.00%,.3,191.47,744667.0
TOTAL,13,877,4,3798,2102,1081.61,0.00%,3.4,614.24,183760.4
