timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency
21/07/2017 15:09,1616,65 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-1,text,true,,9546,2947,2,2,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,671
21/07/2017 15:09,1114,65 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-2,text,true,,9542,2957,3,3,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,307
21/07/2017 15:09,16,99 /escm/images/favicon.ico,200,OK,Thread Group 1-1,bin,true,,191359,559,3,3,http://10.10.3.16:8080/escm/images/favicon.ico,14
21/07/2017 15:09,2424,sp_userlogin_46,200,"Number of samples in transaction : 43, number of failing samples : 0",Thread Group 1-1,,true,,653213,27188,3,3,null,1194
21/07/2017 15:09,7,99 /escm/images/favicon.ico,200,OK,Thread Group 1-2,bin,true,,191359,559,3,3,http://10.10.3.16:8080/escm/images/favicon.ico,5
21/07/2017 15:09,1863,sp_userlogin_46,200,"Number of samples in transaction : 43, number of failing samples : 0",Thread Group 1-2,,true,,653209,27198,3,3,null,758
21/07/2017 15:09,1109,65 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-3,text,true,,9544,2937,4,4,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,317
21/07/2017 15:09,15,99 /escm/images/favicon.ico,200,OK,Thread Group 1-3,bin,true,,191359,559,4,4,http://10.10.3.16:8080/escm/images/favicon.ico,13
21/07/2017 15:09,1189,1 /escm/order/index,200,OK,Thread Group 1-1,text,true,,19053,1227,4,4,http://10.10.3.16:8080/escm/order/list,33
21/07/2017 15:09,1193,65 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-4,text,true,,9547,2867,5,5,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,353
21/07/2017 15:09,2165,sp_userlogin_46,200,"Number of samples in transaction : 43, number of failing samples : 0",Thread Group 1-3,,true,,653211,27178,5,5,null,916
21/07/2017 15:09,1355,1 /escm/order/index,200,OK,Thread Group 1-2,text,true,,19050,1227,5,5,http://10.10.3.16:8080/escm/order/list,19
