sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_95%_line,aggregate_report_99%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
88 /escm/login/auth,5,173,64,124,589,589,41,589,0.00%,8.5,49.5,209.83
93 /escm/images/favicon.ico,5,9,10,11,12,12,6,12,0.00%,416.7,77864.2,2.53
New_hit_the_portal_4.6,5,678,529,875,1045,1045,452,1045,0.00%,4.8,3656.8,237.06
158 /escm/login/doAuth?id=loginform,5,1144,1134,1157,1291,1291,1055,1291,0.00%,3.9,36.4,81.88
184 /escm/images/favicon.ico,5,4,4,4,9,9,3,9,0.00%,555.6,67.8,2.24
new_SP_user_login_4.6,5,2052,1990,2084,2252,2252,1959,2252,0.00%,2.2,1316.8,108.48
1 /escm/order/index,5,1400,1411,1435,1545,1545,1202,1545,0.00%,3.2,70.1,111.02
51 /escm/images/favicon.ico,5,5,5,6,7,7,4,7,0.00%,714.3,87.2,1.02
56 /escm/images/sidebar-bg.jpg,5,4,4,4,6,6,3,6,0.00%,833.3,1385.9,1.10
59 /escm/order/showOrderDetail,5,1281,1278,1322,1440,1440,1153,1440,0.00%,3.5,75.9,97.68
69 /escm/messages,5,9,8,10,16,16,7,16,0.00%,312.5,140.7,3.25
70 /escm/recentItem,5,10,9,14,15,15,7,15,0.00%,333.3,111.0,3.26
new_List_Orders,5,3596,3642,3761,3828,3828,3178,3828,0.00%,1.3,949.9,227.34
TOTAL,65,797,64,1990,3573,3761,3,3828,0.00%,17.0,3047.2,1055.03
