Label,# Samples,Average,Min,Max,90% Line,Std. Dev.,Error %,Throughput,Received KB/sec,Avg. Bytes
33 /escm/login/auth,20,152,49,675,339,172.21,0.00%,.1,0.42,5226.0
43 /escm/images/favicon.ico,20,35,7,121,83,34.22,0.00%,.1,15.57,191359.0
Hit_the_portal,20,707,395,1083,1018,216.83,100.00%,.1,56.08,692050.0
65 /escm/login/doAuth?id=loginform,20,1834,1129,2769,2567,460.96,0.00%,.1,0.76,9471.6
99 /escm/images/favicon.ico,20,14,3,30,28,8.28,0.00%,.1,0.01,125.0
sp_userlogin_46,20,3125,1956,4200,3936,581.80,0.00%,.1,36.82,459941.6
324 /escm/customer/index,20,1059,708,1527,1243,204.08,0.00%,.1,0.67,10372.6
381 /escm/customer/setSearchBy,20,27,11,115,38,29.24,0.00%,.1,0.03,457.0
374 /escm/images/favicon.ico,20,10,3,27,16,5.35,0.00%,.1,0.01,125.0
382 /escm/customer/listByCriteria,20,504,280,984,753,179.71,0.00%,.1,0.27,4180.0
384 /escm/messages,20,33,9,122,70,28.23,0.00%,.1,0.03,461.0
385 /escm/customer/renderCustomerOrganizationDetails,20,751,428,1298,968,211.76,0.00%,.1,2.58,39694.4
405 /escm/messages,20,17,8,36,28,7.76,0.00%,.1,0.03,461.0
406 /escm/messages,20,25,8,145,40,32.77,0.00%,.1,0.03,461.0
List_Organizations,20,4234,2495,5879,5594,946.99,0.00%,.1,40.24,625266.0
TOTAL,300,835,3,5879,2925,1283.48,6.67%,1.0,131.26,135976.7
