timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,URL,Latency
06/10/2017 13:07,611,524 /escm/login/auth,200,OK,Thread Group 1-1,text,true,,5976,1,1,http://10.10.3.16:8080/escm/login/auth,608
06/10/2017 13:07,1140,Hit_the_portal_new,200,"Number of samples in transaction : 15, number of failing samples : 0",Thread Group 1-1,,true,,591832,1,1,null,861
06/10/2017 13:07,42162,540 /success.txt,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection timed out: connect,Thread Group 1-1,text,false,,2206,1,1,http://detectportal.firefox.com:8080/success.txt,0
06/10/2017 13:07,1807,541 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-1,text,true,,9588,1,1,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,588
06/10/2017 13:07,951,543 /escm/,200,OK,Thread Group 1-1,text,true,,8772,1,1,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,45
06/10/2017 13:07,904,545 /escm/dashboard/index,200,OK,Thread Group 1-1,text,true,,8612,1,1,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,27
06/10/2017 13:07,851,546 /escm/dashboard/myAccountInfo,200,OK,Thread Group 1-1,text,true,,8444,1,1,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,846
06/10/2017 13:07,47379,SP_user_login_46_new,,"Number of samples in transaction : 55, number of failing samples : 1",Thread Group 1-1,,false,,346958,1,1,null,2056
06/10/2017 13:07,1031,598 /escm/customer/index,200,OK,Thread Group 1-1,text,true,,16047,1,1,http://10.10.3.16:8080/escm/customer/list,20
06/10/2017 13:07,849,600 /escm/customer/list,200,OK,Thread Group 1-1,text,true,,15781,1,1,http://10.10.3.16:8080/escm/customer/list,842
06/10/2017 13:07,31,650 /escm/customer/setSearchBy,200,OK,Thread Group 1-1,text,true,,457,1,1,http://10.10.3.16:8080/escm/customer/setSearchBy,30
06/10/2017 13:07,9,652 /escm/images/sidebar-bg.jpg,200,OK,Thread Group 1-1,bin,true,,1703,1,1,http://10.10.3.16:8080/escm/images/sidebar-bg.jpg,8
06/10/2017 13:07,24,654 /escm/messages,200,OK,Thread Group 1-1,text,true,,461,1,1,http://10.10.3.16:8080/escm/messages,23
06/10/2017 13:07,584,653 /escm/customer/listByCriteria,200,OK,Thread Group 1-1,text,true,,4502,1,1,http://10.10.3.16:8080/escm/customer/listByCriteria,578
06/10/2017 13:07,1162,658 /escm/customer/renderCustomerOrganizationDetails,200,OK,Thread Group 1-1,text,true,,40201,1,1,http://10.10.3.16:8080/escm/customer/renderCustomerOrganizationDetails,1123
06/10/2017 13:07,17,673 /escm/messages,200,OK,Thread Group 1-1,text,true,,461,1,1,http://10.10.3.16:8080/escm/messages,16
06/10/2017 13:07,17,674 /escm/messages,200,OK,Thread Group 1-1,text,true,,461,1,1,http://10.10.3.16:8080/escm/messages,16
06/10/2017 13:07,4800,List_Organizations_without_cache,200,"Number of samples in transaction : 76, number of failing samples : 0",Thread Group 1-1,,true,,714739,1,1,null,3309
07/10/2017 01:07,722,524 /escm/login/auth,200,OK,Thread Group 1-1,text,true,,5976,1,1,http://10.10.3.16:8080/escm/login/auth,719
07/10/2017 01:07,1448,Hit_the_portal_new,200,"Number of samples in transaction : 15, number of failing samples : 0",Thread Group 1-1,,true,,591832,1,1,null,989
07/10/2017 01:07,42129,540 /success.txt,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection timed out: connect,Thread Group 1-1,text,false,,2206,1,1,http://detectportal.firefox.com:8080/success.txt,0
07/10/2017 01:08,9141,541 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-1,text,true,,9587,1,1,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,2482
07/10/2017 01:08,1442,543 /escm/,200,OK,Thread Group 1-1,text,true,,8770,1,1,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,74
07/10/2017 01:08,1186,545 /escm/dashboard/index,200,OK,Thread Group 1-1,text,true,,8610,1,1,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,21
07/10/2017 01:08,1102,546 /escm/dashboard/myAccountInfo,200,OK,Thread Group 1-1,text,true,,8442,1,1,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,1092
07/10/2017 01:07,56674,SP_user_login_46_new,,"Number of samples in transaction : 55, number of failing samples : 1",Thread Group 1-1,,false,,346951,1,1,null,5059
