sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_95%_line,aggregate_report_99%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
33 /escm/login/auth,40,151,82,331,455,666,42,666,0.00%,.1,.6,153.02
43 /escm/images/favicon.ico,40,21,13,51,69,70,6,70,0.00%,.1,20.8,18.65
Hit_the_portal,40,727,665,1018,1304,1609,342,1609,100.00%,.1,75.0,289.58
65 /escm/login/doAuth?id=loginform,40,1881,1658,2687,3107,4459,1062,4459,0.00%,.1,1.0,738.32
99 /escm/images/favicon.ico,40,16,8,42,48,83,3,83,0.00%,.1,.0,17.94
sp_userlogin_46,40,3207,2967,4294,4910,5378,1918,5378,0.00%,.1,49.4,864.92
324 /escm/customer/index,40,1153,1000,1376,1632,3670,543,3670,0.00%,.1,1.1,596.00
381 /escm/customer/setSearchBy,40,28,17,62,72,136,8,136,0.00%,.1,.0,26.02
374 /escm/images/favicon.ico,40,23,7,24,89,366,2,366,0.00%,.1,.0,58.85
382 /escm/customer/listByCriteria,40,519,481,717,784,1402,206,1402,0.00%,.1,.5,248.18
384 /escm/messages,40,28,16,57,79,175,7,175,0.00%,.1,.1,30.31
385 /escm/customer/renderCustomerOrganizationDetails,40,784,662,1081,1291,1646,432,1646,0.00%,.1,4.3,279.03
405 /escm/messages,40,21,14,40,70,98,6,98,0.00%,.1,.1,19.83
406 /escm/messages,40,21,13,36,71,115,6,115,0.00%,.1,.1,22.19
List_Organizations,40,4524,4240,5966,6851,7056,2712,7056,0.00%,.1,67.0,1152.35
TOTAL,600,874,93,3114,4141,5724,2,7056,6.67%,1.6,218.5,1386.55
