sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_95%_line,aggregate_report_99%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
675 /escm/login/auth,30,96,50,197,204,529,35,529,0.00%,56.7,331.0,101.21
Hit_the_portal_with-cache,30,96,50,197,204,529,35,529,0.00%,56.7,331.0,101.20
676 /escm/login/doAuth?id=loginform,30,1326,1290,1547,1642,1894,990,1894,0.00%,15.8,147.0,214.13
680 /escm/dashboard/myAccountInfo,30,1004,1000,1162,1280,1562,757,1562,0.00%,19.2,158.3,168.75
SP_user_login_46_with_cache,30,2330,2312,2797,2804,2900,1764,2900,0.00%,10.3,181.3,308.05
681 /escm/customer/index,30,977,923,1189,1229,1450,728,1450,0.00%,20.7,324.2,168.15
682 /escm/customer/list,30,991,956,1180,1301,1742,692,1742,0.00%,17.2,265.4,210.44
684 /escm/customer/setSearchBy,30,15,11,22,29,61,8,61,0.00%,491.8,219.5,10.29
686 /escm/messages,30,9,8,11,11,33,7,33,0.00%,909.1,409.3,4.61
685 /escm/customer/listByCriteria,30,324,296,469,537,828,183,828,0.00%,36.2,159.3,132.95
687 /escm/customer/renderCustomerOrganizationDetails,30,559,522,733,756,844,384,844,0.00%,35.5,1395.5,118.55
688 /escm/messages,30,10,9,15,16,30,6,30,0.00%,1000.0,450.2,4.84
689 /escm/messages,30,10,8,12,13,43,7,43,0.00%,697.7,314.1,6.56
List_organizations_with_cache,30,2898,2806,3399,3558,3924,2198,3924,0.00%,7.6,585.1,393.88
524 /escm/login/auth,30,152,117,206,211,789,87,789,0.00%,.5,2.9,124.73
Hit_the_portal_new,30,621,527,709,867,2010,474,2010,0.00%,.5,286.2,285.41
540 /success.txt,30,42014,42003,42019,42022,42161,41994,42161,100.00%,.3,.6,34.95
541 /escm/login/doAuth?id=loginform,30,13129,12668,19268,21276,22629,5658,22629,0.00%,1.3,12.2,4541.97
543 /escm/,30,13168,13491,17576,17863,19754,4192,19754,0.00%,.4,3.8,3639.02
545 /escm/dashboard/index,30,14624,13564,18745,18793,19215,6248,19215,0.00%,.4,3.2,3870.90
546 /escm/dashboard/myAccountInfo,30,10921,10862,17369,17914,18027,5422,18027,0.00%,.4,3.2,3500.34
SP_user_login_46_new,30,94617,96669,105673,106773,109906,78806,109906,100.00%,.2,63.9,8772.40
598 /escm/customer/index,30,9301,8607,11940,11992,14556,5253,14556,0.00%,.4,6.3,2177.36
600 /escm/customer/list,30,7056,6037,9327,11432,12936,4224,12936,0.00%,2.3,35.8,2309.20
650 /escm/customer/setSearchBy,30,34,18,69,78,143,12,143,0.00%,209.8,93.6,28.97
652 /escm/images/sidebar-bg.jpg,30,19,8,29,40,188,4,188,0.00%,159.6,265.4,33.41
654 /escm/messages,30,64,17,99,389,452,9,452,0.00%,66.4,29.9,119.55
653 /escm/customer/listByCriteria,30,993,658,2462,3048,3503,250,3503,0.00%,8.6,37.7,899.64
658 /escm/customer/renderCustomerOrganizationDetails,30,2120,1339,4548,4558,4643,727,4643,0.00%,.5,19.1,1463.84
673 /escm/messages,30,18,15,24,25,70,11,70,0.00%,.5,.2,10.95
674 /escm/messages,30,21,14,38,55,110,10,110,0.00%,.5,.2,20.78
List_Organizations_without_cache,30,21392,22058,24257,25400,27364,16323,27364,0.00%,.3,239.7,2934.15
TOTAL,960,7528,812,18489,42002,98808,4,109906,6.25%,.0,.8,17994.70
