sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_95%_line,aggregate_report_99%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
33 /escm/login/auth,2,558,545,572,572,572,545,572,0.00%,.0,.0,13.50
43 /escm/images/favicon.ico,2,10,10,11,11,11,10,11,0.00%,.0,1.2,0.50
Hit_the_portal,2,908,880,937,937,937,880,937,100.00%,.0,4.5,28.50
65 /escm/login/doAuth?id=loginform,2,1440,1197,1683,1683,1683,1197,1683,0.00%,.0,.1,243.00
99 /escm/images/favicon.ico,2,5,5,5,5,5,5,5,0.00%,.0,.0,0.00
sp_userlogin_46,2,2164,1962,2367,2367,2367,1962,2367,0.00%,.0,3.0,202.50
324 /escm/customer/index,2,825,631,1020,1020,1020,631,1020,0.00%,.0,.1,194.50
381 /escm/customer/setSearchBy,2,24,23,25,25,25,23,25,0.00%,.0,.0,1.00
374 /escm/images/favicon.ico,2,5,5,5,5,5,5,5,0.00%,.0,.0,0.00
382 /escm/customer/listByCriteria,2,363,312,414,414,414,312,414,0.00%,.0,.0,51.00
384 /escm/messages,2,14,13,15,15,15,13,15,0.00%,.0,.0,1.00
385 /escm/customer/renderCustomerOrganizationDetails,2,753,617,890,890,890,617,890,0.00%,.0,.3,136.50
405 /escm/messages,2,11,11,12,12,12,11,12,0.00%,.0,.0,0.50
406 /escm/messages,2,15,12,18,18,18,12,18,0.00%,.0,.0,3.00
List_Organizations,2,2994,2596,3392,3392,3392,2596,3392,0.00%,.0,4.0,398.00
TOTAL,30,672,312,1962,2367,3392,5,3392,6.67%,.1,13.1,885.82
