Label,# Samples,Average,Min,Max,90% Line,Std. Dev.,Error %,Throughput,Received KB/sec,Avg. Bytes
62 /escm/login/auth,20,339,39,2715,801,732.49,0.00%,7.4,37.59,5226.0
Login Page Request,20,630,293,3073,1139,750.76,100.00%,6.5,3182.27,500691.0
5 /escm/login/doAuth?id=loginform,20,14033,12143,16956,15124,1365.97,0.00%,.3,2.33,8950.2
Login Page Credentials and Dashboard Display,20,14928,12740,17517,16293,1520.81,0.00%,1.1,364.44,326854.2
77 /escm/order/index,20,8740,6242,11001,10593,1359.45,0.00%,1.8,33.87,19079.6
88 /escm/order/showOrderDetail,20,9234,6009,13707,12514,2117.73,0.00%,1.5,31.63,22199.8
98 /escm/messages,20,20,8,50,38,11.72,0.00%,400.0,180.08,461.0
99 /escm/recentItem,20,25,7,69,57,20.71,0.00%,289.9,96.52,341.0
Order Selection,20,18443,12455,23631,22434,2998.49,0.00%,.8,140.52,170013.4
109 /escm/order/searchOrder,20,1152,414,2120,2074,584.55,0.00%,9.4,34.37,3730.8
111 /escm/messages,20,41,7,432,65,91.40,0.00%,46.3,20.84,461.0
112 /escm/recentItem,20,21,7,96,31,24.08,0.00%,208.3,69.38,341.0
110 /escm/order/showOrderDetail,20,7861,3420,14037,10759,2690.16,0.00%,1.4,31.66,22754.4
117 /escm/messages,20,34,8,176,75,39.21,0.00%,113.6,51.16,461.0
118 /escm/recentItem,20,34,7,113,107,34.84,0.00%,177.0,58.94,341.0
Order_Search,20,9327,4268,14860,12691,2821.61,0.00%,1.3,97.55,74221.2
TOTAL,320,5304,7,23631,15089,6414.09,6.25%,3.8,270.00,72257.9
