Label,# Samples,Average,Min,Max,90% Line,Std. Dev.,Error %,Throughput,Received KB/sec,Avg. Bytes
62 /escm/login/auth,20,77,26,579,116,118.06,0.00%,.3,1.70,5226.0
Login Page Request,20,343,206,888,401,131.89,100.00%,.3,162.02,500691.0
5 /escm/login/doAuth?id=loginform,20,12248,9397,14694,14239,1349.03,0.00%,1.4,13.46,10127.0
Login Page Credentials and Dashboard Display,20,13111,9798,15372,14982,1460.90,0.00%,.3,85.00,328031.0
77 /escm/order/index,20,6451,4923,7775,7466,793.97,0.00%,2.6,47.93,19081.2
88 /escm/order/showOrderDetail,20,5617,4357,6777,6664,671.16,0.00%,3.0,63.98,22199.6
98 /escm/messages,20,45,9,269,95,59.12,0.00%,74.3,33.47,461.0
99 /escm/recentItem,20,37,8,206,69,44.48,0.00%,97.1,32.33,341.0
Order Selection,20,12588,10706,14226,13485,838.92,0.00%,1.4,233.42,170014.7
109 /escm/order/searchOrder,20,543,420,766,687,88.92,0.00%,26.1,95.13,3730.8
111 /escm/messages,20,50,7,433,85,92.21,0.00%,46.2,20.79,461.0
112 /escm/recentItem,20,24,9,87,46,21.18,0.00%,229.9,76.55,341.0
110 /escm/order/showOrderDetail,20,2829,1551,4327,3856,724.14,0.00%,4.6,102.71,22754.1
117 /escm/messages,20,18,7,78,33,16.25,0.00%,256.4,115.43,461.0
118 /escm/recentItem,20,33,7,216,24,59.09,0.00%,92.6,30.83,341.0
Order_Search,20,3617,2185,5136,4512,754.44,0.00%,3.9,282.25,74221.0
TOTAL,320,3602,7,15372,12463,4836.95,6.25%,4.2,300.20,72405.1
