timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency
10/10/2017 17:31,665,675 /escm/login/auth,200,OK,Thread Group 1-1,text,true,,5976,399,1,1,661
10/10/2017 17:31,665,Hit_the_portal_with-cache,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,5976,399,1,1,661
10/10/2017 17:31,86,675 /escm/login/auth,200,OK,Thread Group 1-2,text,true,,5976,399,2,2,83
10/10/2017 17:31,86,Hit_the_portal_with-cache,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,5976,399,2,2,83
10/10/2017 17:31,65,675 /escm/login/auth,200,OK,Thread Group 1-3,text,true,,5976,399,3,3,58
10/10/2017 17:31,65,Hit_the_portal_with-cache,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,5976,399,3,3,58
10/10/2017 17:31,1600,676 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-2,text,true,,9588,3390,3,3,280
10/10/2017 17:31,1789,676 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-1,text,true,,9588,3330,3,3,350
10/10/2017 17:31,91,675 /escm/login/auth,200,OK,Thread Group 1-4,text,true,,5976,399,4,4,87
10/10/2017 17:31,91,Hit_the_portal_with-cache,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,5976,399,4,4,87
10/10/2017 17:31,1618,676 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-3,text,true,,9589,3354,4,4,305
10/10/2017 17:31,1250,680 /escm/dashboard/myAccountInfo,200,OK,Thread Group 1-2,text,true,,8442,646,4,4,1245
10/10/2017 17:31,2850,SP_user_login_46_with_cache,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-2,,true,,18030,4036,4,4,1525
10/10/2017 17:31,1249,680 /escm/dashboard/myAccountInfo,200,OK,Thread Group 1-1,text,true,,8442,646,3,3,1244
10/10/2017 17:31,3038,SP_user_login_46_with_cache,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,18030,3976,3,3,1594
10/10/2017 17:31,95,675 /escm/login/auth,200,OK,Thread Group 1-5,text,true,,5976,399,3,3,92
10/10/2017 17:31,95,Hit_the_portal_with-cache,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,5976,399,3,3,92
10/10/2017 17:31,1643,676 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-4,text,true,,9587,3390,3,3,491
10/10/2017 17:31,1281,680 /escm/dashboard/myAccountInfo,200,OK,Thread Group 1-3,text,true,,8441,646,3,3,1270
10/10/2017 17:31,2899,SP_user_login_46_with_cache,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-3,,true,,18030,4000,3,3,1575
10/10/2017 17:31,78,675 /escm/login/auth,200,OK,Thread Group 1-6,text,true,,5976,399,3,3,75
10/10/2017 17:31,78,Hit_the_portal_with-cache,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-6,,true,,5976,399,3,3,75
10/10/2017 17:31,1487,676 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-5,text,true,,9589,3294,3,3,327
10/10/2017 17:31,1073,680 /escm/dashboard/myAccountInfo,200,OK,Thread Group 1-4,text,true,,8443,646,3,3,1069
10/10/2017 17:31,2716,SP_user_login_46_with_cache,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-4,,true,,18030,4036,3,3,1560
10/10/2017 17:32,274,675 /escm/login/auth,200,OK,Thread Group 1-7,text,true,,5976,399,3,3,272
10/10/2017 17:32,274,Hit_the_portal_with-cache,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-7,,true,,5976,399,3,3,272
10/10/2017 17:31,1377,676 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-6,text,true,,9589,3330,3,3,327
10/10/2017 17:32,921,680 /escm/dashboard/myAccountInfo,200,OK,Thread Group 1-5,text,true,,8443,646,3,3,916
10/10/2017 17:31,2408,SP_user_login_46_with_cache,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-5,,true,,18032,3940,3,3,1243
10/10/2017 17:32,87,675 /escm/login/auth,200,OK,Thread Group 1-8,text,true,,5976,399,3,3,83
10/10/2017 17:32,87,Hit_the_portal_with-cache,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-8,,true,,5976,399,3,3,83
10/10/2017 17:32,1119,680 /escm/dashboard/myAccountInfo,200,OK,Thread Group 1-6,text,true,,8446,646,3,3,1108
10/10/2017 17:31,2496,SP_user_login_46_with_cache,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-6,,true,,18035,3976,3,3,1435
10/10/2017 17:32,1455,676 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-7,text,true,,9589,3330,2,2,334
10/10/2017 17:32,80,675 /escm/login/auth,200,OK,Thread Group 1-9,text,true,,5976,399,3,3,77
10/10/2017 17:32,80,Hit_the_portal_with-cache,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-9,,true,,5976,399,3,3,77
10/10/2017 17:32,1394,676 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-8,text,true,,9589,3342,3,3,280
10/10/2017 17:32,975,680 /escm/dashboard/myAccountInfo,200,OK,Thread Group 1-7,text,true,,8442,646,3,3,955
10/10/2017 17:32,2430,SP_user_login_46_with_cache,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-7,,true,,18031,3976,3,3,1289
10/10/2017 17:32,82,675 /escm/login/auth,200,OK,Thread Group 1-10,text,true,,5976,399,3,3,79
10/10/2017 17:32,82,Hit_the_portal_with-cache,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-10,,true,,5976,399,3,3,79
10/10/2017 17:32,1368,676 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-9,text,true,,9589,3402,3,3,325
10/10/2017 17:32,1019,680 /escm/dashboard/myAccountInfo,200,OK,Thread Group 1-8,text,true,,8442,646,3,3,1013
10/10/2017 17:32,2413,SP_user_login_46_with_cache,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-8,,true,,18031,3988,3,3,1293
10/10/2017 17:32,79,675 /escm/login/auth,200,OK,Thread Group 1-11,text,true,,5976,399,3,3,73
10/10/2017 17:32,79,Hit_the_portal_with-cache,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-11,,true,,5976,399,3,3,73
10/10/2017 17:32,936,680 /escm/dashboard/myAccountInfo,200,OK,Thread Group 1-9,text,true,,8442,646,3,3,933
10/10/2017 17:32,2304,SP_user_login_46_with_cache,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-9,,true,,18031,4048,3,3,1258
10/10/2017 17:32,1323,676 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-10,text,true,,9589,3354,2,2,289
10/10/2017 17:32,117,675 /escm/login/auth,200,OK,Thread Group 1-12,text,true,,5976,399,3,3,116
10/10/2017 17:32,117,Hit_the_portal_with-cache,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-12,,true,,5976,399,3,3,116
10/10/2017 17:32,996,680 /escm/dashboard/myAccountInfo,200,OK,Thread Group 1-10,text,true,,8444,646,3,3,993
10/10/2017 17:32,2319,SP_user_login_46_with_cache,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-10,,true,,18033,4000,3,3,1282
10/10/2017 17:32,1477,676 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-11,text,true,,9590,3318,2,2,373
10/10/2017 17:32,236,675 /escm/login/auth,200,OK,Thread Group 1-13,text,true,,5976,399,3,3,234
10/10/2017 17:32,236,Hit_the_portal_with-cache,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-13,,true,,5976,399,3,3,234
10/10/2017 17:32,1500,676 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-12,text,true,,9588,3366,3,3,326
10/10/2017 17:32,1140,680 /escm/dashboard/myAccountInfo,200,OK,Thread Group 1-11,text,true,,8442,646,3,3,1134
10/10/2017 17:32,2617,SP_user_login_46_with_cache,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-11,,true,,18032,3964,3,3,1507
10/10/2017 17:32,72,675 /escm/login/auth,200,OK,Thread Group 1-14,text,true,,5976,399,3,3,70
10/10/2017 17:32,72,Hit_the_portal_with-cache,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-14,,true,,5976,399,3,3,70
10/10/2017 17:32,1343,676 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-13,text,true,,9589,3354,3,3,295
10/10/2017 17:32,1027,680 /escm/dashboard/myAccountInfo,200,OK,Thread Group 1-12,text,true,,8442,646,3,3,1007
10/10/2017 17:32,2527,SP_user_login_46_with_cache,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-12,,true,,18030,4012,3,3,1333
10/10/2017 17:32,72,675 /escm/login/auth,200,OK,Thread Group 1-15,text,true,,5976,399,3,3,67
10/10/2017 17:32,72,Hit_the_portal_with-cache,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-15,,true,,5976,399,3,3,67
10/10/2017 17:32,1411,676 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-14,text,true,,9588,3366,3,3,296
10/10/2017 17:32,1039,680 /escm/dashboard/myAccountInfo,200,OK,Thread Group 1-13,text,true,,8441,646,3,3,1034
10/10/2017 17:32,2382,SP_user_login_46_with_cache,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-13,,true,,18030,4000,3,3,1329
10/10/2017 17:32,87,675 /escm/login/auth,200,OK,Thread Group 1-16,text,true,,5976,399,3,3,85
10/10/2017 17:32,87,Hit_the_portal_with-cache,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-16,,true,,5976,399,3,3,85
10/10/2017 17:32,1080,680 /escm/dashboard/myAccountInfo,200,OK,Thread Group 1-14,text,true,,8443,646,3,3,1071
