sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_95%_line,aggregate_report_99%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
62 /escm/login/auth,10,117,43,208,208,595,40,595,0.00%,16.8,85.8,166.62
Login Page Request,10,400,323,487,487,912,305,912,100.00%,11.0,5361.4,178.28
5 /escm/login/doAuth?id=loginform,10,3379,3505,3638,3638,3782,2497,3782,0.00%,2.6,24.9,370.48
Login Page Credentials and Dashboard Display,10,4387,4402,4973,4973,4991,3062,4991,0.00%,2.0,640.9,636.19
77 /escm/order/index,10,2642,2461,3256,3256,3411,1977,3411,0.00%,2.9,54.6,513.65
88 /escm/order/showOrderDetail,10,2414,2461,2565,2565,2835,1952,2835,0.00%,3.5,76.5,247.96
98 /escm/messages,10,32,17,83,83,97,9,97,0.00%,103.1,46.4,30.01
99 /escm/recentItem,10,16,17,23,23,28,8,28,0.00%,357.1,118.9,6.34
Order Selection,10,5438,5353,6184,6184,6503,4344,6503,0.00%,1.5,255.3,660.26
109 /escm/order/searchOrder,10,493,466,620,620,636,396,636,0.00%,15.7,57.3,75.83
111 /escm/messages,10,24,21,45,45,46,9,46,0.00%,217.4,97.9,11.72
112 /escm/recentItem,10,16,16,19,19,42,8,42,0.00%,238.1,79.3,9.12
110 /escm/order/showOrderDetail,10,1408,1222,1989,1989,2149,926,2149,0.00%,4.7,101.3,432.85
117 /escm/messages,10,9,9,10,10,11,7,11,0.00%,909.1,409.3,1.22
118 /escm/recentItem,10,10,8,14,14,23,7,23,0.00%,434.8,144.8,4.69
Order_Search,10,2017,1777,2613,2613,2796,1427,2796,0.00%,3.6,257.6,453.96
TOTAL,160,1425,439,4254,4973,6069,7,6503,6.25%,24.6,1736.8,1746.02
