Label,# Samples,Average,Min,Max,90% Line,Std. Dev.,Error %,Throughput,Received KB/sec,Avg. Bytes
62 /escm/login/auth,30,66,32,615,78,103.50,0.00%,.5,2.55,5226.0
Login Page Request,30,335,279,908,381,115.30,100.00%,.5,242.82,500691.0
5 /escm/login/doAuth?id=loginform,30,17417,14565,20167,19309,1727.86,0.00%,1.5,14.65,10084.6
Login Page Credentials and Dashboard Display,30,18131,15103,21105,20367,1845.30,0.00%,.4,120.38,327988.6
77 /escm/order/index,30,11401,10012,12596,11955,670.20,0.00%,2.4,44.38,19080.9
88 /escm/order/showOrderDetail,30,9711,7760,12239,11284,1137.02,0.00%,2.5,53.14,22199.4
98 /escm/messages,30,19,7,89,48,18.91,0.00%,337.1,151.75,461.0
99 /escm/recentItem,30,17,6,105,27,19.67,0.00%,285.7,95.15,341.0
Order Selection,30,21367,19603,24049,22882,1141.15,0.00%,1.2,207.11,170014.3
109 /escm/order/searchOrder,30,523,357,744,678,107.76,0.00%,40.3,146.93,3731.3
111 /escm/messages,30,21,7,92,38,22.53,0.00%,.5,0.23,461.0
112 /escm/recentItem,30,19,7,57,45,14.62,0.00%,.5,0.17,341.0
110 /escm/order/showOrderDetail,30,5265,707,8076,6772,1759.16,0.00%,.5,10.84,22968.1
117 /escm/messages,30,16,7,76,23,14.76,0.00%,.5,0.22,461.0
118 /escm/recentItem,30,29,6,354,24,69.10,0.00%,.5,0.17,341.0
Order_Search,30,5967,1483,8799,7646,1772.33,0.00%,3.4,247.84,74435.4
TOTAL,480,5644,6,24049,19039,7427.48,6.25%,3.9,278.07,72426.6
