sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_95%_line,aggregate_report_99%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
33 /escm/login/auth,10,111,47,209,209,514,35,514,0.00%,.2,.8,142.74
43 /escm/images/favicon.ico,10,6,7,8,8,9,5,9,0.00%,.2,31.1,1.14
Hit_the_portal,10,392,335,477,477,810,286,810,100.00%,.2,111.7,146.84
65 /escm/login/doAuth?id=loginform,10,10952,9000,16599,16599,17971,3019,17971,0.00%,.1,1.2,5328.37
99 /escm/images/favicon.ico,10,5,5,10,10,11,3,11,0.00%,909.1,111.0,2.53
sp_userlogin_46,10,11761,9625,17602,17602,18904,3802,18904,0.00%,.1,57.8,5469.06
49 /escm/productOffer/index,10,5861,2061,11005,11005,11236,1143,11236,0.00%,.9,10.5,4316.71
61 /escm/productOffer/getAllService,10,68,27,153,153,273,12,273,0.00%,36.6,17.5,80.48
59 /escm/productOffer/offerList,10,55,49,81,81,94,26,94,0.00%,106.4,583.7,20.64
62 /escm/messages,10,11,9,16,16,18,7,18,0.00%,555.6,250.1,3.92
63 /escm/messages,10,9,9,13,13,16,7,16,0.00%,625.0,281.4,2.84
65 /escm/recentItem,10,11,9,19,19,24,5,24,0.00%,416.7,138.8,5.69
66 /escm/recentItem,10,15,9,33,33,44,5,44,0.00%,227.3,75.7,12.40
60 /escm/productOffer/offerList,10,187,171,239,239,283,126,283,0.00%,35.3,260.1,46.48
67 /escm/messages,10,12,12,16,16,23,7,23,0.00%,434.8,195.7,4.35
72 /escm/recentItem,10,8,8,10,10,12,6,12,0.00%,833.3,277.5,1.83
List_offers,10,6349,2481,11481,11481,11549,1662,11549,0.00%,.9,90.6,4303.68
133 /escm/productOffer/productModelSearch/productModelSearch,10,2857,2409,3837,3837,5366,2076,5366,0.00%,1.9,38.9,961.61
178 /escm/images/favicon.ico,10,15,6,29,29,65,3,65,0.00%,153.8,18.8,18.23
184 /escm/productOffer/showOfferDetails,10,1005,919,1251,1251,1278,693,1278,0.00%,7.8,71.5,191.98
185 /escm/messages,10,16,12,18,18,54,7,54,0.00%,185.2,83.4,13.09
186 /escm/recentItem,10,12,12,18,18,19,6,19,0.00%,526.3,175.3,3.93
Offer_search_by_id,10,4841,4439,6144,6144,7727,3786,7727,0.00%,1.3,623.5,1144.37
TOTAL,230,1937,33,8202,11236,17602,3,18904,4.35%,3.0,253.9,4049.68
