sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_95%_line,aggregate_report_99%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
675 /escm/login/auth,10,215,58,561,561,1112,47,1112,0.00%,9.0,52.5,334.38
Hit_the_portal_with-cache,10,215,58,561,561,1112,47,1112,0.00%,9.0,52.5,334.38
143 /escm/productOffer/index,10,67,60,101,101,103,48,103,0.00%,97.1,185.6,19.02
144 /escm/productOffer/list,10,52,48,61,61,67,45,67,0.00%,149.3,285.4,7.25
147 /escm/productOffer/getAllService,10,44,43,56,56,59,29,59,100.00%,.2,.3,9.91
148 /escm/messages,10,33,30,43,43,57,22,57,100.00%,.2,.3,9.86
146 /escm/productOffer/offerList,10,52,39,89,89,90,33,90,100.00%,.2,.3,22.14
149 /escm/recentItem,10,42,39,57,57,60,29,60,100.00%,.2,.3,10.52
150 /escm/messages,10,28,25,36,36,42,21,42,100.00%,.2,.3,6.57
151 /escm/recentItem,10,38,35,50,50,56,28,56,100.00%,.2,.3,8.24
List_offers_46_SP_with_cache,10,358,342,478,478,505,267,505,100.00%,19.8,300.6,76.01
676 /escm/login/doAuth?id=loginform,10,1092,883,1687,1687,1956,536,1956,0.00%,.2,1.5,474.77
680 /escm/dashboard/myAccountInfo,10,818,789,1152,1152,2345,243,2345,0.00%,.2,1.3,603.79
SP_user_login_46_with_cache,10,1910,1993,2683,2683,3586,787,3586,0.00%,.2,2.8,842.02
167 /escm/productOffer/productModelSearch/productModelSearch,10,2112,1983,2330,2330,3614,1513,3614,0.00%,.2,3.7,564.85
168 /escm/productOffer/showOfferDetails,10,1068,792,2301,2301,2321,589,2321,0.00%,.2,1.6,631.54
169 /escm/messages,10,15,14,19,19,28,11,28,0.00%,.2,.1,4.59
170 /escm/recentItem,10,21,14,32,32,58,8,58,0.00%,.2,.1,14.70
Offer_search_by_offerid_46_with_cache,10,3219,2989,4378,4378,4662,2128,4662,0.00%,.2,5.4,872.67
TOTAL,190,600,58,2143,2539,4332,8,4662,36.84%,3.0,22.9,970.06
