Label,# Samples,Average,Min,Max,90% Line,Std. Dev.,Error %,Throughput,Received KB/sec,Avg. Bytes
675 /escm/login/auth,1,607,607,607,607,0.00,0.00%,1.6,9.61,5976.0
Hit_the_portal_with-cache,1,607,607,607,607,0.00,0.00%,1.6,9.61,5976.0
143 /escm/productOffer/index,1,90,90,90,90,0.00,0.00%,11.1,21.25,1958.0
144 /escm/productOffer/list,1,81,81,81,81,0.00,0.00%,12.3,23.61,1958.0
147 /escm/productOffer/getAllService,1,57,57,57,57,0.00,100.00%,17.5,34.35,2005.0
148 /escm/messages,1,45,45,45,45,0.00,100.00%,22.2,38.82,1789.0
146 /escm/productOffer/offerList,1,59,59,59,59,0.00,100.00%,16.9,33.19,2005.0
149 /escm/recentItem,1,53,53,53,53,0.00,100.00%,18.9,37.07,2012.0
150 /escm/messages,1,46,46,46,46,0.00,100.00%,21.7,37.98,1789.0
151 /escm/recentItem,1,49,49,49,49,0.00,100.00%,20.4,40.10,2012.0
List_offers_46_SP_with_cache,1,480,480,480,480,0.00,100.00%,2.1,31.59,15528.0
676 /escm/login/doAuth?id=loginform,1,1467,1467,1467,1467,0.00,0.00%,.7,6.39,9594.0
680 /escm/dashboard/myAccountInfo,1,806,806,806,806,0.00,0.00%,1.2,10.24,8449.0
SP_user_login_46_with_cache,1,2273,2273,2273,2273,0.00,0.00%,.4,7.75,18043.0
167 /escm/productOffer/productModelSearch/productModelSearch,1,2016,2016,2016,2016,0.00,0.00%,.5,11.39,23511.0
168 /escm/productOffer/showOfferDetails,1,1004,1004,1004,1004,0.00,0.00%,1.0,9.74,10017.0
169 /escm/messages,1,20,20,20,20,0.00,0.00%,50.0,22.51,461.0
170 /escm/recentItem,1,17,17,17,17,0.00,0.00%,58.8,19.59,341.0
Offer_search_by_offerid_46_with_cache,1,3057,3057,3057,3057,0.00,0.00%,.3,10.97,34330.0
TOTAL,19,675,17,3057,2016,880.06,36.84%,6.2,47.20,7776.5
