sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_95%_line,aggregate_report_99%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
33 /escm/login/auth,1,610,610,610,610,610,610,610,0.00%,1.6,8.4,0.00
43 /escm/images/favicon.ico,1,12,12,12,12,12,12,12,0.00%,83.3,15572.8,0.00
Hit_the_portal,1,999,999,999,999,999,999,999,100.00%,1.0,676.5,0.00
65 /escm/login/doAuth?id=loginform,1,20853,20853,20853,20853,20853,20853,20853,0.00%,.0,.4,0.00
99 /escm/images/favicon.ico,1,6,6,6,6,6,6,6,0.00%,166.7,20.3,0.00
sp_userlogin_46,1,21562,21562,21562,21562,21562,21562,21562,0.00%,.0,20.8,0.00
49 /escm/productOffer/index,1,10572,10572,10572,10572,10572,10572,10572,0.00%,.1,1.1,0.00
61 /escm/productOffer/getAllService,1,196,196,196,196,196,196,196,0.00%,5.1,2.4,0.00
59 /escm/productOffer/offerList,1,49,49,49,49,49,49,49,0.00%,20.4,112.0,0.00
62 /escm/messages,1,20,20,20,20,20,20,20,0.00%,50.0,22.5,0.00
63 /escm/messages,1,7,7,7,7,7,7,7,0.00%,142.9,64.3,0.00
65 /escm/recentItem,1,12,12,12,12,12,12,12,0.00%,83.3,27.8,0.00
66 /escm/recentItem,1,10,10,10,10,10,10,10,0.00%,100.0,33.3,0.00
60 /escm/productOffer/offerList,1,228,228,228,228,228,228,228,0.00%,4.4,32.3,0.00
67 /escm/messages,1,18,18,18,18,18,18,18,0.00%,55.6,25.0,0.00
72 /escm/recentItem,1,8,8,8,8,8,8,8,0.00%,125.0,41.6,0.00
List_offers,1,11228,11228,11228,11228,11228,11228,11228,0.00%,.1,9.3,0.00
133 /escm/productOffer/productModelSearch/productModelSearch,1,11536,11536,11536,11536,11536,11536,11536,0.00%,.1,1.8,0.00
178 /escm/images/favicon.ico,1,5,5,5,5,5,5,5,0.00%,200.0,24.4,0.00
184 /escm/productOffer/showOfferDetails,1,747,747,747,747,747,747,747,0.00%,1.3,12.2,0.00
185 /escm/messages,1,9,9,9,9,9,9,9,0.00%,111.1,50.0,0.00
186 /escm/recentItem,1,14,14,14,14,14,14,14,0.00%,71.4,23.8,0.00
Offer_search_by_id,1,13107,13107,13107,13107,13107,13107,13107,0.00%,.1,36.8,0.00
TOTAL,23,3991,49,13107,20853,21562,5,21562,4.35%,.3,27.0,6846.24
