timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,URL,Filename,Latency,Hostname
02/08/2017 17:31,244,33 /escm/login/auth,200,OK,Thread Group 1-2,text,true,,5226,2,2,http://10.10.3.16:8080/escm/login/auth,,240,ESCM-APP
02/08/2017 17:31,860,33 /escm/login/auth,200,OK,Thread Group 1-1,text,true,,5226,2,2,http://10.10.3.16:8080/escm/login/auth,,856,ESCM-APP
02/08/2017 17:31,14,43 /escm/images/favicon.ico,200,OK,Thread Group 1-2,bin,true,,191359,2,2,http://10.10.3.16:8080/escm/images/favicon.ico,,8,ESCM-APP
02/08/2017 17:31,11,43 /escm/images/favicon.ico,200,OK,Thread Group 1-1,bin,true,,191359,2,2,http://10.10.3.16:8080/escm/images/favicon.ico,,6,ESCM-APP
02/08/2017 17:31,754,Hit_the_portal,,"Number of samples in transaction : 16, number of failing samples : 1",Thread Group 1-2,,false,,692050,2,2,null,,452,ESCM-APP
02/08/2017 17:31,1368,Hit_the_portal,,"Number of samples in transaction : 16, number of failing samples : 1",Thread Group 1-1,,false,,692050,2,2,null,,1039,ESCM-APP
02/08/2017 17:31,42,33 /escm/login/auth,200,OK,Thread Group 1-3,text,true,,5226,3,3,http://10.10.3.16:8080/escm/login/auth,,39,ESCM-APP
02/08/2017 17:31,7,43 /escm/images/favicon.ico,200,OK,Thread Group 1-3,bin,true,,191359,3,3,http://10.10.3.16:8080/escm/images/favicon.ico,,5,ESCM-APP
02/08/2017 17:31,357,Hit_the_portal,,"Number of samples in transaction : 16, number of failing samples : 1",Thread Group 1-3,,false,,692050,3,3,null,,211,ESCM-APP
02/08/2017 17:31,61,33 /escm/login/auth,200,OK,Thread Group 1-4,text,true,,5226,4,4,http://10.10.3.16:8080/escm/login/auth,,58,ESCM-APP
02/08/2017 17:31,21,43 /escm/images/favicon.ico,200,OK,Thread Group 1-4,bin,true,,191359,4,4,http://10.10.3.16:8080/escm/images/favicon.ico,,8,ESCM-APP
02/08/2017 17:31,2095,65 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-2,text,true,,9591,4,4,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,,347,ESCM-APP
02/08/2017 17:31,2092,65 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-1,text,true,,9591,4,4,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,,340,ESCM-APP
02/08/2017 17:31,424,Hit_the_portal,,"Number of samples in transaction : 16, number of failing samples : 1",Thread Group 1-4,,false,,692050,4,4,null,,257,ESCM-APP
02/08/2017 17:31,50,33 /escm/login/auth,200,OK,Thread Group 1-5,text,true,,5226,5,5,http://10.10.3.16:8080/escm/login/auth,,49,ESCM-APP
02/08/2017 17:31,1624,65 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-3,text,true,,9589,5,5,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,,607,ESCM-APP
02/08/2017 17:31,7,43 /escm/images/favicon.ico,200,OK,Thread Group 1-5,bin,true,,191359,5,5,http://10.10.3.16:8080/escm/images/favicon.ico,,6,ESCM-APP
