timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,URL,Filename,Latency,Hostname
03/10/2017 13:17,552,675 /escm/login/auth,200,OK,Thread Group 1-1,text,true,,5976,1,1,http://10.10.3.16:8080/escm/login/auth,,549,ESCM-APP
03/10/2017 13:17,552,Hit_the_portal_with-cache,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,5976,1,1,null,,549,ESCM-APP
03/10/2017 13:17,1398,676 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-1,text,true,,9591,1,1,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,,391,ESCM-APP
03/10/2017 13:17,699,680 /escm/dashboard/myAccountInfo,200,OK,Thread Group 1-1,text,true,,8446,1,1,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,,689,ESCM-APP
03/10/2017 13:17,2097,SP_user_login_46_with_cache,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,18037,1,1,null,,1080,ESCM-APP
03/10/2017 13:17,1155,814 /escm/order/index,200,OK,Thread Group 1-1,text,true,,22215,1,1,http://10.10.3.16:8080/escm/order/list,,19,ESCM-APP
03/10/2017 13:17,1209,816 /escm/order/list,200,OK,Thread Group 1-1,text,true,,22060,1,1,http://10.10.3.16:8080/escm/order/list,,1197,ESCM-APP
03/10/2017 13:17,1754,817 /escm/order/showOrderDetail,200,OK,Thread Group 1-1,text,true,,22381,1,1,http://10.10.3.16:8080/escm/order/showOrderDetail,,1736,ESCM-APP
03/10/2017 13:17,23,818 /escm/messages,200,OK,Thread Group 1-1,text,true,,461,1,1,http://10.10.3.16:8080/escm/messages,,22,ESCM-APP
03/10/2017 13:17,18,819 /escm/recentItem,200,OK,Thread Group 1-1,text,true,,341,1,1,http://10.10.3.16:8080/escm/recentItem,,17,ESCM-APP
03/10/2017 13:17,4159,List_orders_with_cache,200,"Number of samples in transaction : 5, number of failing samples : 0",Thread Group 1-1,,true,,67458,1,1,null,,2991,ESCM-APP
03/10/2017 13:17,280,820 /escm/order/searchOrder,200,OK,Thread Group 1-1,text,true,,4268,1,1,http://10.10.3.16:8080/escm/order/searchOrder,,278,ESCM-APP
03/10/2017 13:17,18,822 /escm/messages,200,OK,Thread Group 1-1,text,true,,461,1,1,http://10.10.3.16:8080/escm/messages,,18,ESCM-APP
03/10/2017 13:17,14,823 /escm/recentItem,200,OK,Thread Group 1-1,text,true,,341,1,1,http://10.10.3.16:8080/escm/recentItem,,14,ESCM-APP
03/10/2017 13:17,1443,821 /escm/order/showOrderDetail,200,OK,Thread Group 1-1,text,true,,22384,1,1,http://10.10.3.16:8080/escm/order/showOrderDetail,,1436,ESCM-APP
03/10/2017 13:17,17,824 /escm/messages,200,OK,Thread Group 1-1,text,true,,461,1,1,http://10.10.3.16:8080/escm/messages,,17,ESCM-APP
03/10/2017 13:17,23,825 /escm/recentItem,200,OK,Thread Group 1-1,text,true,,341,1,1,http://10.10.3.16:8080/escm/recentItem,,22,ESCM-APP
03/10/2017 13:17,1795,order_search_by_offername_with_cache,200,"Number of samples in transaction : 6, number of failing samples : 0",Thread Group 1-1,,true,,28256,1,1,null,,1785,ESCM-APP
