sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_95%_line,aggregate_report_99%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
33 /escm/login/auth,1,564,564,564,564,564,564,564,0.00%,1.8,9.0,0.00
43 /escm/images/favicon.ico,1,10,10,10,10,10,10,10,0.00%,100.0,18687.4,0.00
Hit_the_portal,1,894,894,894,894,894,894,894,100.00%,1.1,756.0,0.00
65 /escm/login/doAuth?id=loginform,1,1112,1112,1112,1112,1112,1112,1112,0.00%,.9,8.3,0.00
99 /escm/images/favicon.ico,1,5,5,5,5,5,5,5,0.00%,200.0,24.4,0.00
sp_userlogin_46,1,1727,1727,1727,1727,1727,1727,1727,0.00%,.6,260.1,0.00
1 /escm/order/index,1,1030,1030,1030,1030,1030,1030,1030,0.00%,1.0,18.2,0.00
12 /escm/order/showOrderDetail,1,93,93,93,93,93,93,93,100.00%,10.8,13.4,0.00
22 /escm/messages,1,11,11,11,11,11,11,11,0.00%,90.9,40.9,0.00
23 /escm/recentItem,1,13,13,13,13,13,13,13,0.00%,76.9,25.6,0.00
List_Orders,1,1329,1329,1329,1329,1329,1329,1329,100.00%,.8,109.7,0.00
104 /escm/order/searchOrder,1,237,237,237,237,237,237,237,0.00%,4.2,18.4,0.00
105 /escm/order/searchOrder,1,139,139,139,139,139,139,139,0.00%,7.2,31.3,0.00
107 /escm/messages,1,9,9,9,9,9,9,9,0.00%,111.1,50.0,0.00
109 /escm/messages,1,9,9,9,9,9,9,9,0.00%,111.1,50.0,0.00
110 /escm/recentItem,1,8,8,8,8,8,8,8,0.00%,125.0,41.6,0.00
111 /escm/recentItem,1,7,7,7,7,7,7,7,0.00%,142.9,47.6,0.00
106 /escm/order/showOrderDetail,1,1105,1105,1105,1105,1105,1105,1105,0.00%,.9,19.4,0.00
108 /escm/order/showOrderDetail,1,1100,1100,1100,1100,1100,1100,1100,0.00%,.9,19.5,0.00
113 /escm/messages,1,8,8,8,8,8,8,8,0.00%,125.0,56.3,0.00
114 /escm/messages,1,8,8,8,8,8,8,8,0.00%,125.0,56.3,0.00
115 /escm/recentItem,1,8,8,8,8,8,8,8,0.00%,125.0,41.6,0.00
116 /escm/recentItem,1,8,8,8,8,8,8,8,0.00%,125.0,41.6,0.00
order_search_by_offername,1,2665,2665,2665,2665,2665,2665,2665,0.00%,.4,25.8,0.00
TOTAL,24,504,13,1329,1727,2665,5,2665,12.50%,9.0,606.5,697.69
