timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,URL,Filename,Latency,Hostname
12/06/2017 18:35,579,62 /escm/login/auth,200,OK,Thread Group 1-1,text,true,,5226,1,1,http://10.10.3.16:8080/escm/login/auth,,576,ESCM-APP
12/06/2017 18:35,42,62 /escm/login/auth,200,OK,Thread Group 1-2,text,true,,5226,2,2,http://10.10.3.16:8080/escm/login/auth,,40,ESCM-APP
12/06/2017 18:35,888,Login Page Request,,"Number of samples in transaction : 15, number of failing samples : 1",Thread Group 1-1,,false,,500691,2,2,null,,745,ESCM-APP
12/06/2017 18:35,326,Login Page Request,,"Number of samples in transaction : 15, number of failing samples : 1",Thread Group 1-2,,false,,500691,2,2,null,,183,ESCM-APP
12/06/2017 18:35,38,62 /escm/login/auth,200,OK,Thread Group 1-3,text,true,,5226,3,3,http://10.10.3.16:8080/escm/login/auth,,37,ESCM-APP
12/06/2017 18:35,305,Login Page Request,,"Number of samples in transaction : 15, number of failing samples : 1",Thread Group 1-3,,false,,500691,3,3,null,,174,ESCM-APP
12/06/2017 18:35,47,62 /escm/login/auth,200,OK,Thread Group 1-4,text,true,,5226,4,4,http://10.10.3.16:8080/escm/login/auth,,40,ESCM-APP
12/06/2017 18:35,313,Login Page Request,,"Number of samples in transaction : 15, number of failing samples : 1",Thread Group 1-4,,false,,500691,4,4,null,,173,ESCM-APP
12/06/2017 18:35,40,62 /escm/login/auth,200,OK,Thread Group 1-5,text,true,,5226,5,5,http://10.10.3.16:8080/escm/login/auth,,38,ESCM-APP
12/06/2017 18:35,309,Login Page Request,,"Number of samples in transaction : 15, number of failing samples : 1",Thread Group 1-5,,false,,500691,5,5,null,,174,ESCM-APP
12/06/2017 18:35,37,62 /escm/login/auth,200,OK,Thread Group 1-6,text,true,,5226,6,6,http://10.10.3.16:8080/escm/login/auth,,35,ESCM-APP
12/06/2017 18:35,303,Login Page Request,,"Number of samples in transaction : 15, number of failing samples : 1",Thread Group 1-6,,false,,500691,6,6,null,,162,ESCM-APP
12/06/2017 18:35,116,62 /escm/login/auth,200,OK,Thread Group 1-7,text,true,,5226,7,7,http://10.10.3.16:8080/escm/login/auth,,114,ESCM-APP
12/06/2017 18:35,411,Login Page Request,,"Number of samples in transaction : 15, number of failing samples : 1",Thread Group 1-7,,false,,500691,7,7,null,,267,ESCM-APP
12/06/2017 18:35,38,62 /escm/login/auth,200,OK,Thread Group 1-8,text,true,,5226,8,8,http://10.10.3.16:8080/escm/login/auth,,36,ESCM-APP
12/06/2017 18:35,282,Login Page Request,,"Number of samples in transaction : 15, number of failing samples : 1",Thread Group 1-8,,false,,500691,8,8,null,,162,ESCM-APP
12/06/2017 18:35,50,62 /escm/login/auth,200,OK,Thread Group 1-9,text,true,,5226,9,9,http://10.10.3.16:8080/escm/login/auth,,49,ESCM-APP
12/06/2017 18:35,314,Login Page Request,,"Number of samples in transaction : 15, number of failing samples : 1",Thread Group 1-9,,false,,500691,9,9,null,,179,ESCM-APP
12/06/2017 18:35,42,62 /escm/login/auth,200,OK,Thread Group 1-10,text,true,,5226,10,10,http://10.10.3.16:8080/escm/login/auth,,40,ESCM-APP
12/06/2017 18:35,364,Login Page Request,,"Number of samples in transaction : 15, number of failing samples : 1",Thread Group 1-10,,false,,500691,10,10,null,,157,ESCM-APP
12/06/2017 18:35,39,62 /escm/login/auth,200,OK,Thread Group 1-11,text,true,,5226,11,11,http://10.10.3.16:8080/escm/login/auth,,38,ESCM-APP
12/06/2017 18:35,290,Login Page Request,,"Number of samples in transaction : 15, number of failing samples : 1",Thread Group 1-11,,false,,500691,11,11,null,,159,ESCM-APP
12/06/2017 18:35,131,62 /escm/login/auth,200,OK,Thread Group 1-12,text,true,,5226,12,12,http://10.10.3.16:8080/escm/login/auth,,129,ESCM-APP
12/06/2017 18:35,401,Login Page Request,,"Number of samples in transaction : 15, number of failing samples : 1",Thread Group 1-12,,false,,500691,12,12,null,,275,ESCM-APP
12/06/2017 18:36,43,62 /escm/login/auth,200,OK,Thread Group 1-13,text,true,,5226,13,13,http://10.10.3.16:8080/escm/login/auth,,42,ESCM-APP
12/06/2017 18:36,301,Login Page Request,,"Number of samples in transaction : 15, number of failing samples : 1",Thread Group 1-13,,false,,500691,13,13,null,,168,ESCM-APP
12/06/2017 18:36,40,62 /escm/login/auth,200,OK,Thread Group 1-14,text,true,,5226,14,14,http://10.10.3.16:8080/escm/login/auth,,39,ESCM-APP
12/06/2017 18:36,307,Login Page Request,,"Number of samples in transaction : 15, number of failing samples : 1",Thread Group 1-14,,false,,500691,14,14,null,,173,ESCM-APP
12/06/2017 18:36,36,62 /escm/login/auth,200,OK,Thread Group 1-15,text,true,,5226,15,15,http://10.10.3.16:8080/escm/login/auth,,36,ESCM-APP
12/06/2017 18:36,304,Login Page Request,,"Number of samples in transaction : 15, number of failing samples : 1",Thread Group 1-15,,false,,500691,15,15,null,,166,ESCM-APP
12/06/2017 18:36,26,62 /escm/login/auth,200,OK,Thread Group 1-16,text,true,,5226,16,16,http://10.10.3.16:8080/escm/login/auth,,25,ESCM-APP
12/06/2017 18:36,206,Login Page Request,,"Number of samples in transaction : 15, number of failing samples : 1",Thread Group 1-16,,false,,500691,16,16,null,,119,ESCM-APP
12/06/2017 18:36,85,62 /escm/login/auth,200,OK,Thread Group 1-17,text,true,,5226,17,17,http://10.10.3.16:8080/escm/login/auth,,83,ESCM-APP
12/06/2017 18:36,356,Login Page Request,,"Number of samples in transaction : 15, number of failing samples : 1",Thread Group 1-17,,false,,500691,17,17,null,,221,ESCM-APP
12/06/2017 18:36,39,62 /escm/login/auth,200,OK,Thread Group 1-18,text,true,,5226,18,18,http://10.10.3.16:8080/escm/login/auth,,36,ESCM-APP
12/06/2017 18:36,291,Login Page Request,,"Number of samples in transaction : 15, number of failing samples : 1",Thread Group 1-18,,false,,500691,18,18,null,,165,ESCM-APP
12/06/2017 18:36,38,62 /escm/login/auth,200,OK,Thread Group 1-19,text,true,,5226,19,19,http://10.10.3.16:8080/escm/login/auth,,36,ESCM-APP
12/06/2017 18:36,300,Login Page Request,,"Number of samples in transaction : 15, number of failing samples : 1",Thread Group 1-19,,false,,500691,19,19,null,,171,ESCM-APP
12/06/2017 18:36,46,62 /escm/login/auth,200,OK,Thread Group 1-20,text,true,,5226,20,20,http://10.10.3.16:8080/escm/login/auth,,42,ESCM-APP
12/06/2017 18:36,303,Login Page Request,,"Number of samples in transaction : 15, number of failing samples : 1",Thread Group 1-20,,false,,500691,20,20,null,,172,ESCM-APP
12/06/2017 18:36,9397,5 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-8,text,true,,10126,20,20,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,,6679,ESCM-APP
12/06/2017 18:35,9798,Login Page Credentials and Dashboard Display,200,"Number of samples in transaction : 52, number of failing samples : 0",Thread Group 1-8,,true,,328030,20,20,null,,6978,ESCM-APP
12/06/2017 18:36,9872,5 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-13,text,true,,10127,20,20,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,,7062,ESCM-APP
12/06/2017 18:36,10265,Login Page Credentials and Dashboard Display,200,"Number of samples in transaction : 52, number of failing samples : 0",Thread Group 1-13,,true,,328031,20,20,null,,7277,ESCM-APP
12/06/2017 18:36,11156,5 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-7,text,true,,10127,20,20,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,,7066,ESCM-APP
12/06/2017 18:36,11363,5 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-15,text,true,,10127,20,20,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,,7013,ESCM-APP
12/06/2017 18:36,11624,5 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-10,text,true,,10127,20,20,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,,7474,ESCM-APP
12/06/2017 18:36,11662,5 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-9,text,true,,10127,20,20,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,,6961,ESCM-APP
12/06/2017 18:36,11653,Login Page Credentials and Dashboard Display,200,"Number of samples in transaction : 52, number of failing samples : 0",Thread Group 1-7,,true,,328031,20,20,null,,7355,ESCM-APP
12/06/2017 18:36,11757,5 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-16,text,true,,10127,20,20,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,,6658,ESCM-APP
12/06/2017 18:36,11830,Login Page Credentials and Dashboard Display,200,"Number of samples in transaction : 52, number of failing samples : 0",Thread Group 1-15,,true,,328031,20,20,null,,7314,ESCM-APP
12/06/2017 18:36,11898,5 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-11,text,true,,10127,20,20,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,,7072,ESCM-APP
12/06/2017 18:36,11962,5 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-14,text,true,,10127,20,20,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,,7382,ESCM-APP
12/06/2017 18:36,12012,5 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-12,text,true,,10127,20,20,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,,7419,ESCM-APP
12/06/2017 18:36,12035,5 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-3,text,true,,10127,20,20,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,,7514,ESCM-APP
12/06/2017 18:35,12188,Login Page Credentials and Dashboard Display,200,"Number of samples in transaction : 52, number of failing samples : 0",Thread Group 1-10,,true,,328031,20,20,null,,7845,ESCM-APP
12/06/2017 18:36,12259,5 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-5,text,true,,10127,20,20,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,,7085,ESCM-APP
12/06/2017 18:36,12327,5 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-6,text,true,,10127,20,20,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,,7454,ESCM-APP
12/06/2017 18:36,12362,5 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-4,text,true,,10127,20,20,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,,7899,ESCM-APP
