Label,# Samples,Average,Min,Max,90% Line,Std. Dev.,Error %,Throughput,Received KB/sec,Avg. Bytes
524 /escm/login/auth,20,80,36,605,99,122.10,0.00%,.3,1.94,5976.0
Hit_the_portal_new,20,480,414,1074,485,139.61,0.00%,.3,190.91,591832.0
540 /success.txt,20,42043,41995,42485,42022,114.98,100.00%,.5,1.01,2206.0
541 /escm/login/doAuth?id=loginform,20,4189,1373,7016,6342,1955.29,0.00%,.3,2.88,9533.2
543 /escm/,20,4163,1022,6798,6473,1855.51,0.00%,.3,2.57,8776.4
545 /escm/dashboard/index,20,5246,1123,11460,7037,2419.98,0.00%,.3,2.35,8616.2
546 /escm/dashboard/myAccountInfo,20,7048,1577,12782,12209,3398.43,0.00%,.3,2.25,8388.8
SP_user_login_46_new,20,63660,48508,73722,72566,8261.80,100.00%,.3,91.89,346856.5
777 /escm/order/index,20,10100,5474,15593,13115,2906.93,0.00%,.3,5.69,22022.4
779 /escm/order/list,20,7554,3874,15428,13556,3350.03,0.00%,.3,5.66,21867.0
783 /escm/images/sidebar-bg.jpg,20,10,3,51,25,11.37,0.00%,392.2,652.19,1703.0
785 /escm/order/showOrderDetail,20,3108,1654,6936,4674,1393.70,0.00%,2.9,63.02,22379.8
796 /escm/messages,20,32,10,240,37,53.21,0.00%,83.3,37.52,461.0
797 /escm/recentItem,20,41,9,112,109,39.63,0.00%,178.6,59.47,341.0
List_orders_without_cache_4.6,20,21164,13559,28307,25699,4026.32,0.00%,.2,50.08,226406.2
807 /escm/order/searchOrder,20,570,183,1741,1645,509.73,0.00%,11.5,47.88,4268.0
809 /escm/messages,20,22,10,74,38,16.75,0.00%,270.3,121.67,461.0
810 /escm/recentItem,20,18,9,47,37,11.30,0.00%,425.5,141.71,341.0
808 /escm/order/showOrderDetail,20,3780,1308,10394,9977,3189.49,0.00%,1.9,42.05,22380.0
812 /escm/messages,20,16,9,48,39,11.56,0.00%,416.7,187.58,461.0
813 /escm/recentItem,20,28,9,118,57,26.37,0.00%,169.5,56.44,341.0
order_search_by_offer_name_without_cache_4.6,20,4469,1542,12148,11828,3616.71,0.00%,1.6,75.74,47108.0
TOTAL,440,8083,3,73722,24153,15522.35,9.09%,3.0,178.15,61487.5
