sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_95%_line,aggregate_report_99%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
33 /escm/login/auth,1,583,583,583,583,583,583,583,0.00%,1.7,8.8,0.00
43 /escm/images/favicon.ico,1,10,10,10,10,10,10,10,0.00%,100.0,18687.4,0.00
Hit_the_portal,1,902,902,902,902,902,902,902,100.00%,1.1,749.3,0.00
65 /escm/login/doAuth?id=loginform,1,1365,1365,1365,1365,1365,1365,1365,0.00%,.7,6.8,0.00
99 /escm/images/favicon.ico,1,5,5,5,5,5,5,5,0.00%,200.0,24.4,0.00
sp_userlogin_46,1,1989,1989,1989,1989,1989,1989,1989,0.00%,.5,225.8,0.00
1 /escm/order/index,1,1042,1042,1042,1042,1042,1042,1042,0.00%,1.0,18.0,0.00
12 /escm/order/showOrderDetail,1,85,85,85,85,85,85,85,100.00%,11.8,14.7,0.00
22 /escm/messages,1,12,12,12,12,12,12,12,0.00%,83.3,37.5,0.00
23 /escm/recentItem,1,10,10,10,10,10,10,10,0.00%,100.0,33.3,0.00
List_Orders,1,1307,1307,1307,1307,1307,1307,1307,100.00%,.8,111.5,0.00
104 /escm/order/searchOrder,1,385,385,385,385,385,385,385,0.00%,2.6,11.3,0.00
105 /escm/order/searchOrder,1,154,154,154,154,154,154,154,0.00%,6.5,28.2,0.00
107 /escm/messages,1,9,9,9,9,9,9,9,0.00%,111.1,50.0,0.00
109 /escm/messages,1,8,8,8,8,8,8,8,0.00%,125.0,56.3,0.00
110 /escm/recentItem,1,9,9,9,9,9,9,9,0.00%,111.1,37.0,0.00
111 /escm/recentItem,1,7,7,7,7,7,7,7,0.00%,142.9,47.6,0.00
106 /escm/order/showOrderDetail,1,1223,1223,1223,1223,1223,1223,1223,0.00%,.8,17.5,0.00
108 /escm/order/showOrderDetail,1,1190,1190,1190,1190,1190,1190,1190,0.00%,.8,18.0,0.00
113 /escm/messages,1,10,10,10,10,10,10,10,0.00%,100.0,45.0,0.00
114 /escm/messages,1,9,9,9,9,9,9,9,0.00%,111.1,50.0,0.00
115 /escm/recentItem,1,12,12,12,12,12,12,12,0.00%,83.3,27.8,0.00
116 /escm/recentItem,1,8,8,8,8,8,8,8,0.00%,125.0,41.6,0.00
order_search_by_offername,1,3041,3041,3041,3041,3041,3041,3041,0.00%,.3,22.6,0.00
TOTAL,24,557,12,1365,1989,3041,5,3041,12.50%,.4,26.4,781.37
