sampler_label, benchmark_result, currentfile_result, status
33 /escm/login/auth,583,193,PASS
43 /escm/images/favicon.ico,10,11,FAIL
Hit_the_portal,902,570,PASS
65 /escm/login/doAuth?id=loginform,1365,3694,FAIL
99 /escm/images/favicon.ico,5,4,PASS
sp_userlogin_46,1989,4496,FAIL
1 /escm/order/index,1042,3484,FAIL
12 /escm/order/showOrderDetail,85,121,FAIL
22 /escm/messages,12,13,FAIL
23 /escm/recentItem,10,15,FAIL
List_Orders,1307,3835,FAIL
104 /escm/order/searchOrder,385,781,FAIL
105 /escm/order/searchOrder,154,522,FAIL
107 /escm/messages,9,16,FAIL
109 /escm/messages,8,10,FAIL
110 /escm/recentItem,9,13,FAIL
111 /escm/recentItem,7,12,FAIL
106 /escm/order/showOrderDetail,1223,2512,FAIL
108 /escm/order/showOrderDetail,1190,2138,FAIL
113 /escm/messages,10,10,PASS
114 /escm/messages,9,9,PASS
115 /escm/recentItem,12,9,PASS
116 /escm/recentItem,8,8,PASS
order_search_by_offername,3041,6067,FAIL
TOTAL,557,1189,FAIL
