sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_95%_line,aggregate_report_99%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
524 /escm/login/auth,5,180,75,95,591,591,69,591,0.00%,8.5,49.4,205.40
Hit_the_portal_new,5,667,552,623,1133,1133,486,1133,0.00%,4.4,2550.6,237.05
540 /success.txt,5,42034,42009,42022,42127,42127,42006,42127,100.00%,.1,.3,46.76
541 /escm/login/doAuth?id=loginform,5,2057,2210,2350,2662,2662,1400,2662,0.00%,1.9,17.6,460.73
543 /escm/,5,1759,1516,2220,2392,2392,1178,2392,0.00%,2.1,17.9,465.34
545 /escm/dashboard/index,5,1292,1271,1342,1394,1394,1211,1394,0.00%,3.6,30.2,66.94
546 /escm/dashboard/myAccountInfo,5,1317,1331,1347,1362,1362,1250,1362,0.00%,3.7,30.3,39.92
SP_user_login_46_new,5,49204,49009,49439,49678,49678,48912,49678,100.00%,.1,34.1,300.53
777 /escm/order/index,5,1958,1960,2022,2094,2094,1770,2094,0.00%,2.4,51.8,107.74
779 /escm/order/list,5,1828,1895,1946,1953,1953,1533,1953,0.00%,2.6,55.2,155.73
783 /escm/images/sidebar-bg.jpg,5,6,6,7,10,10,5,10,0.00%,500.0,831.5,1.72
785 /escm/order/showOrderDetail,5,2004,2063,2154,2357,2357,1723,2357,0.00%,2.1,46.4,247.72
796 /escm/messages,5,18,18,22,24,24,13,24,0.00%,208.3,93.8,4.13
797 /escm/recentItem,5,17,18,19,24,24,11,24,0.00%,208.3,69.4,4.60
List_orders_without_cache_4.6,5,6039,6257,6328,6335,6335,5535,6335,0.00%,.8,174.8,335.11
807 /escm/order/searchOrder,5,246,253,257,274,274,217,274,0.00%,18.2,76.1,19.80
809 /escm/messages,5,15,14,17,21,21,13,21,0.00%,238.1,107.2,2.93
810 /escm/recentItem,5,14,15,15,16,16,11,16,0.00%,312.5,104.1,1.79
808 /escm/order/showOrderDetail,5,1610,1615,1695,1863,1863,1425,1863,0.00%,2.7,58.7,160.94
812 /escm/messages,5,15,13,15,25,25,12,25,0.00%,200.0,90.0,4.80
813 /escm/recentItem,5,12,13,13,14,14,11,14,0.00%,357.1,118.9,1.02
order_search_by_offer_name_without_cache_4.6,5,1940,1968,2047,2204,2204,1716,2204,0.00%,2.3,104.4,180.02
TOTAL,110,5192,1271,6328,42022,49439,5,49678,9.09%,1.7,99.6,12899.82
