timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,URL,Filename,Latency,Hostname
25/10/2017 17:26,545,675 /escm/login/auth,200,OK,Thread Group 1-1,text,true,,5976,1,1,http://10.10.3.16:8080/escm/login/auth,,541,ESCM-APP
25/10/2017 17:26,545,Hit_the_portal_with-cache,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,5976,1,1,null,,541,ESCM-APP
25/10/2017 17:26,73,675 /escm/login/auth,200,OK,Thread Group 1-2,text,true,,5976,2,2,http://10.10.3.16:8080/escm/login/auth,,69,ESCM-APP
25/10/2017 17:26,73,Hit_the_portal_with-cache,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,5976,2,2,null,,69,ESCM-APP
25/10/2017 17:26,1149,676 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-1,text,true,,9592,2,2,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,,235,ESCM-APP
25/10/2017 17:26,1073,676 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-2,text,true,,9589,3,3,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,,201,ESCM-APP
25/10/2017 17:26,43,675 /escm/login/auth,200,OK,Thread Group 1-3,text,true,,5976,3,3,http://10.10.3.16:8080/escm/login/auth,,40,ESCM-APP
25/10/2017 17:26,43,Hit_the_portal_with-cache,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,5976,3,3,null,,40,ESCM-APP
25/10/2017 17:26,758,680 /escm/dashboard/myAccountInfo,200,OK,Thread Group 1-1,text,true,,8444,3,3,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,,755,ESCM-APP
25/10/2017 17:26,1907,SP_user_login_46_with_cache,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,18036,3,3,null,,990,ESCM-APP
25/10/2017 17:26,781,680 /escm/dashboard/myAccountInfo,200,OK,Thread Group 1-2,text,true,,8444,3,3,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,,777,ESCM-APP
25/10/2017 17:26,1854,SP_user_login_46_with_cache,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-2,,true,,18033,3,3,null,,978,ESCM-APP
25/10/2017 17:27,43,675 /escm/login/auth,200,OK,Thread Group 1-4,text,true,,5976,4,4,http://10.10.3.16:8080/escm/login/auth,,41,ESCM-APP
25/10/2017 17:27,43,Hit_the_portal_with-cache,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,5976,4,4,null,,41,ESCM-APP
25/10/2017 17:26,1025,676 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-3,text,true,,9590,4,4,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,,210,ESCM-APP
25/10/2017 17:26,1261,193 /escm/order/index,200,OK,Thread Group 1-1,text,true,,22210,4,4,http://10.10.3.16:8080/escm/order/list,,16,ESCM-APP
25/10/2017 17:27,794,680 /escm/dashboard/myAccountInfo,200,OK,Thread Group 1-3,text,true,,8443,4,4,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,,793,ESCM-APP
25/10/2017 17:26,1819,SP_user_login_46_with_cache,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-3,,true,,18033,4,4,null,,1003,ESCM-APP
25/10/2017 17:27,1198,193 /escm/order/index,200,OK,Thread Group 1-2,text,true,,22216,4,4,http://10.10.3.16:8080/escm/order/list,,13,ESCM-APP
25/10/2017 17:27,48,675 /escm/login/auth,200,OK,Thread Group 1-5,text,true,,5976,5,5,http://10.10.3.16:8080/escm/login/auth,,46,ESCM-APP
25/10/2017 17:27,48,Hit_the_portal_with-cache,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,5976,5,5,null,,46,ESCM-APP
25/10/2017 17:27,1115,676 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-4,text,true,,9588,5,5,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,,199,ESCM-APP
25/10/2017 17:27,846,680 /escm/dashboard/myAccountInfo,200,OK,Thread Group 1-4,text,true,,8444,5,5,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,,829,ESCM-APP
25/10/2017 17:27,1961,SP_user_login_46_with_cache,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-4,,true,,18032,5,5,null,,1028,ESCM-APP
25/10/2017 17:27,65,675 /escm/login/auth,200,OK,Thread Group 1-6,text,true,,5976,6,6,http://10.10.3.16:8080/escm/login/auth,,64,ESCM-APP
25/10/2017 17:27,65,Hit_the_portal_with-cache,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-6,,true,,5976,6,6,null,,64,ESCM-APP
25/10/2017 17:27,1320,193 /escm/order/index,200,OK,Thread Group 1-3,text,true,,22215,6,6,http://10.10.3.16:8080/escm/order/list,,17,ESCM-APP
25/10/2017 17:27,1417,194 /escm/order/list,200,OK,Thread Group 1-1,text,true,,22058,6,6,http://10.10.3.16:8080/escm/order/list,,1402,ESCM-APP
25/10/2017 17:27,1308,194 /escm/order/list,200,OK,Thread Group 1-2,text,true,,22061,6,6,http://10.10.3.16:8080/escm/order/list,,1302,ESCM-APP
25/10/2017 17:27,1489,676 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-5,text,true,,9589,6,6,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,,256,ESCM-APP
25/10/2017 17:27,242,675 /escm/login/auth,200,OK,Thread Group 1-7,text,true,,5976,7,7,http://10.10.3.16:8080/escm/login/auth,,241,ESCM-APP
25/10/2017 17:27,242,Hit_the_portal_with-cache,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-7,,true,,5976,7,7,null,,241,ESCM-APP
25/10/2017 17:27,1557,194 /escm/order/list,200,OK,Thread Group 1-3,text,true,,22060,7,7,http://10.10.3.16:8080/escm/order/list,,1551,ESCM-APP
25/10/2017 17:27,1172,680 /escm/dashboard/myAccountInfo,200,OK,Thread Group 1-5,text,true,,8446,7,7,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,,1162,ESCM-APP
25/10/2017 17:27,2661,SP_user_login_46_with_cache,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-5,,true,,18035,7,7,null,,1418,ESCM-APP
25/10/2017 17:27,1665,676 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-6,text,true,,9579,7,7,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,,277,ESCM-APP
25/10/2017 17:27,1777,193 /escm/order/index,200,OK,Thread Group 1-4,text,true,,22215,7,7,http://10.10.3.16:8080/escm/order/list,,13,ESCM-APP
25/10/2017 17:27,42,675 /escm/login/auth,200,OK,Thread Group 1-8,text,true,,5976,8,8,http://10.10.3.16:8080/escm/login/auth,,40,ESCM-APP
25/10/2017 17:27,42,Hit_the_portal_with-cache,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-8,,true,,5976,8,8,null,,40,ESCM-APP
25/10/2017 17:27,2038,196 /escm/order/showOrderDetail,200,OK,Thread Group 1-2,text,true,,22379,8,8,http://10.10.3.16:8080/escm/order/showOrderDetail,,2033,ESCM-APP
25/10/2017 17:27,53,197 /escm/messages,200,OK,Thread Group 1-2,text,true,,461,8,8,http://10.10.3.16:8080/escm/messages,,51,ESCM-APP
25/10/2017 17:27,2141,196 /escm/order/showOrderDetail,200,OK,Thread Group 1-1,text,true,,22380,8,8,http://10.10.3.16:8080/escm/order/showOrderDetail,,2129,ESCM-APP
25/10/2017 17:27,15,198 /escm/recentItem,200,OK,Thread Group 1-2,text,true,,341,8,8,http://10.10.3.16:8080/escm/recentItem,,15,ESCM-APP
25/10/2017 17:27,4612,List_orders_with_cache,200,"Number of samples in transaction : 5, number of failing samples : 0",Thread Group 1-2,,true,,67458,8,8,null,,3414,ESCM-APP
25/10/2017 17:27,32,197 /escm/messages,200,OK,Thread Group 1-1,text,true,,461,8,8,http://10.10.3.16:8080/escm/messages,,31,ESCM-APP
25/10/2017 17:27,27,198 /escm/recentItem,200,OK,Thread Group 1-1,text,true,,341,8,8,http://10.10.3.16:8080/escm/recentItem,,26,ESCM-APP
25/10/2017 17:26,4878,List_orders_with_cache,200,"Number of samples in transaction : 5, number of failing samples : 0",Thread Group 1-1,,true,,67450,8,8,null,,3604,ESCM-APP
25/10/2017 17:27,438,199 /escm/order/searchOrder,200,OK,Thread Group 1-2,text,true,,3495,8,8,http://10.10.3.16:8080/escm/order/searchOrder,,436,ESCM-APP
25/10/2017 17:27,403,199 /escm/order/searchOrder,200,OK,Thread Group 1-1,text,true,,3495,8,8,http://10.10.3.16:8080/escm/order/searchOrder,,402,ESCM-APP
25/10/2017 17:27,10,201 /escm/messages,200,OK,Thread Group 1-2,text,true,,461,8,8,http://10.10.3.16:8080/escm/messages,,10,ESCM-APP
25/10/2017 17:27,12,202 /escm/recentItem,200,OK,Thread Group 1-2,text,true,,341,8,8,http://10.10.3.16:8080/escm/recentItem,,12,ESCM-APP
25/10/2017 17:27,28,201 /escm/messages,200,OK,Thread Group 1-1,text,true,,461,8,8,http://10.10.3.16:8080/escm/messages,,28,ESCM-APP
25/10/2017 17:27,19,202 /escm/recentItem,200,OK,Thread Group 1-1,text,true,,341,8,8,http://10.10.3.16:8080/escm/recentItem,,19,ESCM-APP
25/10/2017 17:27,1745,676 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-7,text,true,,9577,8,8,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,,300,ESCM-APP
25/10/2017 17:27,56,675 /escm/login/auth,200,OK,Thread Group 1-9,text,true,,5976,9,9,http://10.10.3.16:8080/escm/login/auth,,51,ESCM-APP
25/10/2017 17:27,56,Hit_the_portal_with-cache,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-9,,true,,5976,9,9,null,,51,ESCM-APP
25/10/2017 17:27,1322,680 /escm/dashboard/myAccountInfo,200,OK,Thread Group 1-6,text,true,,8433,9,9,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,,1317,ESCM-APP
25/10/2017 17:27,2987,SP_user_login_46_with_cache,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-6,,true,,18012,9,9,null,,1594,ESCM-APP
25/10/2017 17:27,1764,193 /escm/order/index,200,OK,Thread Group 1-5,text,true,,22216,9,9,http://10.10.3.16:8080/escm/order/list,,16,ESCM-APP
25/10/2017 17:27,2118,196 /escm/order/showOrderDetail,200,OK,Thread Group 1-3,text,true,,22380,9,9,http://10.10.3.16:8080/escm/order/showOrderDetail,,2112,ESCM-APP
25/10/2017 17:27,25,197 /escm/messages,200,OK,Thread Group 1-3,text,true,,461,9,9,http://10.10.3.16:8080/escm/messages,,25,ESCM-APP
25/10/2017 17:27,17,198 /escm/recentItem,200,OK,Thread Group 1-3,text,true,,341,9,9,http://10.10.3.16:8080/escm/recentItem,,16,ESCM-APP
25/10/2017 17:27,5037,List_orders_with_cache,200,"Number of samples in transaction : 5, number of failing samples : 0",Thread Group 1-3,,true,,67457,9,9,null,,3721,ESCM-APP
25/10/2017 17:27,82,675 /escm/login/auth,200,OK,Thread Group 1-10,text,true,,5976,10,10,http://10.10.3.16:8080/escm/login/auth,,81,ESCM-APP
25/10/2017 17:27,82,Hit_the_portal_with-cache,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-10,,true,,5976,10,10,null,,81,ESCM-APP
25/10/2017 17:27,2124,676 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-8,text,true,,9578,10,10,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,,362,ESCM-APP
25/10/2017 17:27,385,199 /escm/order/searchOrder,200,OK,Thread Group 1-3,text,true,,3495,10,10,http://10.10.3.16:8080/escm/order/searchOrder,,384,ESCM-APP
25/10/2017 17:27,12,201 /escm/messages,200,OK,Thread Group 1-3,text,true,,461,10,10,http://10.10.3.16:8080/escm/messages,,12,ESCM-APP
25/10/2017 17:27,11,202 /escm/recentItem,200,OK,Thread Group 1-3,text,true,,341,10,10,http://10.10.3.16:8080/escm/recentItem,,10,ESCM-APP
25/10/2017 17:27,2585,194 /escm/order/list,200,OK,Thread Group 1-4,text,true,,22051,10,10,http://10.10.3.16:8080/escm/order/list,,2580,ESCM-APP
25/10/2017 17:27,2588,200 /escm/order/showOrderDetail,200,OK,Thread Group 1-1,text,true,,23936,10,10,http://10.10.3.16:8080/escm/order/showOrderDetail,,2576,ESCM-APP
25/10/2017 17:27,16,203 /escm/messages,200,OK,Thread Group 1-1,text,true,,461,10,10,http://10.10.3.16:8080/escm/messages,,16,ESCM-APP
25/10/2017 17:27,15,204 /escm/recentItem,200,OK,Thread Group 1-1,text,true,,341,10,10,http://10.10.3.16:8080/escm/recentItem,,15,ESCM-APP
25/10/2017 17:27,3069,Order_search_by_order_id_with_cache,200,"Number of samples in transaction : 6, number of failing samples : 0",Thread Group 1-1,,true,,29035,10,10,null,,3056,ESCM-APP
25/10/2017 17:27,2921,200 /escm/order/showOrderDetail,200,OK,Thread Group 1-2,text,true,,23933,9,9,http://10.10.3.16:8080/escm/order/showOrderDetail,,2916,ESCM-APP
25/10/2017 17:27,20,203 /escm/messages,200,OK,Thread Group 1-2,text,true,,461,9,9,http://10.10.3.16:8080/escm/messages,,20,ESCM-APP
25/10/2017 17:27,10,204 /escm/recentItem,200,OK,Thread Group 1-2,text,true,,341,9,9,http://10.10.3.16:8080/escm/recentItem,,10,ESCM-APP
25/10/2017 17:27,3411,Order_search_by_order_id_with_cache,200,"Number of samples in transaction : 6, number of failing samples : 0",Thread Group 1-2,,true,,29032,9,9,null,,3404,ESCM-APP
25/10/2017 17:27,1638,196 /escm/order/showOrderDetail,200,OK,Thread Group 1-4,text,true,,22382,8,8,http://10.10.3.16:8080/escm/order/showOrderDetail,,1633,ESCM-APP
25/10/2017 17:27,3010,680 /escm/dashboard/myAccountInfo,200,OK,Thread Group 1-7,text,true,,8443,8,8,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,,2995,ESCM-APP
25/10/2017 17:27,4755,SP_user_login_46_with_cache,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-7,,true,,18020,8,8,null,,3295,ESCM-APP
25/10/2017 17:27,12,197 /escm/messages,200,OK,Thread Group 1-4,text,true,,461,8,8,http://10.10.3.16:8080/escm/messages,,12,ESCM-APP
25/10/2017 17:27,10,198 /escm/recentItem,200,OK,Thread Group 1-4,text,true,,341,8,8,http://10.10.3.16:8080/escm/recentItem,,10,ESCM-APP
25/10/2017 17:27,6022,List_orders_with_cache,200,"Number of samples in transaction : 5, number of failing samples : 0",Thread Group 1-4,,true,,67450,8,8,null,,4248,ESCM-APP
25/10/2017 17:27,1759,200 /escm/order/showOrderDetail,200,OK,Thread Group 1-3,text,true,,23936,8,8,http://10.10.3.16:8080/escm/order/showOrderDetail,,1748,ESCM-APP
25/10/2017 17:27,20,203 /escm/messages,200,OK,Thread Group 1-3,text,true,,461,8,8,http://10.10.3.16:8080/escm/messages,,19,ESCM-APP
25/10/2017 17:27,10,204 /escm/recentItem,200,OK,Thread Group 1-3,text,true,,341,8,8,http://10.10.3.16:8080/escm/recentItem,,10,ESCM-APP
25/10/2017 17:27,2197,Order_search_by_order_id_with_cache,200,"Number of samples in transaction : 6, number of failing samples : 0",Thread Group 1-3,,true,,29035,8,8,null,,2183,ESCM-APP
25/10/2017 17:27,3391,676 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-9,text,true,,9590,7,7,http://10.10.3.16:8080/escm/dashboard/myAccountInfo,,279,ESCM-APP
25/10/2017 17:27,504,199 /escm/order/searchOrder,200,OK,Thread Group 1-4,text,true,,3495,7,7,http://10.10.3.16:8080/escm/order/searchOrder,,503,ESCM-APP
25/10/2017 17:27,16,201 /escm/messages,200,OK,Thread Group 1-4,text,true,,461,7,7,http://10.10.3.16:8080/escm/messages,,16,ESCM-APP
25/10/2017 17:27,11,202 /escm/recentItem,200,OK,Thread Group 1-4,text,true,,341,7,7,http://10.10.3.16:8080/escm/recentItem,,11,ESCM-APP
