Label,# Samples,Average,Min,Max,90% Line,Std. Dev.,Error %,Throughput,Received KB/sec,Avg. Bytes
62 /escm/login/auth,5,163,45,522,141,182.67,0.00%,9.6,48.88,5226.0
Login Page Request,5,462,321,836,426,189.67,100.00%,6.0,2924.38,500691.0
5 /escm/login/doAuth?id=loginform,5,1143,996,1281,1225,108.33,0.00%,3.9,38.61,10129.6
Login Page Credentials and Dashboard Display,5,1688,1442,1903,1822,171.51,0.00%,2.6,841.69,328033.6
77 /escm/order/index,5,1020,958,1059,1050,35.51,0.00%,4.7,87.98,19080.4
88 /escm/order/showOrderDetail,5,1794,1559,2132,1855,211.38,0.00%,.1,1.76,22201.4
98 /escm/messages,5,14,9,24,16,5.62,0.00%,.1,0.04,461.0
99 /escm/recentItem,5,10,8,13,11,1.72,0.00%,.1,0.03,341.0
Order Selection,5,3020,2733,3385,3207,256.82,0.00%,.1,13.23,170015.8
109 /escm/order/searchOrder,5,408,354,441,438,32.33,0.00%,.1,0.30,3730.2
111 /escm/messages,5,10,8,12,11,1.33,0.00%,.1,0.04,461.0
112 /escm/recentItem,5,22,7,61,24,20.45,0.00%,.1,0.03,341.0
110 /escm/order/showOrderDetail,5,1136,930,1340,1171,134.32,0.00%,.1,1.78,22302.8
117 /escm/messages,5,10,9,11,10,0.63,0.00%,454.5,204.63,461.0
118 /escm/recentItem,5,9,7,14,10,2.42,0.00%,357.1,118.93,341.0
Order_Search,5,1637,1500,1768,1700,103.07,0.00%,.1,5.84,73769.0
TOTAL,80,784,7,3385,1850,877.84,6.25%,1.3,90.09,72349.1
