Label,# Samples,Average,Min,Max,90% Line,Std. Dev.,Error %,Throughput,Received KB/sec,Avg. Bytes
33 /escm/login/auth,1,527,527,527,527,0.00,0.00%,1.9,9.68,5226.0
43 /escm/images/favicon.ico,1,14,14,14,14,0.00,0.00%,71.4,13348.14,191359.0
Hit_the_portal,1,878,878,878,878,0.00,100.00%,1.1,769.74,692050.0
65 /escm/login/doAuth?id=loginform,1,1788,1788,1788,1788,0.00,0.00%,.6,5.18,9479.0
99 /escm/images/favicon.ico,1,6,6,6,6,0.00,0.00%,166.7,20.35,125.0
sp_userlogin_46,1,2551,2551,2551,2551,0.00,0.00%,.4,176.08,459949.0
1 /escm/order/index,1,1591,1591,1591,1591,0.00,0.00%,.6,11.81,19242.0
12 /escm/order/showOrderDetail,1,115,115,115,115,0.00,100.00%,8.7,10.84,1277.0
22 /escm/messages,1,24,24,24,24,0.00,0.00%,41.7,18.76,461.0
23 /escm/recentItem,1,18,18,18,18,0.00,0.00%,55.6,18.50,341.0
List_Orders,1,2004,2004,2004,2004,0.00,100.00%,.5,72.73,149253.0
4 /escm/order/searchOrder,1,632,632,632,632,0.00,0.00%,1.6,5.77,3737.0
6 /escm/messages,1,15,15,15,15,0.00,0.00%,66.7,30.01,461.0
7 /escm/recentItem,1,12,12,12,12,0.00,0.00%,83.3,27.75,341.0
5 /escm/order/showOrderDetail,1,2048,2048,2048,2048,0.00,0.00%,.5,11.17,23419.0
10 /escm/messages,1,24,24,24,24,0.00,0.00%,41.7,18.76,461.0
13 /escm/recentItem,1,16,16,16,16,0.00,0.00%,62.5,20.81,341.0
order_search_by_id,1,2824,2824,2824,2824,0.00,0.00%,.4,25.94,75015.0
TOTAL,18,838,6,2824,2048,978.64,16.67%,6.4,564.54,90696.5
