sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_95%_line,aggregate_report_99%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
33 /escm/login/auth,1,527,527,527,527,527,527,527,0.00%,1.9,9.7,0.00
43 /escm/images/favicon.ico,1,14,14,14,14,14,14,14,0.00%,71.4,13348.1,0.00
Hit_the_portal,1,878,878,878,878,878,878,878,100.00%,1.1,769.7,0.00
65 /escm/login/doAuth?id=loginform,1,1788,1788,1788,1788,1788,1788,1788,0.00%,.6,5.2,0.00
99 /escm/images/favicon.ico,1,6,6,6,6,6,6,6,0.00%,166.7,20.3,0.00
sp_userlogin_46,1,2551,2551,2551,2551,2551,2551,2551,0.00%,.4,176.1,0.00
1 /escm/order/index,1,1591,1591,1591,1591,1591,1591,1591,0.00%,.6,11.8,0.00
12 /escm/order/showOrderDetail,1,115,115,115,115,115,115,115,100.00%,8.7,10.8,0.00
22 /escm/messages,1,24,24,24,24,24,24,24,0.00%,41.7,18.8,0.00
23 /escm/recentItem,1,18,18,18,18,18,18,18,0.00%,55.6,18.5,0.00
List_Orders,1,2004,2004,2004,2004,2004,2004,2004,100.00%,.5,72.7,0.00
4 /escm/order/searchOrder,1,632,632,632,632,632,632,632,0.00%,1.6,5.8,0.00
6 /escm/messages,1,15,15,15,15,15,15,15,0.00%,66.7,30.0,0.00
7 /escm/recentItem,1,12,12,12,12,12,12,12,0.00%,83.3,27.8,0.00
5 /escm/order/showOrderDetail,1,2048,2048,2048,2048,2048,2048,2048,0.00%,.5,11.2,0.00
10 /escm/messages,1,24,24,24,24,24,24,24,0.00%,41.7,18.8,0.00
13 /escm/recentItem,1,16,16,16,16,16,16,16,0.00%,62.5,20.8,0.00
order_search_by_id,1,2824,2824,2824,2824,2824,2824,2824,0.00%,.4,25.9,0.00
TOTAL,18,838,115,2048,2551,2824,6,2824,16.67%,6.4,564.5,978.64
