sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_95%_line,aggregate_report_99%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
675 /escm/login/auth,20,286,169,628,663,737,46,737,0.00%,27.1,158.4,246.41
Hit_the_portal_with-cache,20,286,169,628,663,737,46,737,0.00%,27.1,158.4,246.41
676 /escm/login/doAuth?id=loginform,20,7174,8623,12234,12921,13052,1139,13052,0.00%,1.5,14.2,4573.42
680 /escm/dashboard/myAccountInfo,20,4481,4962,7684,8032,10383,922,10383,0.00%,1.9,15.9,2614.62
SP_user_login_46_with_cache,20,11655,13927,18700,18763,20129,2090,20129,0.00%,1.0,17.4,6599.97
193 /escm/order/index,20,5677,5709,7069,9165,15110,1507,15110,0.00%,.3,6.5,2995.52
194 /escm/order/list,20,5754,5702,6323,13276,14024,1680,14024,0.00%,.3,6.5,2963.94
196 /escm/order/showOrderDetail,20,3845,2259,11569,12354,13486,1364,13486,0.00%,.3,7.0,3796.92
197 /escm/messages,20,18,15,28,29,44,11,44,0.00%,.3,.1,7.75
198 /escm/recentItem,20,17,15,22,42,52,8,52,0.00%,.3,.1,10.52
List_orders_with_cache,20,15313,14267,19105,21806,22770,12501,22770,0.00%,.3,17.7,2850.38
199 /escm/order/searchOrder,20,540,498,762,785,881,394,881,0.00%,.3,1.1,122.46
201 /escm/messages,20,25,15,53,59,67,10,67,0.00%,.3,.1,17.54
202 /escm/recentItem,20,20,13,48,55,59,10,59,0.00%,.3,.1,14.73
200 /escm/order/showOrderDetail,20,2946,2874,3908,3973,4320,2249,4320,0.00%,.3,7.4,585.15
203 /escm/messages,20,23,16,31,61,93,13,93,0.00%,.3,.1,19.23
204 /escm/recentItem,20,16,14,25,30,37,8,37,0.00%,.3,.1,7.12
Order_search_by_order_id_with_cache,20,3571,3480,4510,4553,4895,2769,4895,0.00%,.3,8.9,610.54
TOTAL,360,3425,881,12759,14788,18763,8,22770,0.00%,4.8,63.3,4973.41
