sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_95%_line,aggregate_report_99%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
675 /escm/login/auth,5,165,68,299,351,351,51,351,0.00%,14.2,83.1,131.46
Hit_the_portal_with-cache,5,165,68,299,351,351,51,351,0.00%,14.2,83.1,131.46
676 /escm/login/doAuth?id=loginform,5,1756,1544,1912,2554,2554,1286,2554,0.00%,2.0,18.3,447.43
680 /escm/dashboard/myAccountInfo,5,1517,1562,1675,1833,1833,1205,1833,0.00%,2.7,22.5,230.39
SP_user_login_46_with_cache,5,3273,3046,3745,4229,4229,2600,4229,0.00%,1.2,20.8,618.99
193 /escm/order/index,5,2029,2053,2147,2520,2520,1568,2520,0.00%,2.0,43.0,315.50
194 /escm/order/list,5,1829,1732,2068,2176,2176,1470,2176,0.00%,2.3,49.5,257.76
196 /escm/order/showOrderDetail,5,1650,1589,1687,1841,1841,1546,1841,0.00%,2.7,59.4,106.05
197 /escm/messages,5,17,16,17,23,23,14,23,0.00%,217.4,97.9,3.16
198 /escm/recentItem,5,15,13,19,22,22,12,22,0.00%,227.3,75.7,4.13
List_orders_with_cache,5,5541,5470,5957,6210,6210,4875,6210,0.00%,.8,53.0,487.78
199 /escm/order/searchOrder,5,401,414,440,459,459,332,459,0.00%,10.9,37.2,47.95
201 /escm/messages,5,19,14,25,34,34,12,34,0.00%,147.1,66.2,8.45
202 /escm/recentItem,5,16,14,16,24,24,13,24,0.00%,208.3,69.4,4.02
200 /escm/order/showOrderDetail,5,1699,1591,2010,2023,2023,1394,2023,0.00%,2.5,57.8,266.71
203 /escm/messages,5,17,17,17,26,26,11,26,0.00%,192.3,86.6,5.02
204 /escm/recentItem,5,16,15,17,27,27,11,27,0.00%,185.2,61.7,5.71
Order_search_by_order_id_with_cache,5,2169,2097,2504,2576,2576,1783,2576,0.00%,1.9,55.0,319.87
TOTAL,90,1238,459,2600,4229,5957,11,6210,0.00%,14.5,189.5,1461.40
