sampler_label, benchmark_result, currentfile_result, status
33 /escm/login/auth,474,96,PASS
43 /escm/images/favicon.ico,11,6,PASS
Hit_the_portal,805,364,PASS
65 /escm/login/doAuth?id=loginform,1747,8611,FAIL
99 /escm/images/favicon.ico,4,16,FAIL
sp_userlogin_46,2348,9634,FAIL
324 /escm/customer/index,555,1768,FAIL
381 /escm/customer/setSearchBy,15,14,PASS
374 /escm/images/favicon.ico,6,3,PASS
382 /escm/customer/listByCriteria,309,760,FAIL
384 /escm/messages,9,13,FAIL
385 /escm/customer/renderCustomerOrganizationDetails,703,899,FAIL
405 /escm/messages,8,9,FAIL
406 /escm/messages,8,10,FAIL
List_Organizations,2386,4590,FAIL
128 /escm/customer/listByCriteria,419,670,FAIL
129 /escm/customer/renderCustomerOrganizationDetails,1382,2485,FAIL
130 /escm/messages,11,14,FAIL
131 /escm/messages,11,9,PASS
org_search_by_orgid,1826,3183,FAIL
TOTAL,651,1658,FAIL
