sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_95%_line,aggregate_report_99%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
33 /escm/login/auth,1,527,527,527,527,527,527,527,0.00%,1.9,9.7,0.00
43 /escm/images/favicon.ico,1,10,10,10,10,10,10,10,0.00%,100.0,18687.4,0.00
Hit_the_portal,1,842,842,842,842,842,842,842,100.00%,1.2,802.6,0.00
65 /escm/login/doAuth?id=loginform,1,6939,6939,6939,6939,6939,6939,6939,0.00%,.1,1.3,0.00
99 /escm/images/favicon.ico,1,5,5,5,5,5,5,5,0.00%,200.0,24.4,0.00
sp_userlogin_46,1,7559,7559,7559,7559,7559,7559,7559,0.00%,.1,59.4,0.00
324 /escm/customer/index,1,2759,2759,2759,2759,2759,2759,2759,0.00%,.4,3.7,0.00
381 /escm/customer/setSearchBy,1,15,15,15,15,15,15,15,0.00%,66.7,29.8,0.00
374 /escm/images/favicon.ico,1,4,4,4,4,4,4,4,0.00%,250.0,30.5,0.00
382 /escm/customer/listByCriteria,1,339,339,339,339,339,339,339,0.00%,2.9,12.0,0.00
384 /escm/messages,1,9,9,9,9,9,9,9,0.00%,111.1,50.0,0.00
385 /escm/customer/renderCustomerOrganizationDetails,1,603,603,603,603,603,603,603,0.00%,1.7,64.3,0.00
405 /escm/messages,1,13,13,13,13,13,13,13,0.00%,76.9,34.6,0.00
406 /escm/messages,1,8,8,8,8,8,8,8,0.00%,125.0,56.3,0.00
List_Organizations,1,4503,4503,4503,4503,4503,4503,4503,0.00%,.2,135.6,0.00
128 /escm/customer/listByCriteria,1,412,412,412,412,412,412,412,0.00%,2.4,7.9,0.00
129 /escm/customer/renderCustomerOrganizationDetails,1,1201,1201,1201,1201,1201,1201,1201,0.00%,.8,119.4,0.00
130 /escm/messages,1,8,8,8,8,8,8,8,0.00%,125.0,56.3,0.00
131 /escm/messages,1,7,7,7,7,7,7,7,0.00%,142.9,64.3,0.00
org_search_by_orgid,1,1633,1633,1633,1633,1633,1633,1633,0.00%,.6,90.4,0.00
TOTAL,20,1369,339,4503,6939,7559,4,7559,5.00%,.3,35.5,2251.61
