sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_95%_line,aggregate_report_99%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
33 /escm/login/auth,30,129,59,254,355,709,32,709,0.00%,.5,2.5,148.32
43 /escm/images/favicon.ico,30,14,8,42,42,56,4,56,0.00%,.5,93.3,14.53
Hit_the_portal,30,540,515,848,960,1133,276,1133,100.00%,.5,332.5,230.96
65 /escm/login/doAuth?id=loginform,30,2444,2063,3415,4348,6102,1257,6102,0.00%,.5,4.2,1101.19
99 /escm/images/favicon.ico,30,11,5,27,44,57,3,57,0.00%,.5,.1,13.83
sp_userlogin_46,30,3346,3167,4657,5268,7267,1805,7267,0.00%,.4,200.3,1234.26
324 /escm/customer/index,30,1575,1443,2254,2273,2462,834,2462,0.00%,.5,4.9,465.63
381 /escm/customer/setSearchBy,30,14,10,19,23,92,7,92,0.00%,.5,.2,15.11
374 /escm/images/favicon.ico,30,6,4,15,17,23,2,23,0.00%,.5,.1,5.24
382 /escm/customer/listByCriteria,30,834,338,2568,2695,3684,174,3684,0.00%,.5,1.9,951.30
384 /escm/messages,30,17,11,40,41,81,6,81,0.00%,.5,.2,16.23
385 /escm/customer/renderCustomerOrganizationDetails,30,954,592,2133,2145,3433,324,3433,0.00%,.5,18.3,734.22
405 /escm/messages,30,23,8,22,32,380,6,380,0.00%,.5,.2,66.61
406 /escm/messages,30,13,8,34,39,41,5,41,0.00%,.5,.2,11.30
List_Organizations,30,4651,3884,8202,8241,8645,2435,8645,0.00%,.4,266.9,1948.54
128 /escm/customer/listByCriteria,30,739,610,1231,1350,1655,394,1655,0.00%,.5,1.6,345.81
129 /escm/customer/renderCustomerOrganizationDetails,30,2472,1887,5812,5959,6298,1278,6298,0.00%,4.8,682.8,1478.22
130 /escm/messages,30,24,10,56,71,174,6,174,0.00%,172.4,77.6,33.61
131 /escm/messages,30,20,11,49,49,64,5,64,0.00%,468.8,211.0,17.47
org_search_by_orgid,30,3269,2644,6508,7222,7889,1697,7889,0.00%,.4,65.2,1733.56
TOTAL,600,1055,211,3149,4178,7691,2,8645,5.00%,8.7,999.5,1610.54
