timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,failureMessage,bytes,grpThreads,allThreads,Latency
01/08/2017 18:34,709,33 /escm/login/auth,200,OK,Thread Group 1-1,true,,5226,1,1,705
01/08/2017 18:34,8,43 /escm/images/favicon.ico,200,OK,Thread Group 1-1,true,,191359,1,1,7
01/08/2017 18:34,1133,Hit_the_portal,,"Number of samples in transaction : 16, number of failing samples : 1",Thread Group 1-1,false,,692050,2,2,864
01/08/2017 18:34,33,33 /escm/login/auth,200,OK,Thread Group 1-2,true,,5226,2,2,31
01/08/2017 18:34,6,43 /escm/images/favicon.ico,200,OK,Thread Group 1-2,true,,191359,2,2,4
01/08/2017 18:34,295,Hit_the_portal,,"Number of samples in transaction : 16, number of failing samples : 1",Thread Group 1-2,false,,692050,2,2,166
01/08/2017 18:34,33,33 /escm/login/auth,200,OK,Thread Group 1-3,true,,5226,3,3,32
01/08/2017 18:34,6,43 /escm/images/favicon.ico,200,OK,Thread Group 1-3,true,,191359,3,3,5
01/08/2017 18:34,306,Hit_the_portal,,"Number of samples in transaction : 16, number of failing samples : 1",Thread Group 1-3,false,,692050,3,3,167
01/08/2017 18:34,1640,65 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-1,true,,9582,3,3,271
01/08/2017 18:34,1336,65 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-2,true,,9582,3,3,457
01/08/2017 18:34,38,33 /escm/login/auth,200,OK,Thread Group 1-4,true,,5226,4,4,37
01/08/2017 18:34,6,43 /escm/images/favicon.ico,200,OK,Thread Group 1-4,true,,191359,4,4,4
01/08/2017 18:34,4,99 /escm/images/favicon.ico,304,Not Modified,Thread Group 1-1,true,,125,4,4,0
01/08/2017 18:34,5,99 /escm/images/favicon.ico,304,Not Modified,Thread Group 1-2,true,,125,4,4,0
01/08/2017 18:34,323,Hit_the_portal,,"Number of samples in transaction : 16, number of failing samples : 1",Thread Group 1-4,false,,692050,4,4,195
01/08/2017 18:34,2231,sp_userlogin_46,200,"Number of samples in transaction : 43, number of failing samples : 0",Thread Group 1-1,true,,460052,4,4,610
01/08/2017 18:34,1917,sp_userlogin_46,200,"Number of samples in transaction : 43, number of failing samples : 0",Thread Group 1-2,true,,460052,4,4,756
01/08/2017 18:34,1257,65 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-3,true,,9581,4,4,237
01/08/2017 18:34,4,99 /escm/images/favicon.ico,304,Not Modified,Thread Group 1-3,true,,125,4,4,0
01/08/2017 18:34,52,33 /escm/login/auth,200,OK,Thread Group 1-5,true,,5226,5,5,51
01/08/2017 18:34,7,43 /escm/images/favicon.ico,200,OK,Thread Group 1-5,true,,191359,5,5,4
01/08/2017 18:34,1805,sp_userlogin_46,200,"Number of samples in transaction : 43, number of failing samples : 0",Thread Group 1-3,true,,460051,5,5,535
01/08/2017 18:34,870,324 /escm/customer/index,200,OK,Thread Group 1-1,true,,10373,5,5,9
01/08/2017 18:34,314,Hit_the_portal,,"Number of samples in transaction : 16, number of failing samples : 1",Thread Group 1-5,false,,692050,5,5,172
01/08/2017 18:34,1112,324 /escm/customer/index,200,OK,Thread Group 1-2,true,,10373,5,5,7
01/08/2017 18:34,24,381 /escm/customer/setSearchBy,200,OK,Thread Group 1-1,true,,457,5,5,24
01/08/2017 18:34,1609,65 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-4,true,,9581,5,5,229
01/08/2017 18:34,32,33 /escm/login/auth,200,OK,Thread Group 1-6,true,,5226,6,6,31
01/08/2017 18:34,3,374 /escm/images/favicon.ico,304,Not Modified,Thread Group 1-1,true,,125,6,6,0
01/08/2017 18:34,9,43 /escm/images/favicon.ico,200,OK,Thread Group 1-6,true,,191359,6,6,8
01/08/2017 18:34,16,381 /escm/customer/setSearchBy,200,OK,Thread Group 1-2,true,,457,6,6,16
01/08/2017 18:34,335,Hit_the_portal,,"Number of samples in transaction : 16, number of failing samples : 1",Thread Group 1-6,false,,692050,6,6,189
01/08/2017 18:34,6,374 /escm/images/favicon.ico,304,Not Modified,Thread Group 1-2,true,,125,6,6,0
01/08/2017 18:34,3,99 /escm/images/favicon.ico,304,Not Modified,Thread Group 1-4,true,,125,6,6,0
01/08/2017 18:34,319,382 /escm/customer/listByCriteria,200,OK,Thread Group 1-1,true,,4180,6,6,316
01/08/2017 18:34,15,384 /escm/messages,200,OK,Thread Group 1-1,true,,461,6,6,15
01/08/2017 18:34,1208,324 /escm/customer/index,200,OK,Thread Group 1-3,true,,10370,6,6,7
01/08/2017 18:34,183,382 /escm/customer/listByCriteria,200,OK,Thread Group 1-2,true,,4180,6,6,180
01/08/2017 18:34,8,384 /escm/messages,200,OK,Thread Group 1-2,true,,461,6,6,8
01/08/2017 18:34,2234,sp_userlogin_46,200,"Number of samples in transaction : 43, number of failing samples : 0",Thread Group 1-4,true,,460051,6,6,574
01/08/2017 18:34,9,381 /escm/customer/setSearchBy,200,OK,Thread Group 1-3,true,,457,7,7,8
01/08/2017 18:34,1714,65 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-5,true,,9583,7,7,241
01/08/2017 18:34,163,33 /escm/login/auth,200,OK,Thread Group 1-7,true,,5226,7,7,161
01/08/2017 18:34,18,374 /escm/images/favicon.ico,304,Not Modified,Thread Group 1-3,true,,125,7,7,0
01/08/2017 18:34,750,385 /escm/customer/renderCustomerOrganizationDetails,200,OK,Thread Group 1-1,true,,39695,7,7,725
01/08/2017 18:34,592,385 /escm/customer/renderCustomerOrganizationDetails,200,OK,Thread Group 1-2,true,,39695,7,7,551
01/08/2017 18:34,7,43 /escm/images/favicon.ico,200,OK,Thread Group 1-7,true,,191359,7,7,5
01/08/2017 18:34,11,405 /escm/messages,200,OK,Thread Group 1-1,true,,461,7,7,11
01/08/2017 18:34,12,405 /escm/messages,200,OK,Thread Group 1-2,true,,461,7,7,12
01/08/2017 18:34,8,406 /escm/messages,200,OK,Thread Group 1-1,true,,461,7,7,7
01/08/2017 18:34,7,406 /escm/messages,200,OK,Thread Group 1-2,true,,461,7,7,7
