sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_95%_line,aggregate_report_99%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
62 /escm/login/auth,30,71,41,91,102,657,33,657,0.00%,.5,2.5,110.79
Login Page Request,30,347,313,370,397,942,289,942,100.00%,.5,242.3,119.48
5 /escm/login/doAuth?id=loginform,30,16586,16935,18836,19815,20913,11188,20913,0.00%,1.4,14.2,2129.88
Login Page Credentials and Dashboard Display,30,17891,18865,20417,21017,21521,11721,21521,0.00%,.4,117.9,2586.15
77 /escm/order/index,30,10224,9968,12028,12061,12995,7309,12995,0.00%,2.3,43.0,1296.93
88 /escm/order/showOrderDetail,30,8899,9031,10362,10442,11017,4803,11017,0.00%,.4,9.2,1315.90
98 /escm/messages,30,21,14,36,42,97,8,97,0.00%,.5,.2,19.58
99 /escm/recentItem,30,17,12,30,33,67,7,67,0.00%,.5,.2,13.76
Order Selection,30,19425,19475,21822,21926,22634,12450,22634,0.00%,1.3,220.1,2076.31
109 /escm/order/searchOrder,30,537,480,642,643,1542,370,1542,0.00%,.5,1.8,237.89
111 /escm/messages,30,30,15,60,89,220,7,220,0.00%,.5,.2,42.79
112 /escm/recentItem,30,27,20,50,83,93,7,93,0.00%,.5,.2,23.70
110 /escm/order/showOrderDetail,30,4246,4342,5443,5680,6665,971,6665,0.00%,.5,10.2,1089.19
117 /escm/messages,30,16,11,21,29,83,6,83,0.00%,361.4,162.7,16.84
118 /escm/recentItem,30,19,11,50,64,75,6,75,0.00%,400.0,133.2,19.40
Order_Search,30,4949,4925,6168,6426,7187,1968,7187,0.00%,.5,32.8,1028.47
TOTAL,480,5207,397,17979,19815,21479,6,22634,6.25%,3.7,259.1,7012.21
