Label,# Samples,Average,Min,Max,90% Line,Std. Dev.,Error %,Throughput,Received KB/sec,Avg. Bytes
675 /escm/login/auth,5,153,40,539,80,193.38,0.00%,9.3,54.14,5976.0
Hit_the_portal_with-cache,5,153,40,539,80,193.38,0.00%,9.3,54.14,5976.0
676 /escm/login/doAuth?id=loginform,5,1183,1056,1334,1189,88.78,0.00%,3.7,35.09,9588.0
680 /escm/dashboard/myAccountInfo,5,899,787,989,973,83.86,0.00%,5.1,41.68,8442.6
SP_user_login_46_with_cache,5,2082,1867,2307,2178,157.69,0.00%,2.2,38.16,18030.6
681 /escm/customer/index,5,964,844,1122,1020,98.33,0.00%,4.5,69.83,16047.0
682 /escm/customer/list,5,936,854,1001,974,55.92,0.00%,5.0,76.98,15781.0
684 /escm/customer/setSearchBy,5,15,12,19,19,3.14,0.00%,263.2,117.44,457.0
686 /escm/messages,5,12,9,17,14,2.80,0.00%,294.1,132.41,461.0
685 /escm/customer/listByCriteria,5,284,209,391,309,62.17,0.00%,12.8,55.11,4413.0
687 /escm/customer/renderCustomerOrganizationDetails,5,576,505,617,598,38.88,0.00%,8.1,317.71,40146.2
688 /escm/messages,5,16,10,28,17,6.41,0.00%,178.6,80.39,461.0
689 /escm/messages,5,13,9,23,13,4.88,0.00%,217.4,97.87,461.0
List_organizations_with_cache,5,2819,2681,2898,2893,88.96,0.00%,1.7,131.80,78227.2
11 /escm/customer/listByCriteria,5,504,475,531,528,21.58,0.00%,9.4,30.69,3338.0
12 /escm/customer/renderCustomerOrganizationDetails,5,1762,1544,1971,1876,171.53,0.00%,2.5,365.24,147433.0
13 /escm/messages,5,24,10,61,18,18.69,0.00%,82.0,36.90,461.0
14 /escm/messages,5,12,8,17,15,3.43,0.00%,294.1,132.41,461.0
organization_search_by_organization_id_with_cache,5,2303,2052,2491,2480,190.33,0.00%,2.0,297.35,151693.0
TOTAL,95,774,8,2898,2111,865.69,0.00%,32.8,855.68,26729.1
