sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_95%_line,aggregate_report_99%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
33 /escm/login/auth,5,142,37,54,550,550,34,550,0.00%,9.1,46.4,204.03
43 /escm/images/favicon.ico,5,7,7,7,10,10,6,10,0.00%,500.0,93437.0,1.47
Hit_the_portal,5,423,310,352,861,861,293,861,100.00%,5.8,3924.7,219.52
65 /escm/login/doAuth?id=loginform,5,1090,1036,1044,1386,1386,982,1386,0.00%,3.6,33.8,149.24
99 /escm/images/favicon.ico,5,5,5,5,8,8,4,8,0.00%,625.0,76.3,1.36
sp_userlogin_46,5,1692,1635,1679,2029,2029,1520,2029,0.00%,2.5,1107.1,176.30
324 /escm/customer/index,5,640,611,702,778,778,517,778,0.00%,6.4,65.1,90.63
381 /escm/customer/setSearchBy,5,13,13,17,19,19,8,19,0.00%,263.2,117.4,3.98
374 /escm/images/favicon.ico,5,3,4,4,4,4,3,4,0.00%,1250.0,152.6,0.49
382 /escm/customer/listByCriteria,5,285,275,333,406,406,206,406,0.00%,12.3,50.3,76.64
384 /escm/messages,5,15,10,10,37,37,9,37,0.00%,135.1,60.8,11.01
385 /escm/customer/renderCustomerOrganizationDetails,5,534,459,728,732,732,361,732,0.00%,6.8,264.8,163.17
405 /escm/messages,5,8,9,9,11,11,6,11,0.00%,454.5,204.6,1.94
406 /escm/messages,5,7,7,8,8,8,7,8,0.00%,625.0,281.4,0.49
List_Organizations,5,2272,2146,2722,2730,2730,1786,2730,0.00%,1.8,1118.3,387.19
128 /escm/customer/listByCriteria,5,432,414,441,501,501,402,501,0.00%,10.0,32.5,37.01
129 /escm/customer/renderCustomerOrganizationDetails,5,1312,1305,1446,1451,1451,1125,1451,0.00%,3.4,494.0,125.33
130 /escm/messages,5,8,8,9,10,10,7,10,0.00%,500.0,225.1,1.17
131 /escm/messages,5,8,7,9,11,11,6,11,0.00%,454.5,204.6,1.79
org_search_by_orgid,5,1764,1766,1872,1885,1885,1548,1885,0.00%,2.7,391.6,120.94
TOTAL,100,533,206,1679,1885,2722,3,2730,5.00%,36.6,4189.0,703.35
