timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
12/06/2017 15:14,631,62 /escm/login/auth,200,OK,Thread Group 1-1,text,true,,5226,399,1,1,628,0,292
12/06/2017 15:14,8,67 /escm/css/jquery.alerts.css,200,OK,Thread Group 1-1,text,true,,1235,437,1,1,8,0,0
12/06/2017 15:14,15,63 /escm/css/theme/jquery-ui-1.8.17.custom.css,200,OK,Thread Group 1-1,text,true,,6664,453,1,1,12,0,0
12/06/2017 15:14,4,68 /escmnull/css/merchant.css,404,Not Found,Thread Group 1-1,,false,,109,383,1,1,4,0,0
12/06/2017 15:14,9,72 /escm/js/validator.js,200,OK,Thread Group 1-1,text,true,,5286,416,1,1,8,0,0
12/06/2017 15:14,8,71 /escm/js/jquery.alerts.js,200,OK,Thread Group 1-1,text,true,,2581,420,1,1,7,0,0
12/06/2017 15:14,52,70 /escm/js/jquery-ui-1.8.17.custom.min.js,200,OK,Thread Group 1-1,text,true,,53407,434,1,1,22,0,0
12/06/2017 15:14,8,73 /escm/js/jquery.bpopup.min.js,200,OK,Thread Group 1-1,text,true,,2280,424,1,1,7,0,0
12/06/2017 15:14,7,66 /escm/css/jquery.ui.timepicker.css,200,OK,Thread Group 1-1,text,true,,2086,444,1,1,7,0,0
12/06/2017 15:14,75,69 /escm/js/jquery-1.5.2.min.js,200,OK,Thread Group 1-1,text,true,,65186,423,1,1,26,0,0
12/06/2017 15:14,79,64 /escm/css/merchant.css,200,OK,Thread Group 1-1,text,true,,64167,432,1,1,31,0,0
12/06/2017 15:14,10,65 /escm/css/logintypedialog.css,200,OK,Thread Group 1-1,text,true,,1287,439,1,1,9,0,0
12/06/2017 15:14,9,74 /escm/css/fonts/Roboto-Light.woff,200,OK,Thread Group 1-1,text,true,,73848,492,1,1,9,0,0
12/06/2017 15:14,8,75 /escm/css/fonts/Roboto-Bold.woff,200,OK,Thread Group 1-1,text,true,,71736,491,2,2,7,0,0
12/06/2017 15:14,15,76 /escm/css/fonts/Roboto-Regular.ttf,200,OK,Thread Group 1-1,text,true,,145593,498,2,2,14,0,0
12/06/2017 15:14,938,Login Page Request,,"Number of samples in transaction : 15, number of failing samples : 1",Thread Group 1-1,,false,,500691,6585,2,2,799,349,292
12/06/2017 15:14,51,62 /escm/login/auth,200,OK,Thread Group 1-2,text,true,,5226,399,2,2,50,0,12
12/06/2017 15:14,7,67 /escm/css/jquery.alerts.css,200,OK,Thread Group 1-2,text,true,,1235,437,2,2,7,0,0
12/06/2017 15:14,13,63 /escm/css/theme/jquery-ui-1.8.17.custom.css,200,OK,Thread Group 1-2,text,true,,6664,453,2,2,9,0,0
12/06/2017 15:14,3,68 /escmnull/css/merchant.css,404,Not Found,Thread Group 1-2,,false,,109,383,2,2,3,0,0
12/06/2017 15:14,9,72 /escm/js/validator.js,200,OK,Thread Group 1-2,text,true,,5286,416,2,2,7,0,0
12/06/2017 15:14,10,71 /escm/js/jquery.alerts.js,200,OK,Thread Group 1-2,text,true,,2581,420,2,2,5,0,0
12/06/2017 15:14,52,70 /escm/js/jquery-ui-1.8.17.custom.min.js,200,OK,Thread Group 1-2,text,true,,53407,434,2,2,21,0,0
12/06/2017 15:14,8,73 /escm/js/jquery.bpopup.min.js,200,OK,Thread Group 1-2,text,true,,2280,424,2,2,8,0,0
12/06/2017 15:14,8,66 /escm/css/jquery.ui.timepicker.css,200,OK,Thread Group 1-2,text,true,,2086,444,2,2,8,0,0
12/06/2017 15:14,73,69 /escm/js/jquery-1.5.2.min.js,200,OK,Thread Group 1-2,text,true,,65186,423,2,2,25,0,0
12/06/2017 15:14,75,64 /escm/css/merchant.css,200,OK,Thread Group 1-2,text,true,,64167,432,2,2,28,0,0
12/06/2017 15:14,6,65 /escm/css/logintypedialog.css,200,OK,Thread Group 1-2,text,true,,1287,439,2,2,6,0,0
12/06/2017 15:14,6,74 /escm/css/fonts/Roboto-Light.woff,200,OK,Thread Group 1-2,text,true,,73848,492,2,2,5,0,0
12/06/2017 15:14,6,75 /escm/css/fonts/Roboto-Bold.woff,200,OK,Thread Group 1-2,text,true,,71736,491,2,2,5,0,0
12/06/2017 15:14,6,76 /escm/css/fonts/Roboto-Regular.ttf,200,OK,Thread Group 1-2,text,true,,145593,498,2,2,5,0,0
12/06/2017 15:14,333,Login Page Request,,"Number of samples in transaction : 15, number of failing samples : 1",Thread Group 1-2,,false,,500691,6585,2,2,192,53,12
12/06/2017 15:14,37,62 /escm/login/auth,200,OK,Thread Group 1-3,text,true,,5226,399,3,3,36,0,4
12/06/2017 15:14,8,67 /escm/css/jquery.alerts.css,200,OK,Thread Group 1-3,text,true,,1235,437,3,3,8,0,0
12/06/2017 15:14,11,63 /escm/css/theme/jquery-ui-1.8.17.custom.css,200,OK,Thread Group 1-3,text,true,,6664,453,3,3,8,0,0
12/06/2017 15:14,4,68 /escmnull/css/merchant.css,404,Not Found,Thread Group 1-3,,false,,109,383,3,3,4,0,0
12/06/2017 15:14,10,72 /escm/js/validator.js,200,OK,Thread Group 1-3,text,true,,5286,416,3,3,7,0,0
12/06/2017 15:14,6,71 /escm/js/jquery.alerts.js,200,OK,Thread Group 1-3,text,true,,2581,420,3,3,5,0,0
12/06/2017 15:14,57,70 /escm/js/jquery-ui-1.8.17.custom.min.js,200,OK,Thread Group 1-3,text,true,,53407,434,3,3,23,0,0
12/06/2017 15:14,9,73 /escm/js/jquery.bpopup.min.js,200,OK,Thread Group 1-3,text,true,,2280,424,3,3,7,0,0
