sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_95%_line,aggregate_report_99%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
675 /escm/login/auth,1,565,565,565,565,565,565,565,0.00%,1.8,10.3,0.00
Hit_the_portal_with-cache,1,565,565,565,565,565,565,565,0.00%,1.8,10.3,0.00
676 /escm/login/doAuth?id=loginform,1,1290,1290,1290,1290,1290,1290,1290,0.00%,.8,7.3,0.00
680 /escm/dashboard/myAccountInfo,1,725,725,725,725,725,725,725,0.00%,1.4,11.4,0.00
SP_user_login_46_with_cache,1,2015,2015,2015,2015,2015,2015,2015,0.00%,.5,8.7,0.00
681 /escm/customer/index,1,766,766,766,766,766,766,766,0.00%,1.3,20.5,0.00
682 /escm/customer/list,1,758,758,758,758,758,758,758,0.00%,1.3,20.3,0.00
684 /escm/customer/setSearchBy,1,24,24,24,24,24,24,24,0.00%,41.7,18.6,0.00
686 /escm/messages,1,18,18,18,18,18,18,18,0.00%,55.6,25.0,0.00
685 /escm/customer/listByCriteria,1,360,360,360,360,360,360,360,0.00%,2.8,12.0,0.00
687 /escm/customer/renderCustomerOrganizationDetails,1,853,853,853,853,853,853,853,0.00%,1.2,46.0,0.00
688 /escm/messages,1,21,21,21,21,21,21,21,0.00%,47.6,21.4,0.00
689 /escm/messages,1,15,15,15,15,15,15,15,0.00%,66.7,30.0,0.00
List_organizations_with_cache,1,2815,2815,2815,2815,2815,2815,2815,0.00%,.4,27.1,0.00
226 /escm/customer/listByCriteria,1,2079,2079,2079,2079,2079,2079,2079,0.00%,.5,1.8,0.00
227 /escm/customer/renderCustomerOrganizationDetails,1,756,756,756,756,756,756,756,0.00%,1.3,51.7,0.00
228 /escm/messages,1,15,15,15,15,15,15,15,0.00%,66.7,30.0,0.00
229 /escm/messages,1,16,16,16,16,16,16,16,0.00%,62.5,28.1,0.00
46_Org_search_by_orgname_withcache,1,2866,2866,2866,2866,2866,2866,2866,0.00%,.3,15.2,0.00
TOTAL,19,869,725,2079,2815,2866,15,2866,0.00%,6.6,100.1,905.36
