Label,# Samples,Average,Min,Max,90% Line,Std. Dev.,Error %,Throughput,Received KB/sec,Avg. Bytes
675 /escm/login/auth,30,101,37,587,199,115.61,0.00%,51.1,298.26,5976.0
Hit_the_portal_with-cache,30,101,37,587,199,115.61,0.00%,51.1,298.26,5976.0
676 /escm/login/doAuth?id=loginform,30,2340,1045,4238,3834,880.67,0.00%,7.1,66.30,9590.2
680 /escm/dashboard/myAccountInfo,30,1906,795,3387,2532,671.74,0.00%,8.9,72.69,8403.9
SP_user_login_46_with_cache,30,4246,1851,6886,6065,1425.07,0.00%,4.4,76.56,17994.1
681 /escm/customer/index,30,1966,868,3902,2700,758.67,0.00%,7.7,120.48,16046.7
682 /escm/customer/list,30,1854,964,3814,2698,732.14,0.00%,7.9,121.22,15781.0
684 /escm/customer/setSearchBy,30,18,10,58,23,10.82,0.00%,517.2,230.84,457.0
686 /escm/messages,30,14,8,44,22,8.37,0.00%,681.8,306.95,461.0
685 /escm/customer/listByCriteria,30,333,176,1108,500,176.47,0.00%,27.1,116.69,4413.0
687 /escm/customer/renderCustomerOrganizationDetails,30,549,344,960,753,149.45,0.00%,31.2,1225.18,40146.6
688 /escm/messages,30,12,7,38,19,6.19,0.00%,789.5,355.42,461.0
689 /escm/messages,30,10,7,21,15,3.09,0.00%,1428.6,643.14,461.0
List_organizations_with_cache,30,4759,2869,7344,6494,1256.51,0.00%,4.1,312.07,78227.4
226 /escm/customer/listByCriteria,30,2432,2069,3442,2630,307.51,0.00%,8.7,31.96,3755.0
227 /escm/customer/renderCustomerOrganizationDetails,30,478,324,784,621,98.67,0.00%,.5,19.39,40016.4
228 /escm/messages,30,12,7,37,17,6.67,0.00%,.5,0.22,461.0
229 /escm/messages,30,11,6,30,14,4.70,0.00%,.5,0.23,461.0
46_Org_search_by_orgname_withcache,30,2934,2413,3912,3301,331.64,0.00%,7.7,334.71,44693.4
TOTAL,570,1267,6,7344,3364,1589.51,0.00%,9.4,142.33,15462.2
