IP,NoOfConnection
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
10.10.3.28,67                 
