sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_95%_line,aggregate_report_99%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
675 /escm/login/auth,5,181,67,94,629,629,55,629,0.00%,7.9,46.4,224.40
Hit_the_portal_with-cache,5,181,67,94,629,629,55,629,0.00%,7.9,46.4,224.40
676 /escm/login/doAuth?id=loginform,5,1351,1295,1474,1665,1665,1142,1665,0.00%,3.0,27.4,194.47
680 /escm/dashboard/myAccountInfo,5,1336,1156,1346,2302,2302,919,2302,0.00%,.1,.7,506.00
SP_user_login_46_with_cache,5,2688,2338,2820,3967,3967,2103,3967,0.00%,1.3,21.9,684.49
681 /escm/customer/index,5,1362,1126,1283,2367,2367,943,2367,0.00%,.1,1.3,513.79
682 /escm/customer/list,5,1232,1061,1130,2218,2218,825,2218,0.00%,.1,1.2,504.21
684 /escm/customer/setSearchBy,5,22,23,25,27,27,16,27,0.00%,185.2,82.6,3.72
686 /escm/messages,5,16,17,17,19,19,14,19,0.00%,263.2,118.5,1.62
685 /escm/customer/listByCriteria,5,554,581,719,787,787,297,787,0.00%,6.4,27.4,187.71
687 /escm/customer/renderCustomerOrganizationDetails,5,1127,795,1699,1748,1748,677,1748,0.00%,2.9,112.1,488.26
688 /escm/messages,5,19,21,23,23,23,15,23,0.00%,217.4,97.9,3.25
689 /escm/messages,5,15,15,16,16,16,14,16,0.00%,312.5,140.7,0.89
List_organizations_with_cache,5,4350,4731,4783,4955,4955,2805,4955,0.00%,.1,5.9,787.63
226 /escm/customer/listByCriteria,5,2360,2389,2442,2514,2514,2188,2514,0.00%,2.0,7.3,117.60
227 /escm/customer/renderCustomerOrganizationDetails,5,625,652,694,744,744,458,744,0.00%,6.7,262.6,99.75
228 /escm/messages,5,13,14,14,15,15,13,15,0.00%,333.3,150.1,0.75
229 /escm/messages,5,15,16,17,19,19,12,19,0.00%,263.2,118.5,2.58
46_Org_search_by_orgname_withcache,5,3014,3162,3166,3193,3193,2754,3193,0.00%,1.6,68.3,195.38
TOTAL,95,1077,694,2799,3193,4783,12,4955,0.00%,1.5,22.2,1259.14
