Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
6 /escm/login/auth,10,1124,187,3304,3304,3600,91,3600,0.00%,1.2,.0
9 /escm/css/theme/jquery-ui-1.8.17.custom.css,10,44,18,74,74,87,13,87,0.00%,2.0,.0
12 /escm/css/jquery.alerts.css,10,45,20,72,72,168,8,168,0.00%,2.0,.0
10 /escm/css/merchant.css,10,156,89,249,249,352,63,352,0.00%,2.0,.0
8 /escm/js/jquery-ui-1.8.17.custom.min.js,10,109,92,163,163,249,51,249,0.00%,2.0,.0
7 /escm/js/jquery-1.5.2.min.js,10,143,97,227,227,294,66,294,0.00%,2.1,.0
15 /escm/js/jquery.alerts.js,10,36,10,40,40,181,9,181,0.00%,2.2,.0
13 /escm/css/jquery.ui.timepicker.css,10,24,8,47,47,65,6,65,0.00%,2.2,.0
14 /escm/js/validator.js,10,25,14,51,51,67,9,67,0.00%,2.2,.0
11 /escm/js/jquery.bpopup.min.js,10,16,10,39,39,39,7,39,0.00%,2.2,.0
17 /escm/css/logintypedialog.css,10,23,14,45,45,49,8,49,0.00%,2.3,.0
16 /escm/images/favicon.ico,10,35,15,74,74,75,7,75,0.00%,2.3,.0
19 /escm/css/modern_ui/images/footer.png,10,10,7,18,18,20,6,20,0.00%,2.3,.0
18 /escm/images/logo.png,10,16,8,29,29,45,7,45,0.00%,2.3,.0
20 /escm/images/add.jpg,10,22,9,36,36,53,6,53,0.00%,2.3,.0
22 /escm/css/fonts/Roboto-Bold.woff,10,21,22,31,31,35,6,35,0.00%,2.3,.0
21 /escm/css/fonts/Roboto-Light.woff,10,14,10,33,33,36,6,36,0.00%,2.3,.0
23 /escm/css/fonts/Roboto-Regular.ttf,10,15,12,26,26,26,7,26,0.00%,2.3,.0
24 /escm/login/doAuth?id=loginform,10,8534,8453,8916,8916,8925,8370,8925,0.00%,.6,.0
29 /escm/js/jquery-validate/jquery.validate.min.js,10,22,18,35,35,39,11,39,0.00%,17.4,.0
30 /escm/js/jquery.ba-dotimeout.min.js,10,35,28,60,60,80,11,80,0.00%,17.3,.0
28 /escm/js/jquery.blockUI.js,10,54,36,118,118,147,14,147,0.00%,17.0,.0
32 /escm/js/jquery-validate/jquery.metadata.js,10,73,27,183,183,287,13,287,0.00%,17.5,.0
31 /escm/js/datatable.js,10,24,20,42,42,54,9,54,0.00%,15.5,.0
36 /escm/js/jquery-validate/additional-methods.min.js,10,34,20,34,34,136,11,136,0.00%,17.3,.0
35 /escm/js/jquery.qtip-1.0.0-rc3.min.js,10,37,26,69,69,72,18,72,0.00%,15.7,.0
49 /escm/css/modern_ui/usageGraph/jquery.jqplot.min.css,10,48,23,50,50,256,11,256,0.00%,15.4,.0
45 /escm/js/placeholders.min.js,10,27,20,42,42,64,11,64,0.00%,14.9,.0
50 /escm/css/modern_ui/usageGraph/examples.css,10,53,25,60,60,252,10,252,0.00%,14.6,.0
47 /escm/js/jquery.slimscroll.min.js,10,27,21,40,40,56,10,56,0.00%,14.4,.0
57 /escm/js/usageGraphJS/excanvas.min.js,10,34,36,42,42,48,20,48,0.00%,14.1,.0
69 /escm/css/modern_ui/images/dropDown.png,10,38,37,55,55,66,18,66,0.00%,14.0,.0
48 /escm/js/main.js,10,43,43,55,55,61,18,61,0.00%,13.2,.0
38 /escm/css/tablesorter.css,10,36,36,41,41,62,20,62,0.00%,13.1,.0
37 /escm/css/modern_ui/usageGraph/jquery.jqplot.css,10,37,35,50,50,55,15,55,0.00%,13.0,.0
52 /escm/js/escm_alert.js,10,46,41,62,62,64,31,64,0.00%,12.6,.0
61 /escm/js/clearinput.js,10,43,41,55,55,56,29,56,0.00%,12.8,.0
58 /escm/js/jquery.elastic.source.js,10,47,42,65,65,68,31,68,0.00%,12.7,.0
44 /escm/js/usageGraphJS/jquery.jqplot.min.js,10,75,72,84,84,97,63,97,0.00%,12.1,.0
56 /escm/js/usageGraphJS/jqplot.canvasAxisLabelRenderer.min.js,10,38,33,48,48,53,27,53,0.00%,12.6,.0
40 /escm/js/usageGraphJS/jqplot.pointLabels.min.js,10,54,40,69,69,154,28,154,0.00%,10.9,.0
54 /escm/js/usageGraphJS/jqplot.canvasAxisTickRenderer.min.js,10,41,40,54,54,66,19,66,0.00%,11.6,.0
42 /escm/js/usageGraphJS/jqplot.highlighter.min.js,10,46,45,61,61,65,27,65,0.00%,11.9,.0
53 /escm/js/usageGraphJS/jqplot.cursor.min.js,10,82,44,67,67,393,30,393,0.00%,8.9,.0
62 /escm/js/slideBlock.js,10,44,45,62,62,69,21,69,0.00%,9.2,.0
63 /escm/js/panels.js,10,38,35,59,59,66,11,66,0.00%,9.6,.0
34 /escm/css/modern_ui/jquery.multiselect.css,10,40,46,53,53,56,14,56,0.00%,10.1,.0
33 /escm/js/jquery.tablesorter.js,10,50,50,71,71,73,16,73,0.00%,10.4,.0
55 /escm/js/usageGraphJS/jqplot.dateAxisRenderer.min.js,10,42,35,70,70,73,12,73,0.00%,11.2,.0
51 /escm/js/jquery.scrollToTop.min.js,10,37,32,57,57,58,9,58,0.00%,11.6,.0
59 /escm/js/jquery.ui.timepicker.js,10,89,37,241,241,271,18,271,0.00%,12.0,.0
46 /escm/js/MonthPicker.min.js,10,33,30,51,51,55,13,55,0.00%,12.9,.0
66 /escm/images/myAccount.png,10,35,28,45,45,118,11,118,0.00%,13.6,.0
68 /escm/css/modern_ui/images/CP_login.png,10,24,26,33,33,38,15,38,0.00%,15.3,.0
67 /escm/images/settings.png,10,27,19,45,45,65,7,65,0.00%,15.7,.0
70 /escm/css/modern_ui/images/myCatalog.png,10,129,29,322,322,502,7,502,0.00%,14.5,.0
64 /escm/css/modern_ui/images/myDashboard.png,10,18,13,31,31,39,7,39,0.00%,20.6,.0
71 /escm/images/_loading.gif,10,16,11,30,30,32,7,32,0.00%,21.5,.0
65 /escm/images/orders.png,10,51,12,36,36,354,8,354,0.00%,22.6,.0
39 /escm/js/jquery.flexslider.js,10,75,24,255,255,318,17,318,0.00%,23.5,.0
43 /escm/js/usageGraphJS/jqplot.canvasTextRenderer.min.js,10,14,14,16,16,17,10,17,0.00%,26.7,.0
41 /escm/js/usageGraphJS/jqplot.enhancedLegendRenderer.min.js,10,14,13,20,20,20,8,20,0.00%,27.1,.0
60 /escm/js/jquery.leanModal.min.js,10,19,8,55,55,64,6,64,0.00%,28.1,.0
72 /escm/images/bubble.png,10,10,8,10,10,28,5,28,0.00%,30.2,.0
73 /escm/css/theme/images/ui-icons_ededed_256x240.png,10,16,10,23,23,60,6,60,0.00%,32.4,.0
74 /escm/css/theme/images/ui-icons_ffffff_256x240.png,10,8,8,11,11,21,5,21,0.00%,33.2,.0
User Login as Service Provider,10,12365,11114,14849,14849,15134,10808,15134,0.00%,.5,.0
TOTAL,670,369,32,97,255,11020,5,15134,0.00%,24.5,.0
