Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,KB/sec
6 /escm/login/auth,5,739,318,1366,1688,1688,131,1688,0.00%,1.4,.0
9 /escm/css/theme/jquery-ui-1.8.17.custom.css,5,53,62,65,71,71,19,71,0.00%,2.6,.0
12 /escm/css/jquery.alerts.css,5,23,28,33,34,34,8,34,0.00%,2.7,.0
10 /escm/css/merchant.css,5,136,129,179,188,188,80,188,0.00%,2.7,.0
8 /escm/js/jquery-ui-1.8.17.custom.min.js,5,107,112,128,154,154,63,154,0.00%,2.8,.0
7 /escm/js/jquery-1.5.2.min.js,5,117,109,126,157,157,90,157,0.00%,2.8,.0
15 /escm/js/jquery.alerts.js,5,17,13,23,32,32,10,32,0.00%,3.0,.0
13 /escm/css/jquery.ui.timepicker.css,5,20,21,29,36,36,7,36,0.00%,3.1,.0
14 /escm/js/validator.js,5,22,15,29,41,41,13,41,0.00%,3.1,.0
11 /escm/js/jquery.bpopup.min.js,5,18,13,24,33,33,10,33,0.00%,3.1,.0
17 /escm/css/logintypedialog.css,5,19,22,29,29,29,9,29,0.00%,3.2,.0
16 /escm/images/favicon.ico,5,24,16,39,49,49,10,49,0.00%,3.2,.0
19 /escm/css/modern_ui/images/footer.png,5,9,9,12,14,14,6,14,0.00%,3.3,.0
18 /escm/images/logo.png,5,30,37,40,64,64,6,64,0.00%,3.3,.0
20 /escm/images/add.jpg,5,47,35,38,151,151,6,151,0.00%,3.4,.0
22 /escm/css/fonts/Roboto-Bold.woff,5,43,27,87,89,89,7,89,0.00%,3.5,.0
21 /escm/css/fonts/Roboto-Light.woff,5,12,11,12,22,22,7,22,0.00%,3.7,.0
23 /escm/css/fonts/Roboto-Regular.ttf,5,17,12,21,36,36,10,36,0.00%,3.7,.0
24 /escm/login/doAuth?id=loginform,5,6963,6963,6977,6982,6982,6943,6982,0.00%,.7,.0
29 /escm/js/jquery-validate/jquery.validate.min.js,5,48,46,59,64,64,35,64,0.00%,39.4,.0
30 /escm/js/jquery.ba-dotimeout.min.js,5,28,30,31,32,32,24,32,0.00%,70.4,.0
28 /escm/js/jquery.blockUI.js,5,40,38,40,53,53,32,53,0.00%,53.2,.0
32 /escm/js/jquery-validate/jquery.metadata.js,5,18,17,21,31,31,11,31,0.00%,67.6,.0
31 /escm/js/datatable.js,5,25,26,29,33,33,13,33,0.00%,79.4,.0
36 /escm/js/jquery-validate/additional-methods.min.js,5,24,20,33,35,35,17,35,0.00%,71.4,.0
35 /escm/js/jquery.qtip-1.0.0-rc3.min.js,5,51,40,60,94,94,26,94,0.00%,45.9,.0
49 /escm/css/modern_ui/usageGraph/jquery.jqplot.min.css,5,27,22,27,48,48,20,48,0.00%,42.7,.0
45 /escm/js/placeholders.min.js,5,18,16,20,29,29,11,29,0.00%,46.7,.0
50 /escm/css/modern_ui/usageGraph/examples.css,5,27,30,32,48,48,10,48,0.00%,45.5,.0
47 /escm/js/jquery.slimscroll.min.js,5,37,28,34,95,95,14,95,0.00%,50.5,.0
57 /escm/js/usageGraphJS/excanvas.min.js,5,29,36,42,42,42,13,42,0.00%,61.0,.0
69 /escm/css/modern_ui/images/dropDown.png,5,16,14,17,32,32,7,32,0.00%,92.6,.0
48 /escm/js/main.js,5,33,28,45,61,61,16,61,0.00%,82.0,.0
38 /escm/css/tablesorter.css,5,30,31,31,32,32,27,32,0.00%,131.6,.0
37 /escm/css/modern_ui/usageGraph/jquery.jqplot.css,5,33,33,46,50,50,17,50,0.00%,87.7,.0
52 /escm/js/escm_alert.js,5,84,34,43,294,294,22,294,0.00%,14.9,.0
61 /escm/js/clearinput.js,5,21,22,23,31,31,12,31,0.00%,15.6,.0
58 /escm/js/jquery.elastic.source.js,5,30,34,34,35,35,16,35,0.00%,16.3,.0
44 /escm/js/usageGraphJS/jquery.jqplot.min.js,5,88,73,98,156,156,58,156,0.00%,14.5,.0
56 /escm/js/usageGraphJS/jqplot.canvasAxisLabelRenderer.min.js,5,17,17,19,22,22,14,22,0.00%,16.2,.0
40 /escm/js/usageGraphJS/jqplot.pointLabels.min.js,5,23,24,27,36,36,14,36,0.00%,15.3,.0
54 /escm/js/usageGraphJS/jqplot.canvasAxisTickRenderer.min.js,5,17,17,17,24,24,13,24,0.00%,15.2,.0
42 /escm/js/usageGraphJS/jqplot.highlighter.min.js,5,20,20,24,26,26,14,26,0.00%,15.3,.0
53 /escm/js/usageGraphJS/jqplot.cursor.min.js,5,19,16,24,27,27,13,27,0.00%,15.6,.0
62 /escm/js/slideBlock.js,5,23,25,27,31,31,14,31,0.00%,16.1,.0
63 /escm/js/panels.js,5,20,23,23,31,31,11,31,0.00%,16.8,.0
34 /escm/css/modern_ui/jquery.multiselect.css,5,52,30,30,178,178,8,178,0.00%,18.1,.0
33 /escm/js/jquery.tablesorter.js,5,31,36,42,44,44,18,44,0.00%,17.3,.0
55 /escm/js/usageGraphJS/jqplot.dateAxisRenderer.min.js,5,45,22,25,156,156,11,156,0.00%,18.9,.0
51 /escm/js/jquery.scrollToTop.min.js,5,23,27,29,41,41,10,41,0.00%,18.5,.0
59 /escm/js/jquery.ui.timepicker.js,5,42,33,45,86,86,22,86,0.00%,19.5,.0
46 /escm/js/MonthPicker.min.js,5,23,21,29,35,35,15,35,0.00%,20.5,.0
66 /escm/images/myAccount.png,5,29,31,36,37,37,16,37,0.00%,19.9,.0
68 /escm/css/modern_ui/images/CP_login.png,5,15,14,18,27,27,9,27,0.00%,21.5,.0
67 /escm/images/settings.png,5,31,36,46,48,48,14,48,0.00%,21.7,.0
70 /escm/css/modern_ui/images/myCatalog.png,5,13,12,13,26,26,7,26,0.00%,25.6,.0
64 /escm/css/modern_ui/images/myDashboard.png,5,23,25,30,35,35,8,35,0.00%,23.7,.0
71 /escm/images/_loading.gif,5,21,25,26,33,33,9,33,0.00%,25.3,.0
65 /escm/images/orders.png,5,27,28,34,43,43,13,43,0.00%,27.0,.0
39 /escm/js/jquery.flexslider.js,5,29,26,36,41,41,18,41,0.00%,31.2,.0
43 /escm/js/usageGraphJS/jqplot.canvasTextRenderer.min.js,5,28,12,19,89,89,11,89,0.00%,36.8,.0
41 /escm/js/usageGraphJS/jqplot.enhancedLegendRenderer.min.js,5,11,12,14,14,14,8,14,0.00%,40.0,.0
60 /escm/js/jquery.leanModal.min.js,5,12,7,21,25,25,5,25,0.00%,42.4,.0
72 /escm/images/bubble.png,5,12,10,12,27,27,6,27,0.00%,50.0,.0
73 /escm/css/theme/images/ui-icons_ededed_256x240.png,5,11,9,11,22,22,5,22,0.00%,64.1,.0
74 /escm/css/theme/images/ui-icons_ffffff_256x240.png,5,10,8,15,16,16,5,16,0.00%,80.6,.0
User Login as Service Provider,5,9777,9555,10596,10963,10963,8815,10963,0.00%,.4,.0
TOTAL,335,291,25,90,178,8956,5,10963,0.00%,24.5,.0
